ghnlkkxcvg,tdnaymqzem,fkmlqielcj,peT
nezpdlyzaq,-71,0.4285,CaT
652,-31,holyfcadwt,doG
-0.428,oxkvguvzvu,-106,CAT
300,sjnquamnii,swhxflukju,-0.195
0.402,-268,0.159,CaT
-0.134,Cat,249,szzrgrchui
-0.23,0.204,567,0.312
499,81,dOg,DOG
dpjakxqwxs,txduifqkrg,gnntdvmsnk,-706
kcphxhuzqc,0.4925,xyxswxcgsf,CAT
-72,-0.0585,-0.3005,CaT
vulffyjsnr,-0.0115,xgbefayxck,cat
akjyfeyocn,CAT,doG,caT
dOG,955,-276,dOg
Cat,CAt,ueyyijjbjh,dOG
400,oncboibiaz,208,dog
cyxrfutgfv,ubopnxomfb,-982,DOG
mgtzddbqor,0.103,-788,Cat
kzqmsqwwwj,dOg,-327,CAt
-0.4395,277,Cat,cAT
-535,fsmqdmjbwl,dmfqrrkwlf,iciecablnp
bmjogbljgb,dOg,DOG,CAt
bkzbfamxdb,CAT,0.1485,cAT
0.0865,0.39,-889,dOg
0.223,-0.3415,65,Cat
atfaiiftbt,-0.4865,-0.057,CaT
-41,wawfizeixr,yovpjqmeoe,caT
-0.1735,nxywmxlhul,osjpgwimsu,-0.45
-129,ezggsujgtn,-672,-4
-0.0815,-529,fhmwwzbdla,CaT
-0.0225,-0.468,femcmkgvqw,dOg
caT,491,-132,-254
100,caT,335,mjnxrszrww
999,0.2095,-970,eiseizrtol
-506,-0.217,DoG,cAT
nwdiyniaav,0.124,-199,CAt
0.053,dog,0.208,DOg
-23,0.37,0.336,cAt
cAt,jnkbrgcmnk,-746,ogyxiojdqc
cAt,Cat,kdsaarmfvo,0.4125
