aaxysljntv,mzafqxetlr,PeT,izeydhwmyq,xexbktfvqa,yowxxlqucf
0.4515,0.479,caT,844,feiwitvayb,aoeiebekpe
0.442,xgjzmfuhkv,DOG,CAt,0.271,CAT
-0.31,tmsohdffli,-963,zkethsuqiz,doG,nxufshytln
0.446,0.3695,Dog,878,118,-0.378
-524,0.4535,-0.1285,803,-514,0.48
DOg,tbfygucwkb,cAT,DOg,axkdczgrsb,vdzupvxunt
nvpawekjxo,ekseyeooyq,Dog,mbazkixwbs,64,CAt
-0.1105,mjcyydddbv,Dog,cAT,copyuywukt,CAt
-635,0.288,CAt,283,-0.2035,-617
545,0.3545,cAT,htjubcprpf,caT,dOG
74,0.105,0.2435,939,0.369,903
-604,-16,CAT,zoalnrbvph,-0.1505,-973
-0.1825,-0.225,DOg,DOg,DOg,-0.311
-0.443,ahvmudsxav,dog,grhdalxelb,DOG,-0.032
CAt,ddbzjvfdvt,dOG,0.4875,-774,0.1015
Dog,0.07,CAT,-0.219,-0.012,592
-0.0955,-0.016,caT,-0.2525,390,-0.307
ysmceqneaw,435,apghbjlboh,CaT,drfdxrihkr,dog
mfdnvtykra,-0.112,rmetclvqce,-0.012,asiayhurkx,nfvpkfuvam
-0.209,CAT,knxyithtoe,dffbayrdjz,-0.1335,0.099
-0.0575,-340,cAT,frohkhzvml,dOG,lckjapatpo
0.1025,-0.0715,-446,0.2365,-0.3945,filprlypop
750,ydkmhqwkhg,doG,-0.2705,abkzdwczna,-268
loidaabzmj,-759,dog,tvppcspaiy,pdkgtahasw,sxqmkyeuyb
-401,-856,cAT,0.0565,-675,adndvphhyg
DOg,doG,cAt,408,-0.403,-670
380,tdoaczfwon,DOG,-980,68,652
675,0.2615,doG,-0.3025,-0.1625,CaT
dOg,Cat,dOg,-864,-0.127,rklxabzsqt
-0.0345,gqfapynmfk,uzkxgsuvzb,zcnnraotpi,ihzdvlxhkq,0.015
-0.1915,-0.1385,DOg,aoiwojvlyt,ncrvkjvutf,-61
41,-469,CaT,CAT,-144,-421
0.307,0.319,CAT,-0.218,0.1645,ztbmajbvas
0.491,598,dOg,-0.0465,-0.3755,956
0.4445,-341,CaT,0.228,olxubjfbmp,pwmkaujssn
0.1545,0.225,DoG,briuryyjbs,0.3385,dog
dog,547,caT,-307,cAT,-0.2505
CaT,caT,Cat,ayggczkpgi,CaT,kfjnxxbnjo
0.493,qlgirygegm,CAT,0.2255,-0.208,dog
fydhhlqdzb,CaT,dog,ndvclbsrjd,0.163,0.326
Cat,-0.1445,dog,-894,yjemztqpoi,0.0965
CAt,uqpnswusad,dOg,cat,949,0.0485
773,qiqpwfexaf,0.017,Dog,CAt,0.1295
-617,-580,caT,-380,DOg,393
0.0325,-0.005,DOg,irnphjpecs,DOG,CaT
dyfktpceut,dOG,CaT,205,doG,0.0445
196,Dog,DOg,buetfrtnxw,cghiwkudqy,691
-0.1375,-916,dOG,-0.136,0.037,dOg
padivqjoqr,-0.0535,cbwxlhekfv,-378,-0.3045,ombefudhuz
pvenswhtkc,-0.084,woznrupzcg,Dog,-238,-529
585,ktqubxksgl,-0.4035,rwpnririuc,-34,-520
DOg,0.404,fepkqcynjx,-366,nkcgczcykz,-383
frwxibmrmc,278,-0.336,280,-504,0.282
dervazwokp,0.099,Dog,ltfqaiourv,jrnjnnrmis,DoG
ymgqikfnbc,751,dog,-0.173,-272,-860
dOG,-0.275,dog,660,cAT,hrmnjsbptt
393,0.0655,Cat,gupvyehyib,0.156,132
-517,czbxgbnyea,cat,ceuaozevex,-0.0275,-0.4215
yukzcofpng,uamdmrzyuk,DOg,0.31,331,-570
-518,-372,CAt,Cat,nbrvhkuigb,70
xtplhtsgdm,ktraegtjnd,cAT,DOg,dzguridqfs,qrtnrbzfqy
-0.378,CAt,cAt,igywflljre,uulbdkymsv,nxdapnkomx
ngcrkificf,doG,CAT,dog,onimhmazgi,600
hghodtysil,0.403,dog,-0.263,0.005,zvnbrnkheb
sranswmuvm,-864,Dog,-0.2715,0.399,-0.339
