mouqaghkcs,wushlcviny,oeftltqrbd,vmyugvmxjx,hpwcznmxjr
134,Dog,CAT,-0.0685,583
DOg,-0.41,dOg,769,-0.3935
-0.022,DOg,199,0.3305,xdycvaueic
0.162,xjymtnqwhm,hupzwimatv,CaT,hjuhnaimmw
486,-0.163,cat,55,ncdmcavkhz
-0.394,0.0355,nhtrklxxtb,-204,DOG
zsieqgutdz,wllvinwdmk,0.3945,pxamixgdkp,0.117
glkqihjzho,-212,-717,drofgbrqky,cat
-545,caT,dOG,790,486
eayvfiwsvz,-975,0.204,zcwhornwuv,dOg
0.088,vsfpynmhyk,CaT,ltubeffrhj,wvnoiovhsn
888,dOG,dog,480,611
-0.2415,pmqppoebhp,518,qpcuhmzymc,-964
619,wbamypbqzy,zsnjqdlvqf,mbyedmibww,DOg
-0.39,ihkmxwlyib,caT,emdvzxrmwv,333
frlscxnciv,zwbtbvjqsm,615,frjnjalwqq,562
-74,gmudtdjtbd,doG,hlrwnsujle,0.1285
-0.171,-755,zxrvsqdhby,vxpechdbzn,0.2975
0.487,DOg,-0.4,aynqsyegbg,lftkyslfyx
daleylbdry,hvsnedcbno,-697,797,wrniysmolz
-0.3275,CAt,cwzxwckqjz,CaT,vgsjcqkuma
ezgphbvahy,rzxxpsypbz,ohxkglktux,-265,xdjygnuzxn
-0.4785,0.419,occlxudaak,igwmlrwhmk,-0.097
-68,0.121,mycziqdztx,wbxyjnnlzd,gjdrklbivf
dOG,wxogkdelad,-0.445,CAT,aospijbrhg
manaqlxkxa,482,555,38,0.082
