xlxdwafjrg,ktuwzjdhrp,ynydhsiqxv,uqgrljtnfq,peT,iyvmeaxpqf
DoG,709,0.1265,hmefmugklk,-862,Cat
-625,duzheanaxs,0.1505,109,cAT,gypeqezrhi
rogbomuyyr,fmubiupckf,DOg,zzvyvqieiy,0.245,CAt
-702,dOg,cAt,-199,CAt,36
xlbmiasmpg,zdmxqurgmz,-0.3805,0.053,doG,491
0.4965,0.453,kmekvvamwi,843,caT,-128
lhyfwtfvxq,ibrklihtlq,-0.317,0.3735,0.2205,-348
-630,dobtnejuag,Dog,lyqiydvsmj,dOG,0.099
167,kkactdolch,-428,fpbuiogmhz,-533,-0.141
tbzvyxxaat,-0.124,avsqrnuteo,oodfazjwaa,Cat,cAT
tcctmhqkab,wmaeyvxkiu,-0.4445,120,cat,-0.1525
0.3735,-452,-513,234,0.105,675
DoG,dOG,0.073,740,cat,caT
-806,-0.368,-717,-0.0465,CAT,DOg
kubgxceyqp,jljzwhamke,dOg,dOG,cAT,439
Cat,0.001,CAT,cAT,dOg,carvowkjvo
wtesuwtukt,227,0.2585,doG,-937,128
hqyyzyymoc,dOG,tjsimhnppz,-556,CaT,uvavxhnpyt
-0.4925,cAt,-104,Dog,dog,yyxtrpbfkk
iqwtljvmvv,0.184,cAT,cat,Cat,-0.4595
DoG,0.153,987,0.4635,104,521
-0.2705,-82,pulpgpmtmi,0.1695,Cat,737
Cat,-828,0.4275,cAT,DoG,dOg
pjxcwuvyzf,rmpnddrdlq,uxhmrazoya,-391,doG,0.283
0.2725,-0.2665,299,590,DOG,-457
csxytanpnp,-0.175,-0.4325,-642,CAT,gpohotsyor
CAt,-0.332,dog,DOg,cAt,-4
0.2975,0.497,0.2505,lbfimbifcc,-0.02,cthjcomvxb
51,caT,huxaujlvyp,-897,22,0.3015
-996,-309,ltmmlkyghr,iodyjjpcmw,969,15
smkoefikfe,0.2445,0.442,-0.443,DoG,ovxrtrlkni
-0.373,30,-0.448,qdubnhjhgl,DoG,0.0495
cAT,ysoqlhpspg,-0.233,0.2005,CAT,-922
572,opahjqvqfs,-0.111,0.4155,cat,0.125
-289,0.344,977,wigwifqzzm,cat,-0.0875
cat,vsybrqkcct,990,-656,-0.3035,-483
-808,cAt,huejzxkwfd,14,doG,-870
-771,czxfdvvjpq,qlgiivzvhl,wizduywsgs,DOg,DOG
657,-562,cat,-0.33,-527,dog
