cqhvjheyqs,pET,soditxxzqo
emdvjzgolv,DoG,gnbakzfzhu
zyfnuheokb,cAt,769
-434,CAT,asuxaunqyy
dOG,DoG,lrknrzsznu
0.455,abqwyxusld,mfknbeukha
-0.472,dOG,0.088
-0.0745,DoG,CaT
0.155,dOG,0.125
-0.27,CAt,tzwmckyasx
hvewhwbbqj,dog,-831
ibqvpxvqoc,txuknnyjzi,58
jsatvbacre,Cat,CaT
-0.259,-0.0375,-0.3025
0.4555,DOg,524
-0.4435,-464,0.392
0.426,-701,-976
okseyapwoh,0.426,kngahpoban
zajgppzsjp,hjffjluceh,cAT
0.07,doG,315
hhyqagflfr,-0.09,-0.2395
9,doG,-230
ernpkegyfj,0.0375,cclvastqoe
-0.311,DOg,yflfwgigrd
-0.423,CAT,-0.128
-38,-301,0.3545
elugexroov,wpfdllorfm,-0.2305
CAT,DoG,-0.1115
hudlzzlljm,cAt,qshpynkoze
pkpfraaziq,DoG,ivvxpdtlfm
CAT,doG,DOg
Cat,CAt,CAT
224,Dog,DOg
CAt,CAT,848
776,-0.359,-0.3745
pjitezqjyo,-172,824
msxlkeexfg,cAt,asvtnqttom
-29,CAT,caT
-0.084,Dog,0.3395
557,cAT,-722
cAt,DOg,thiyqjpajz
