dquliwcnbj,ggifaziihl,sswbizttcb,ftnnxgloej,hgrqhyaoie
-451,zyymqvrydm,caT,brrwvbhlbi,476
cAt,aybshxgpdp,-491,-0.193,anoylmutaa
-601,-0.033,-369,CAt,-0.3555
-818,0.149,-135,0.334,jxuotamlhv
doG,-0.29,nlqjanqqnh,jvildxdihs,hxfdyzuorz
807,-626,-446,dOg,fknmeufaqr
-205,-0.4675,67,dog,smahgtizro
riktwxtgqh,390,-818,177,izzyorhkgh
-0.23,-0.2215,dOG,-0.4485,873
0.3335,DOG,-263,-0.4765,ftqlmvqdde
0.1325,584,504,Dog,DOG
392,enpmtzqfne,eicavuylhc,vvgfmcyvix,0.011
sekvrismuk,166,0.036,-395,-0.209
caT,-218,foyuzxiyiw,0.488,-585
-0.115,opaouysmvz,umiznjjwnz,tszmibccfq,-58
CAt,kyxembegbg,uaezefffku,941,-196
-0.2515,sccykuulkl,-143,ffkqywatuq,Cat
xstaeywlny,-0.1265,qdnoppvtet,-0.2835,-611
53,echsvspsfs,534,324,kxnmofroyz
-583,-32,-0.2945,cAt,669
dog,wmzhzblpnl,dOG,Dog,cat
769,eqsntpabtw,fjgbidvyob,doG,0.342
vtlkbxxnyf,-903,qunqvoriux,gxfkpdrass,0.494
ymfglwpbqg,DOG,-533,CAT,0.17
cat,doG,-0.3295,0.348,172
-435,-0.229,ubjvegliod,-0.351,-728
dOG,peoesetziw,uefgtueqrm,-0.3195,-0.355
xgmtmvcnuv,799,oztrudprrl,-115,pscnazzkvx
dog,ykxoqvfgah,oxetvwlrrc,DoG,bofbvhxrsg
hgrcpkudvs,whqlbgbddf,cAT,-0.0175,fetxwriyco
hhkfqjzlhb,htflsbgmmy,vjjpdzjyiw,-0.384,cat
720,61,cat,-0.0175,108
625,kxixekwuvc,wbehgkrytb,DoG,0.1195
236,bsrrspewhp,CAT,403,DOg
305,272,wsygsbepnb,CaT,-517
330,avrfcwwhau,-0.481,0.4345,414
-474,-424,0.284,-920,0.318
doG,0.106,-423,-0.177,-151
226,-340,qozbfuwcyl,-0.494,CAt
ohairynbkg,177,82,-0.31,0.243
CAt,0.2655,265,-132,lhoodunwsz
34,0.113,DOg,wfbvlmpqac,0.415
nxqxydobta,0.3215,doG,kdeqjaaaat,shkgfwjtsk
brojusgrzw,hhgcmgtddk,Cat,dOg,Cat
-172,izisgfchjn,0.3815,yjbrwjsiss,289
-11,-315,xvggupbaic,-0.224,-705
935,0.357,CaT,tuuwcmgxhm,dOG
CAT,CaT,CAt,39,amkxpxkqiz
uqdbjvkhjb,389,537,jdpjyztlxh,-295
dOG,614,94,0.2345,koklehagzo
tvgyxjzobh,177,-560,usjwfmdiur,cacvtyflep
0.1835,wyphfhdjxg,-0.4285,0.221,Cat
0.4125,0.301,657,-305,mzvnkusmmf
0.3395,582,-204,yucqokobqb,iwrjynttfn
qejqglceka,0.3715,-0.011,kkrgncsrbb,veckutlhbw
ocakasmfaa,qjnpfkzozz,vftuwqphhw,dOG,iyaqkyyopi
bwsiqmccqs,dOG,-861,851,-858
bwiurnpptb,twzegubwpj,vqyewveyub,-364,697
caT,dwlyapdmoe,zllhimvuwh,smjzeixwmz,lplawxgxgv
-0.217,-469,0.469,0.1715,381
422,lrrdpgxvsm,ikdyubsyri,-0.133,-33
lanvqqltai,zinjjaeaie,-0.068,238,vcplewhxjk
-279,-0.2055,44,cvslxfwwhf,cbpinmpjsg
-0.313,snxqoufdhb,294,dOG,cAT
CAt,943,DoG,722,-705
400,cAT,-646,-548,-666
aupljffhrk,0.393,-88,ijonuntrrx,-0.448
-976,593,bzzrrtpaso,0.132,cAt
-222,-0.421,0.1195,Dog,302
hhtnjlruaq,kanprgsfby,0.2185,-299,-838
-0.421,-0.401,doG,-88,xekvpaxaey
yfqwgelaup,Dog,pbzjqrittt,0.2,278
0.4775,0.2325,aunqwmnygq,pptaoucuof,-308
-0.0195,liadsveicq,zptkelwqqf,ckbnbmmbix,-0.282
cat,cat,dOg,0.0245,-0.3755
CAT,hzzjqjhmll,pmspholhry,tnkjhzzslg,hbitywisvy
nbaynusfcc,-4,701,-749,-0.236
-288,-623,doG,-148,-750
gviwiwlxsp,0.094,-0.4235,dOg,-0.0725
-0.36,787,-0.1905,-195,zluswebcif
cAT,-0.035,-605,Dog,0.2865
-342,-614,620,cAT,ghutylbnle
631,-27,0.095,pzdywfumqw,ucbycexcub
0.447,0.3,-0.4325,rqzzgitfcs,ccdqqextui
702,uzccgapqpk,hdjxcilero,-211,-69
daakykpipb,-209,doG,731,cmpgkoreki
lmbnowirtm,-0.1075,jlkzjlwnzx,-846,cxgxskyybn
