dutcnarezo,kfxmcrxzgu,uibmdfgdsg,dblrgdnrjq,bpzhhjrylv,zzuzhxcngt
342,-767,CAt,0.4,dfyckaohnd,-0.1685
-368,0.189,CAT,cdysmswevt,caT,-0.1665
gctncbhsjv,-0.0525,-729,amyxjomjfi,caT,pgaumgbptf
-0.435,vgdulyimvs,tkplzkxexz,wenlyflqds,-848,-585
0.357,-541,-897,-0.219,cAt,DoG
885,qepwaipsrt,0.474,0.448,dog,-764
-0.105,Dog,mlysdhmmuo,113,-0.457,xqxyepsaml
-0.3505,0.172,caT,-510,zhdjfyhhpk,-412
nljhupanux,-0.4505,0.3485,tqpkuobcdn,-526,-686
doG,tgoawcdhks,-189,oepybxzzdz,xzxrrzrdwp,Cat
-536,idxldtbtyy,0.1135,598,-641,0.04
cAT,tzdeounlbz,0.256,0.253,470,-566
-731,179,663,qizmehmtua,190,cfqoelamzw
sxiychcnau,cat,wjefycyvhd,-0.457,dOg,-0.083
cat,-0.4625,-428,-0.1945,ypdfdtybhv,lsufzhhday
-0.3215,CAT,bxlgpoikej,-0.196,-0.1665,-845
0.316,-0.0495,426,clxgzyizzo,0.2465,0.157
-0.2945,beagsltmci,0.1345,0.2215,-4,vxwhjvxwut
-660,caT,0.02,0.1555,bhwvvgssbp,fizkewkoac
-586,-0.4085,-0.49,zjpievzazf,DOG,-285
nuknwkpmpj,ulxvtpkjpi,zohqigdyje,-169,779,zlavujqzba
cAT,tjnxoehuoj,cAt,vvhwjgwads,nmpylecouc,pmojedpqym
awbjiqssjw,DOG,ctkkyconvm,-110,6,0.1705
