lcbpqjxpaf,gwegmfdzkq,lggrojequm,qnglxpxepy,qxbbpvwdui,Pet,izjdrnvsbl
Dog,-0.429,mtvffxfxsf,rnhcfeiskj,0.4605,ggtsicldiv,161
234,kcxdpofdnx,Cat,0.1015,-0.496,DOG,umqhhomkmi
-180,0.3265,DOg,cukrrznudk,-188,caT,-517
DOg,cAT,-0.4735,oraplmqgms,739,caT,555
zifgysyptc,0.385,921,630,198,jwvtpllpxe,-0.1645
807,cAT,cAt,-457,-0.121,CAt,-613
252,rhoenmfmic,CAT,354,-374,-0.275,avckvbazls
-0.252,281,CaT,bvmsediuxc,cat,Dog,caT
0.271,eksprqzyre,165,qawvymssjp,-427,554,0.474
rixauvpzwh,703,122,-0.363,dOg,doG,0.1595
-607,ckhjfzzkkp,800,-0.496,-268,dog,CAT
0.334,oeeftrsshf,-0.235,doG,doG,Dog,-0.0235
Dog,Dog,Cat,uzkuhygrlg,-0.134,ghyafyqtli,-859
-0.349,-459,igczqzggod,mnxqsciqlv,-631,dog,lxhoerxarb
msghvzgepv,-0.02,-508,caT,DoG,DOg,yvktrnadaw
0.2285,srffddisuj,-0.3595,-0.0715,gycjvpgips,caT,shpstulasb
