bkxhpcajel,sddpurceib,zokpalegde,zedcdddgxc
takebsnowm,femjrvkdej,mqyoybnrip,Dog
0.2655,DOg,962,Dog
pohmmpuwzn,-0.448,-0.042,dOg
doG,rupxejmqwk,850,-0.316
-0.253,ohtzfzbkox,704,cat
wtajkelklg,qjsthpyuuw,dOg,248
cmeyzzerjd,Dog,-843,xffrzgtifv
woqeywruzx,332,-0.1115,-0.1415
cAt,dog,0.217,-945
-407,0.3135,484,784
cAt,629,lifgjstmbn,jredhsyjas
0.3545,qufbdcgbdf,440,-0.4995
0.096,pdznezmbvd,-0.437,doG
-325,-0.2035,cAt,0.1775
-495,cynsfxcbfe,0.238,-0.3455
-413,-84,-0.1,-0.056
-0.065,nhjwhwynnr,0.0385,-0.4
DoG,487,gtwpiaxzuh,xaitsyctfs
-90,920,0.2325,0.1115
-808,-0.205,0.1015,-0.3585
-0.3455,qomfziqmye,0.353,vafntputwk
-0.0915,cat,100,CAt
wbsfczhogh,193,-946,-44
893,yevrlrxfmz,lzilwdcyou,0.354
szlclbeljx,cAT,-965,-637
-0.186,418,ytkikotgxa,erzftfianh
ltzumxmtbk,798,0.2455,dog
epaisaizyh,swjqihvupk,jvroxspawo,gvioharvid
-315,-0.374,163,nvikwseiow
-826,dog,0.1955,twvfkgqhsh
-0.3705,guyzgdggxu,-727,dOg
