yvkuwcxgbt,iophvtfahu,bvekrddolo,tcqdsecwck,xcufbjvrtt,PEt
147,-0.0195,iahnthlymk,0.466,cAt,DOg
-447,yfffwarrco,0.028,-0.1945,DoG,dOg
336,-383,zmsnogsgvw,860,0.342,dog
ybisxeiekp,-456,edjnasrnht,caT,DOg,doG
mkwiockbuk,-828,DOg,dOg,-0.0005,doG
cAt,0.3715,0.0985,-0.216,kgsmofmgcu,-0.1175
mpldjkoxfz,695,0.316,0.279,qoadprtbcj,CAt
CaT,amnwzvsfmi,ltnkchwlda,wikqczcytn,0.34,secdstzdvj
uvvwmwxohu,lwtdaiqoyw,CAt,-0.419,-281,cAt
642,0.3555,wwmmuwflws,DoG,452,0.3905
969,0.216,ulklpfzvja,npwcworfsu,639,DoG
vzdcolzdsv,0.012,941,pycrfcscag,-208,dog
sjqlpaqvuh,-547,zjipmdraab,hlgbwqmref,-0.129,ygilfyovhr
lccthryarz,vjdykpcvff,-0.1155,-860,0.0595,dog
-977,-395,lnxofjllmj,0.2265,-0.1965,CAt
854,CaT,chybprnjtb,gwhcgdfizr,282,-0.0675
-183,zwjacyvbho,0.1135,nqnhaikjmb,dog,atweesqfel
0.3495,ydwdolrtrg,CAT,cAt,0.013,doG
CAT,0.4145,81,-0.081,-0.466,cat
caT,dcdnbppqir,0.4905,-83,0.073,CaT
-88,103,560,123,cat,dOG
-0.1135,jretsldmne,szisxgulgp,CAT,fmdrheghme,tizcrbxkdd
0.3795,qesbkzpgfk,0.1455,syudqucaga,rfvwnlfhqv,CAT
-0.4925,-309,-0.2055,pbxeflvqid,cAT,DoG
-250,776,414,nsluexqnbj,0.4055,dOg
-0.1705,dog,vtyakaalba,CAT,qwmawcgbzv,Dog
0.1975,DOG,697,-0.434,632,Dog
0.0225,bnqdcshogw,-646,czxxukinis,cAT,0.4205
vrxyukecgq,0.27,-376,0.229,doG,Dog
-845,631,qskzfaauah,qapmzmuhqi,0.2025,dOg
dfkremrzvc,cdtgikjhfu,-0.374,ujlghsifkw,530,caT
399,-0.359,-276,-57,-891,-998
623,unpfxmxlbq,CAT,tjczcmdofo,enuystbvcb,DOG
-60,-365,yoawcawewn,300,0.031,Cat
-0.1025,-481,ngjmpwirre,-0.3925,0.232,caT
-269,wnvvhcabxh,-431,39,finuhwxwro,dOg
306,-59,-855,zveijkmjdm,bywlcjuvvo,DoG
bhiqkqgdmy,-404,zwacztwrap,0.2135,feybeqbahn,cAt
643,336,0.2955,irevwiwoxc,0.2475,dog
0.475,sfjghozfct,thqtysugpz,-0.4205,caT,Cat
hxoerqpixo,0.2415,eygigoslsp,522,-0.2935,Cat
caT,0.4175,888,-780,-0.2715,dOG
-0.332,-0.4255,kfmpnozjag,-0.424,-731,caT
681,-871,0.0795,797,DOG,CAT
-0.0285,nuwtdkdnql,-526,cat,0.4415,DOg
uqerokseuh,0.147,-814,0.0945,-0.241,cAT
bmvtmcdpdf,683,uimeujeqsi,804,117,dOG
0.057,-882,jocwamzexq,doG,-0.407,919
0.365,-132,-0.234,doG,0.193,dOg
kzbbjdfmls,xgxohzxeli,-0.378,839,-982,Cat
-620,Dog,cAT,0.493,441,CAT
aghtxsjjco,0.1905,0.2655,-0.3675,caT,888
gyxzpihbxn,doG,558,-267,nlvzwqiyxk,dOG
-0.2695,-0.212,oleyydajri,-0.327,77,DOG
rzxtomhlcu,-0.346,DOg,-0.148,nfolardija,cAT
-372,cnrwkekpoa,0.21,-0.304,-245,doG
126,alpxzlrpkc,adjqdtbebm,CAt,17,-0.376
-464,-754,gqwkovfgvr,xibkhrczrl,-140,Dog
-631,ysisswurve,0.3365,doG,doG,dOG
0.248,-985,uqflxnewol,nszlhhyyrr,xenwhkwqbr,unjcuxqpyq
0.049,542,-577,soqobjrkqv,0.2105,sjpwudvocr
0.441,0.1085,75,lkjrmezxbd,0.0905,CAT
-50,ykscrlxbct,59,-107,-214,cAt
-3,0.3175,zdbjpwuzpr,faddhebdmc,643,dog
byszodzhau,dog,-0.204,qqkbpgbnnx,-926,Cat
xwwdywjpax,btcngfgzia,0.331,-162,chsdasglas,jnkwtowpxm
sgngxtwoxl,0.212,qxqrauxqzs,92,sqiutjbadl,dOg
dnucugynzv,0.3865,-0.1585,592,366,-0.1335
0.226,-0.4865,unhfxafttq,-993,100,cAT
137,pgvqutlbca,DOG,gucpmfmdcb,0.117,cAt
-102,-0.205,0.4725,-219,nzblvvwyzd,doG
657,0.1805,-0.445,dOg,hulysrnwlf,DOG
0.405,cqknupaltl,0.087,wldknzdwml,tpjkbsivgg,CAt
