PEt,tdymthtisy,neprtcwwfb,rmjuyskppm
DOg,-877,oemkjevcqi,386
cAt,vfqmgulkjs,ghoqvemcag,-0.0375
CaT,dOG,jqufhaoybh,496
Cat,cAt,Dog,-0.0015
-903,762,cyovthcatj,-0.0395
yxnaughunj,125,0.1685,-965
vliggvxsxu,anzdlughrk,0.006,zuiyqrfpwt
-0.495,0.4515,uoegdnnbrk,377
caT,-0.2655,181,0.013
0.1475,hdofydpnjw,-0.312,0.474
caT,0.138,-525,cat
DOG,-219,-0.112,-252
-0.475,fbijsvfafh,912,dog
-546,0.4175,koznhqobpd,256
slbcajdhao,gdrwegppbi,wqnbazyoyp,eabvdiggtc
0.181,uopujguuse,igluqorhlp,bplcvtzvwm
cAt,Dog,-648,dOg
doG,0.2745,743,yiqgmvsdxh
-955,cat,kmqicsnabi,jggakixhur
dOG,0.0045,dufzwhszqe,osdmjilgsk
paovkinjyq,-606,cAT,190
doG,CAT,-0.156,0.4495
dog,-766,-0.184,fmgajaytut
CaT,zygyvazwem,CaT,0.082
dog,luannchjjo,aztvdaejke,-0.3675
DOG,945,0.4685,592
DOg,0.392,wccyrqavuw,Dog
DOG,qbicljeole,dftcrlkwlc,-0.225
cat,842,fdkdilcwek,-0.3605
-0.0365,818,hmslvfbhza,0.094
deaqcorjvu,107,-492,caT
iikvtrnfbq,-0.277,-0.2285,iczankaywx
CAT,-375,-0.261,gzmytcvahs
DoG,-74,sojmvcsoep,vimifjqcqy
-154,-436,cAT,cAT
cat,-346,0.053,0.0425
Cat,kcfiputvoq,cnuztytvmb,fwyknsytrb
-965,-692,805,-0.297
CAT,0.0775,-425,-0.0965
doG,hzdnustgaz,0.4755,0.272
CAt,yrtnehomee,vojnppmdsl,gudlgctype
-470,Dog,-649,-655
DOG,0.4365,caT,dOG
cAT,-0.372,Cat,CAT
cAT,0.0205,CAT,0.4425
CAt,DOg,-955,cAT
caT,CaT,sidzvoogrb,-0.491
568,-0.043,-461,mlrckoarcp
DOg,0.422,0.403,uwlzvtchuw
Cat,cAT,sreqzrbqdj,0.2215
doG,CaT,-194,-0.304
cAt,-630,674,0.213
CAt,Dog,-0.0155,doG
cAt,-729,-761,-735
230,DOG,fitpfbwdmb,-0.2075
cat,doG,979,-112
Cat,-39,0.3545,puyptkhwzw
-0.32,-60,587,64
DOg,cyfnhhstdg,yxpjlpsvrk,cat
Cat,599,sedkvtuyes,0.2555
-0.1875,0.2255,awejodtltk,-0.395
hzfixdrpte,0.0405,0.1385,678
edgogolmpi,-0.2655,DoG,dvrcuosejj
DOg,rakyfuyzep,caT,xzvsnkxkjz
doG,354,151,jfstagdzks
gnidhgsdoj,0.128,-0.4165,355
cAT,DOG,doG,cat
doG,udwbiphfvl,384,tdmaajizpq
sisrqswypq,gchycvgtax,566,Cat
-218,-0.33,CAt,-947
DOG,-315,0.3275,vlreebdrym
kyoywmqwyr,vypvhaomqt,caT,cizfhxsmlp
dzslqgdmek,260,oqlafpwhsa,lfxcrlhume
CAT,CAT,-320,cAt
Cat,-537,508,rdfkezmvsj
