yjafamwfjm,bqncflmtoi,ricqghznrt,yjrrwsxicl,rbxjbfjhrc,lxrsnneeln
638,509,0.343,-665,0.466,-0.438
-691,0.1595,-0.257,-489,-0.3015,-0.1795
-0.2585,-382,-0.1245,0.16,-835,0.223
nzoihajxou,-31,iclqajhytu,htaodrdrhs,eapdiqjtin,uqbmxyigho
0.3955,cAt,0.2095,yyhhylgbjf,DoG,555
-0.3045,yzpiotqgns,0.0355,vfhfokashc,cat,lqxaqjzomc
-513,0.4205,cat,-264,dazblicivm,0.1395
0.042,-808,0.1015,0.1335,0.1055,DOg
trkwpvvaks,CAt,-0.095,297,gnkeocfhpa,-0.158
mkbromgjbx,-0.066,-0.1085,yndgihhkeu,-364,-410
zmlodkuddj,caT,vdixdmmjfk,efeteskaul,ptpbpuycnq,536
egvqonqwpe,-0.446,qmocrcbbqh,-0.123,tfwblidgnu,ohsshchdvr
-0.1145,DOg,kketscpokf,rexlfjxkxz,-0.1215,-0.449
-437,884,-0.3665,uejqibsgoj,0.4225,924
nisqrigzdj,yctmzwxagm,vhmonussml,524,-0.3755,dOg
0.4475,ososqgvftg,0.07,graroeymwd,mzznbbnttr,dOG
rfxpksaajz,-239,-977,vkkgtottpw,0.0265,tiywmbvnus
CaT,DOg,0.1655,yvtcpwcdob,-768,-0.079
mixphrpbbd,cAt,jfjwxydwqv,-0.114,0.214,dog
448,jghykimkbk,dfdmdevkdt,-643,fhitqvcrtm,DOg
jqnwbrwdyd,0.092,-308,cAT,mgsvxwapow,-929
0.448,xcvqpltkof,-0.331,-0.3375,0.349,DoG
-824,edptcpozwp,-0.2445,CAt,225,doG
lgmlobehqx,dog,0.2075,-0.4565,cAt,qfhtixdgdq
kvwpxswwmk,606,breokfjywo,hofczdaopv,DoG,101
xzyxwplyln,zbcqavehgt,-795,pqrxdnsuad,461,-0.0885
wxibahjgch,-712,gldqgvmxwt,zixbvovsfm,-853,vggneqnkds
-187,tbhtpwwoyk,qedwxmfjab,771,bntmaznmdy,dmafnqdpwm
fpjyadpdbn,-764,jmzkmntsbf,ektdznyvxw,cat,CaT
-0.04,-0.465,-0.3185,0.4565,-938,-0.1095
0.2485,0.2515,msqgdohjnq,0.2245,0.1255,-0.2685
0.29,clhkbiptfv,-253,0.4595,-218,CAt
aiwalccjww,zrwpppddhy,jlzemjyryg,0.0125,mwmajspahl,tmgdlinfqe
0.491,doG,0.3785,ftthsfgopu,0.156,CAt
eopjjtnpwb,eebtbkrvbq,408,-277,0.3315,0.3465
hgushteaih,-384,-0.4965,-441,DoG,-981
Dog,-270,dOg,cat,-0.1995,DOg
gsywtvuoac,gtcpqckmev,zowchkcdtp,0.2595,hrbtxzzlvq,Dog
ouwaxaezur,jdognzeywd,-360,-0.454,516,-0.2935
0.099,-0.1865,724,btztasrfxr,-370,648
-112,0.4015,-80,nbwoqnrput,910,fcqaljudgi
