bhiwstwltb,Pet,owsskwekrr,anqoovkfnw,sryjnpzmwt,eaubcbtdyf
-554,wvyzakczmb,0.4,0.0915,0.4055,cjrgldlvsu
-799,DOg,klxiivgxgs,0.443,917,ogahgcsqxd
-0.2945,-0.1985,wcucsgeepn,dOG,-0.192,rltryileoj
cAt,doG,dog,-0.2505,ewvzysgcmu,dog
duhlmsspel,Dog,-0.357,0.363,gvufsopnuo,773
-797,dog,dOg,609,vzgiktyyvl,0.225
283,dOG,knqstalsos,ihfnvsaznh,nerfpwusth,hyrfoojalp
-336,CAT,-0.3905,caT,CAT,668
55,DOG,cztvmwkcjo,kgohedtdmp,0.1425,-462
hykrnilrgs,cAt,-413,qxyustncwv,686,uqvmdrbytr
-5,cAT,-0.119,486,qzmdzatzoq,DoG
-650,dOg,-0.0295,maxzcyfxez,jmovnkdtxi,-288
114,caT,lwczfbblil,gepxwhqdve,0.454,cat
835,dog,djotcinose,-349,505,-161
mvkqdxiyoy,dog,-760,Cat,CAT,377
-0.1605,Dog,fuperumejy,0.11,0.238,790
-0.021,DoG,-325,dOG,-0.0875,hfibjcitgl
opkqxjlznp,0.242,ijvgnjwdwp,0.154,ifufttkrea,Dog
CAt,dog,kfwuhbyujr,tiqgefckmh,vmrotzbots,Cat
ndhhrdsqru,doG,-0.209,251,-11,973
0.1395,doG,-0.057,dog,270,0.3015
ivzxafbrub,CAT,0.106,-0.1025,cat,wbajpojqlh
pmsaxgrlko,yxmbwtsimc,gngissvsja,-0.415,0.083,-47
DOG,flhqqttqns,mehfgzrift,15,ocucdmmjzd,cAt
305,cAT,0.4555,58,356,-0.434
-683,DoG,pecutpqfac,xbclzawsld,433,Cat
0.125,htdputktrx,-236,anffyxpnuf,Cat,-0.444
0.0835,cat,CAt,-0.3735,-422,-0.219
dsdznqsatg,caT,nhinpmlnnb,ldxcmbnpws,nszocgrqch,0.4565
ljbxsgnpyr,caT,rzebrxqkbh,DOg,scgclzradg,adptrjjxhm
vpeuzzdvab,doG,rhvxcguybp,Cat,-0.3825,-606
-0.0035,dOg,578,-578,0.2275,0.38
-625,bzcddiigsy,-0.247,-0.352,wehcerxkqj,dOG
-960,DOg,DOG,-254,0.487,650
993,pklwnmvqgy,DOG,-858,gqcgibufnj,prpnjlisxs
799,cAT,-0.0175,634,onycpribmw,-0.3735
808,caT,0.175,-0.2305,DOg,cat
-0.236,DOg,mdhuuxovho,cdjkyxhixb,-165,-247
0.3785,-421,nemlabzdsg,wyzwkgbcvf,jhlsumkwkp,tzkzdtsclm
dOG,cAT,zaqhwgorxj,-340,dOg,Cat
jhztaqnyuv,caT,CAT,-0.1045,-270,gjzqzrajeh
-922,DoG,-0.288,455,-414,0.38
pdpfmmcqic,dOG,Cat,hbtlmdftgd,rujozhogqn,jjfzytdirh
0.497,-140,-342,dog,0.4185,naigcfaaks
jkuhpbpzan,-350,-0.301,-412,0.4705,-0.1075
fmovzkhymi,caT,-621,-557,dOg,-0.019
purzwmhobu,dog,0.158,ywtehutyec,0.4905,enpmybrncv
946,dOg,yobvbogbex,dOG,-794,0.4355
-0.1295,cAT,-154,0.3205,tyctiprxlf,369
msjzegvqka,dOg,0.06,cAT,-549,0.1465
-0.239,Dog,0.1595,zlzggmtthw,0.1065,feplzetdto
184,CAT,0.1235,0.283,814,582
-491,cat,0.499,buyznorxuk,-516,-0.0005
159,dog,-105,-0.321,-874,gzpwjpnjsl
-0.377,DOg,-23,-1000,-0.161,dieezeedel
-144,iqwrpyombg,-746,cAT,-0.1085,CaT
524,cAT,0.0805,DOg,-0.474,womevwirxv
doG,0.205,0.3745,-353,-469,777
865,0.484,0.4635,yqladxxgsn,212,-197
-723,-910,0.4435,whoijaqujz,CAT,icqhxsvcql
tqeqllnuch,-0.447,nmcolvatqy,971,0.494,oilbqtboow
0.452,0.3495,opavbgafof,hrdebyaprk,dvgcnedqwl,-0.1525
0.049,Cat,0.1455,146,uustfgwtzd,fuudtcjfeu
0.2165,Dog,101,nreoeqykpj,-726,doG
sczqoamlnt,Cat,-317,DOG,zcuqpukduo,jsqgxiclue
0.434,caT,212,0.3185,sxrtfozgcz,pbwmfhtsqp
zhqntvgiib,caT,0.353,-0.276,fseoqfzfyd,wkyowvbfwy
-933,DOG,beqoahjvng,bmrfjcoeab,iklbkhhgoi,hlvwukwjoq
xcbytrtvtb,DOg,dupyfikpjf,0.2875,-929,276
qxygwwunlb,0.4105,cAt,ewjxduvgrh,geprjioaxp,749
CAt,Cat,-0.2525,oibvevygpn,569,-515
neodtduequ,cAt,611,0.3245,vpoxusynze,doG
148,DOg,xqbxltngbh,-531,0.3355,-589
