cchpjzjlhh,tjrddfiahn,qgpfihokfi,gtzaqskupp
0.3465,-0.257,649,wvljkojlew
Cat,cAT,0.3305,46
ybqezvmewj,834,601,-0.336
CAT,adteasruoc,421,-894
DoG,ubwsjnodja,-26,-724
-0.3375,yxgklqohym,cat,-0.0335
CaT,-0.063,-0.4595,0.112
701,794,wodvbcltwx,686
dOg,CaT,48,DOg
0.371,dog,-230,snjnrtprrw
774,-970,900,doG
317,-0.0505,-578,qwouwpodam
-121,pcrrwvmrlj,dog,-756
txpowblhtf,ojtyjbhxcd,-0.18,gcdraxpuvc
-0.4495,CAT,ugwcekyyub,ohrjanvzjy
-0.478,0.041,tkbfiushyb,Cat
pxyyjovudk,-432,-0.2595,ztgazellns
dOg,igkxyyrpfo,dsgplnrxvp,-0.183
0.3125,tlnabzmljt,DoG,0.0335
ivbpyocahq,qpmyfypbmw,keaxzyvuwt,567
0.239,-0.316,-469,-674
0.3565,-578,0.2225,Dog
289,cat,0.2225,rovuhwfxqd
-0.126,-0.0225,rukhqapzcs,-0.169
doG,DOg,652,-0.2685
0.4255,DoG,-11,cat
nllsujjzjs,cat,bsklfcvryp,0.176
0.372,DOG,lexjdxnwdy,-249
hitlcheddi,xetafbbdjw,eevwxdvtup,0.4675
eudezrfbff,nnwiunvkxr,0.3115,igogfjpmtf
-0.3785,-0.0985,cAT,0.3965
-230,-0.311,0.0675,erzvnhbleh
xtwvhqjhse,hfhyemlsnb,-0.254,eqzlofbyuu
DOG,hokhmoieli,-957,-0.1375
CaT,ztuwdkjyaz,yyjtdpudzx,cAt
-0.405,izzymqjzsd,DoG,uljpuilqyx
-551,fdyttkgkcr,656,-0.263
-0.232,-799,0.0475,-549
dog,-598,-325,-0.062
-656,-162,oqownjhser,cAT
983,0.2045,DOg,27
-713,-484,vpronpfegi,iczyagzomq
rgpreefewq,kxmjfapvbc,677,0.322
Dog,-630,-0.13,775
xrjgvloocl,caT,dmjgflrgjp,DOG
0.145,kuoupiwzyk,doG,757
-784,-0.29,hvvrqhqoai,sllipbuqth
0.275,-0.376,611,DOG
bcdzpownpr,0.3625,-624,CAt
388,zjxvlzcqom,0.0475,CAT
CAt,iezmmjclso,gigpqxqrva,0.245
dOg,DOg,saxuoaiajj,-2
hpmrptumyz,412,CAT,oxjzztkgfh
-0.5,752,-0.031,dog
