byygnrbfnu,ioljtbbcmn,znvanbysuk,qsiyzzjrra,ouqjbhlppw,xdcqhnugsv
-0.2825,-0.2325,-105,Dog,Dog,-0.17
-306,haeoxqbenx,-526,-789,0.035,edewjcecaj
919,Cat,0.494,uttuihoacq,-305,0.485
cytqaqcwqv,fwvztrdnwy,lctwgxcqaj,naitxdclpd,991,-0.4115
683,0.371,178,0.1145,-741,uupwhkxjis
0.016,-0.2565,-112,ihaidwdptw,0.3285,elvmzzgpqt
78,573,0.185,-0.2615,86,34
-670,doG,epmonhvkoy,0.29,256,-0.367
wxvfubtbhz,131,0.3545,zlevmpxbqg,-257,-212
pcglqevazl,-0.183,273,rdktmkavvd,-997,cAt
0.0345,-0.0915,793,-0.1215,uzkkfkuihd,-911
-667,DOG,cubcylhbaf,-497,-0.0755,977
-407,-0.137,370,-33,-0.244,tyfmmenrbh
-0.3175,dog,-487,-514,581,tqnwyszget
-0.2755,tyxlsritrd,dOg,39,0.009,0.1235
0.1175,261,0.372,332,0.3045,-484
ccowoirkrc,0.012,bjxaqvgvej,cqjtwsgjhw,0.4265,66
tedmjuaiie,0.402,zgluymckzu,-122,-0.3475,-949
-0.319,iyncnirnac,-661,771,dxloyhjnoo,441
-96,-735,mwhdyfppdh,CaT,102,lgyrxflqpe
ijinuhglye,cnhzujcrrm,-0.406,-0.1035,cat,qtsdpsrphy
0.3145,DOG,397,-110,-0.0325,733
0.19,0.438,993,294,nrhsrmdxyl,cAT
zgabuvugzq,-0.021,klmtdjmmcf,Cat,CAT,CAT
CaT,-874,Cat,DoG,-0.3675,dog
710,DoG,-563,528,142,0.439
-470,CaT,0.3945,losbmculbu,DoG,-155
vuswjcnuzn,dOG,rbdiihgujy,-0.474,Cat,71
-233,-566,544,-621,ssvqjwjcye,evlhzoocpx
-0.496,dxwpndiooi,pwpdprahve,ifflwfzeau,-775,jvfoeveuwy
dOg,bbfhlvwvwm,nsidoitssp,swqienhwpp,CAt,DoG
-0.0265,zwixksrzkj,dceptogqdl,caT,-0.4605,nztobxttza
-247,779,dOg,jthojwtibe,-30,826
-0.0425,Dog,0.4645,0.027,-0.0635,795
Cat,-0.3085,760,442,0.317,0.296
trpyccafrk,wchodrmyns,-0.362,-0.043,xyqsfhrlov,0.371
CAT,Dog,dOG,0.022,yyswdopkzc,doG
dog,-0.1865,-0.379,0.0655,0.485,grkceztraw
0.3155,-0.234,-158,upcovilngo,syfjxlhwym,-0.1175
628,185,caT,-0.4765,dphvqecbpu,-0.407
282,-0.4725,794,dog,-0.2845,405
