ndmzmmklmk,ekzmjitanh,hznvnwaeav,jeyxqjebqd,ovhkevkqzf,cthvyjulkr
-0.365,ytuejgcolg,0.2675,0.1785,0.4435,-382
CAt,CaT,gpguqmxwar,720,DOg,407
bgqnymzcus,0.075,67,frmzkfbijq,-878,-0.081
811,604,dOG,-0.147,nuozpaegtm,rcajucbbwy
awsmetuicq,871,0.067,-0.021,366,jdqctwvioh
-131,0.394,cgngsldclm,rlusddknsv,-0.407,-731
-562,twzolrauzc,CAT,gfypbahuol,mgpzcarktj,561
0.1355,DOg,ggjdhozmlz,-0.2705,ekqzwoqtjm,0.246
uqrflxgzgj,0.0545,217,-0.0705,zjpgsmpbbz,0.2925
-225,buavllclny,-178,-173,lgrlncpzci,soagkoqamn
-0.0335,CAt,eabcxngnek,CaT,owimkniytc,337
0.3025,vzxizlraqo,whpvapctej,CaT,rkqsxflfun,-0.189
cAT,xzllayrhpv,znitaaqyns,0.022,-42,DoG
-0.398,CAt,156,Dog,opupakaozr,rtnjftazyo
0.274,feyuriqaye,wuzvzcebim,-0.445,cat,-0.4405
0.261,-808,CaT,cAt,0.354,tsbzyczrsi
DOG,dOg,krgaybjhth,wxzydrmqho,xxhgtqnbkv,-787
274,cAt,619,-0.225,ojuimmajld,540
rdzqcpeaqf,zqtxkavgto,-919,-16,0.345,msnhaxvlkd
llnrnhibjl,0.2145,683,-226,CAT,0.062
doG,cAt,marzeuqamp,0.4995,DOG,494
CaT,kknzfnfxan,-0.101,-0.4055,dog,fmyrjwxcls
pnvxuxnymh,hnxhmotzpz,dOG,ixzpttltma,0.259,dog
-77,CaT,vupfkuzdbd,clbvrjbqhm,-0.433,854
dOg,dOG,CaT,xpkgnzkwsy,cfkettcxhg,43
Cat,Cat,0.4625,gjhtbbrzwn,-532,627
0.229,-0.0235,-727,caT,0.2825,0.4405
doG,zmbxxeuiwc,0.4945,0.05,-653,424
akqfhaoszo,xesirmdpfe,-0.3825,vboarmaqkj,lsafbgzcvi,pvdqymvvsw
-0.488,wwxkbabjww,0.12,-0.171,-164,0.3485
372,-498,pbbnodkpdv,-0.003,-122,0.067
0.0195,-0.4705,-0.1905,0.3285,skpzayzpwn,0.117
-0.262,CAT,rvvlvpmfhi,265,-828,gjhqmfucjo
CaT,rdndnekger,0.415,0.13,losbguobwn,686
caT,-949,qgbvoieuhz,0.144,438,dOg
-0.484,-842,-772,augqzpdbko,-288,-702
stoqubsnuk,CAT,436,0.3695,0.047,cAT
jiptfpiwty,-0.0505,CaT,Cat,qurmtkvxcs,0.465
0.4875,lpwjrpvdxf,586,qfeomjbejs,-0.182,qjtwiyccyw
cAT,0.4165,663,246,CAt,0.2885
mytbveqjcp,djbykuhwlm,mwdgoasvcz,yevqmsecht,CAT,nupirhrdzc
-0.2185,-856,250,-0.4645,Dog,xaxbyjwjod
CAT,wmrxjgfpor,967,dOg,arkefxmjef,406
204,Cat,CAt,-668,cAT,0.192
DoG,DOG,-688,32,ksldilgwal,-0.2725
caT,-0.229,192,-0.2995,0.0765,fzgunsbers
0.084,0.132,spoksthehq,casvtntqaa,qyvfovyoad,0.0135
782,-929,214,0.0225,muyhvvombb,-0.261
0.4795,kqikpqqkjq,716,mqqqyeaflt,0.1005,-0.187
doG,-42,-565,-82,173,-579
151,-0.3295,lbhtbofwhb,uxaccufsje,-334,0.368
depseinkba,ybgvxbclpp,0.4335,dOG,-0.133,CAT
0.2975,lgcclavhcm,nihrlaogxc,-793,owtuxstfxr,-0.029
0.2715,-417,-0.1105,pwwcjvuduy,uqpuitjyzw,328
yxheydtbyi,851,0.2295,DOg,DOG,CaT
0.3345,dOg,Dog,oicescytxz,-581,ullxevwyxn
jhtnxhkpfv,qbgfuolltn,943,876,dOG,lokbjmsmwk
401,-395,453,605,ekdsectmbi,-936
ztdamkvnal,-251,-214,caT,-572,147
-299,0.052,-0.4475,vravfmvnfb,-4,cAt
DOg,637,754,145,qvanfuhtey,ugvqirnkrw
-0.4845,0.2455,0.2725,-952,vnhequsjsr,556
0.3355,958,779,zqfodpnpws,537,308
876,448,gdkhpattkn,gffofuoott,-0.162,0.4285
304,jskunzzuvd,0.2315,vmxwyydiwr,477,cAt
0.2795,58,iysndumtow,CAT,-821,-376
doG,rpfmfzcpyx,-0.083,0.1005,0.2495,-452
-0.0745,988,bzoutjqvev,reupsfnnpm,mqxdsyemgf,vtyxqveutf
0.2985,-942,cat,Dog,fnudwrhxsy,-472
0.0645,-0.2435,Dog,593,Dog,cykyhvqrds
399,-859,-810,abgkrflttn,hriiewxvry,CAt
-0.028,fghmdawbvx,egodibjbpg,-209,xoavaeqeoe,-0.3955
blizpklwmb,0.1095,0.49,-918,-0.4785,ssvnsmtvyn
mqpxmwppsd,oudfvvzzvj,747,-0.274,506,-342
0.0105,0.463,Dog,135,223,0.1265
-373,fyuyjkestt,-0.0715,owyjdmzslb,caT,0.2835
CaT,-0.26,-396,-773,301,cdodlhockm
175,-43,rxztpwkoeg,fldtrxbpjb,-514,mgmcbpixtq
-0.267,DOG,-0.001,qijcmqnqpp,247,0.448
86,-625,-0.3165,-92,doG,dOG
caT,dog,56,-534,kbyyhfelkg,0.166
igwbansnzn,-854,CaT,-0.0995,Cat,-0.0325
-0.488,580,-0.172,-0.2085,800,0.172
