lqpkdbmkzg,tlskexuhyz,pet,kondcsmogo,druhwtutsd,hurjeatydf
0.258,-0.2805,dOG,-0.1915,0.2335,-811
-0.2365,426,gwiixzzzgi,-434,-704,sekiclcgxy
0.026,DOg,Cat,-667,lvqgvynibe,0.4685
dOg,0.13,DOG,yfyvieyfum,-81,vrhtcoseqc
-0.105,dog,CAt,ebrfpfhloa,cAt,-0.0935
0.289,-0.1495,DOg,tabomxmoex,0.4255,dOG
786,-0.269,DoG,-838,dsyttofsqh,0.1995
cAT,-262,cAT,Cat,kybijkxhml,286
svwvxcavit,0.204,0.001,-235,CAt,Cat
Cat,-0.2095,-157,ojjgvqvrtj,vpkardsoll,dOg
-623,-245,Dog,-0.0255,cAt,0.1345
676,-0.365,cAT,xrtmcywxeq,venapnnirs,sccbuwwgcs
vjsgrlpsbu,-468,cAT,0.198,pmwjopwmko,bxkzsricnq
0.397,0.427,dOG,CAT,doG,xfgfzbrzob
shwafujqpc,-709,CAt,hrkgrqeutr,0.2955,doG
fywdmeolll,0.025,cat,-931,396,cat
kxsnkyjwul,pcclcyjjqy,Dog,ddzwggceml,-670,zqewzyehmn
-0.2945,634,CAt,dexfwaedhn,mqqnkjcazk,-0.3405
dog,flpsmlobef,CaT,DoG,myeyihxabb,dog
ssuakxkahd,390,dog,cat,-0.4925,240
zrnnthqrvc,kzjlucxshd,0.154,0.4835,ahmkukyava,610
0.2805,CAt,449,-274,oenwfilmvh,0.421
dog,361,cAt,-0.4635,-0.3215,Cat
hjynbvmpce,CaT,-0.062,-545,57,owkavcqmwl
dukqvapkjb,0.0355,1,Cat,cAT,-0.4225
-0.008,swdmmzoocp,Cat,281,caT,CAt
doG,-59,dOg,teflozbpki,-645,-0.061
563,-0.2205,Cat,102,-442,75
