vxwzlyrlnn,ctsqgsagha,PET,vqmyplgzrg,tuqguedfbf,ihttqdkiiu,gatxbqdfqw
-0.005,ddehtrnghh,cAT,0.191,yqxblrllou,cAT,-70
-27,368,hjtejtscrw,523,reirvvwmsf,vfzlnfqhlb,CAt
0.289,-0.45,doG,155,DOG,cAt,vryavgyddb
-0.3425,0.196,Cat,959,-419,647,288
-0.388,fxdvctiieh,caT,-0.135,0.2015,0.494,-856
0.3735,CaT,Cat,-0.011,60,rjrpfpdvak,-584
17,-0.401,Cat,empwkkkehy,gplvltbdry,njcsbdqztk,-0.307
dOg,-503,-0.342,0.084,-905,-0.0255,0.0205
cAt,0.233,Dog,0.033,0.2595,uwmxmtvjaz,0.047
-0.0425,-12,qpsyeyeufw,dOG,0.466,368,caT
fhndjbpwhp,zdqvspipyc,cat,oyjmmhxdge,xgtgjqrqoq,DoG,xscfoszfve
bliiupfyyc,-0.073,sbsqghrdtb,vexdvnlyiq,893,-0.038,-0.47
-292,cAt,-0.2415,dog,cat,597,0.2795
ijooriclcd,-242,cAt,slmazbuevz,0.1825,0.0595,uvttllpkre
sjnibkplgp,qqwtkyxjzn,0.354,DOg,0.1795,538,cat
0.2705,-0.379,svruzwbugv,0.4245,-0.1865,0.1075,ydlmidyldo
mirmuicepu,911,-606,0.044,0.1445,-305,-0.274
0.0245,0.4835,CAt,gsyiznfxoc,DoG,doG,oemxbziihm
-29,jicycqfryj,dOG,0.0305,340,xfcflyozei,horwqzmqek
akyrqvazjw,dOG,DoG,854,Dog,-0.1805,zfdufdwebg
cnimhlzvxk,euzhldvjeb,caT,nvvdgrhira,-758,yaxgstgepa,cAt
webkbactmz,804,caT,-0.399,543,grxauqtmyo,348
182,cAT,hjcntifgti,0.131,caT,0.3735,160
0.1095,0.205,DOG,flqwcftwyy,-0.076,0.172,-0.2715
oabcsxuskx,zhbcjaieab,dog,hwczglkdzh,dOG,-0.0135,997
licuaibvad,718,cat,dOg,-0.026,-0.1745,optftjmqhx
lamvzxjtiw,-0.404,DOg,-0.232,-438,0.128,brkpwazsak
axvsacxfez,563,dOg,-551,-0.1835,zekrhuahnd,caT
982,dog,CaT,zwqrlxnwbx,sfwoxcddxu,407,912
-719,caT,Dog,otryerieom,-747,183,xyckbsocjv
-847,wppquwcrrz,dOg,826,-0.219,-469,0.113
-0.179,-379,dOG,598,djwszxsaor,tjdcufnccd,vdhnwybxll
-521,isxeusoaib,hdunfgzydl,kmghwwaeao,426,cAt,587
-155,-0.1635,ibpajhfaup,-0.0285,DOg,0.087,872
0.4715,cAT,lbkgfbynwt,-0.1405,0.2655,-506,0.088
-0.0725,dOg,-634,639,pizdmnuudz,251,thoziuqudn
-487,-601,CAT,-0.1095,-0.297,rwtjdjpnld,0.251
gyrzllxndz,ewhgjltqdq,cAt,kagcyyvclh,0.398,51,CaT
-747,-0.401,DOg,-370,bgmlpzxahc,Cat,331
ncypprghsj,CAT,0.334,-362,45,-855,-0.244
-0.015,oosssgbosh,kbpjsnuvae,238,-775,csoulvdgvz,xwucwnrkus
fmrvhdpsii,nzjpvwoqdm,Dog,-0.381,-931,-858,fsjnvnirnc
knfppfluye,-0.1235,-746,ytumllvjfg,uoruvtspru,yidqzubicv,-0.492
0.475,mkzbhkjtxb,dqvsvvzsyc,0.269,amjnoiscaa,269,729
cat,-0.1955,doG,uoduribxih,387,ivcbvmzlrn,tfgvljodyq
-0.3185,adsprkzfzp,DOg,0.427,0.1115,-0.3785,pwqrmaahex
0.4105,cAT,DOG,mmlmztvcpg,mvjgahakli,0.2975,-0.006
bjkhpngiro,zqoddbwwkd,dOg,DoG,0.4085,xcttjazsna,nqlpygxnxd
0.202,goclwpdwsu,CAT,dfutcpimht,-0.403,bozhxqcnhj,eertouesjj
cAT,243,878,448,0.3995,768,qezhizavta
699,DOG,CAt,zrdonoeezd,ylwfizwqci,pmlkywwrhd,61
0.45,-968,158,rtigrvpmnk,0.251,-611,zogimsqmoz
dnhbwzuhlb,wdrehnuvzr,0.258,33,961,-316,-377
Cat,CAT,CAt,ayhxbxhffd,cAt,gxtdlihqpd,-0.178
-14,0.103,ecnbfnpqkb,-895,255,-169,-350
-816,235,DOG,-0.177,cAT,0.403,0.4695
0.1375,-0.115,DOg,DoG,yizachnhsr,DOg,brqvkyzdaj
-0.032,doG,CAT,0.3165,154,834,659
szydpyfxfb,-0.2365,rzhtpnshzc,pgrbconzrq,-0.3275,-649,bbuosxeedf
wgwqqfdxnh,mgbdiodecz,DOG,-0.1675,-439,Dog,-0.334
-320,ycncgphuis,0.219,mzusjnjbdx,Dog,dsandtdrej,hkltlccnkt
662,cAt,dOg,709,0.2815,106,kdftoapreb
cAt,-106,dOG,qpvcdtxzpl,mnluosorfp,-0.462,0.307
eggojakmyl,cAT,Dog,-388,-333,410,993
DOG,0.032,bkrmkexsso,ewvubmtovn,DoG,-0.2665,yfmbxrffgo
0.2035,-0.332,dOG,ntrxnwsbno,0.4855,-0.4845,56
-0.391,0.463,doG,DOg,figdttfxss,-0.3925,-0.259
wsosvodmtt,-0.179,CaT,123,-0.333,khhnxchuqi,-112
DOG,Cat,CAt,-0.0315,-0.2895,doG,dOg
atwvcyjpgw,dOg,-0.4515,-0.164,wuovbfqtsu,doG,0.092
0.015,0.164,doG,155,-120,pzoplzetdg,qishjcnzej
-625,-111,0.383,-0.441,jjlwfkghxr,CaT,0.3775
