qeldzasfnm,enlmtgrmle,dcwnktvxdw,vlattvgotu,tgntudzekp
767,mpefudttft,-0.33,289,846
cat,DoG,Dog,dog,kltnrwbdkh
-0.2015,ifkxpkuzrs,-161,-0.17,dOG
Dog,dOg,Cat,DoG,-729
0.006,CAT,zynsttqltm,803,-0.258
948,dOg,xkbdlwcivc,qjxeztkkck,cAt
755,-0.4435,CaT,xgarzzeljx,-191
gyrfeozybj,850,jagqdfwnhx,-295,rnztcvevpd
-617,Dog,DOg,DOg,zcxrnepakq
cAT,tgxagasqml,476,DOg,cfqncbbrns
CAT,-179,xbkjgcmmgz,0.331,-0.3945
xvivsnfbzy,ozczpydrfg,doG,0.3875,xcakdjhbmp
0.418,jwwwjsajbj,dOG,-135,-0.1495
bomvrgfwqv,-0.3865,0.4015,cAT,wwxummigko
gdouwgsobz,0.4045,xofwppyjnr,-0.422,-381
ggtpzquwgl,0.2115,0.275,uoxhxbnmls,567
acenaicnci,twgzqrtwem,sxmwueiamd,exqsoiywjr,hrnthmmiqc
-986,cAt,-0.1885,zucsuwnykb,dOg
Cat,-510,wyppfhhovi,-0.072,ebamnlszzw
jsfqivuyhi,frjqyefqbb,817,zndeurxxyk,0.159
0.378,-755,-0.2975,634,-0.375
hxedthjhvo,-0.4545,Cat,-0.2325,-888
kbwmtxectl,ahrrputgbq,yqwunstvzd,-563,-699
cat,76,0.356,719,yscsbihykw
caT,897,89,Cat,-0.104
0.192,fllrryesca,0.1725,-0.172,-236
wnbnuzjwpj,-0.1815,vjgqnjrlhq,0.454,-0.154
0.422,0.2485,-913,knrhbcjedb,ksqifgxiln
nzepyjxctr,-0.167,ogdcnhwqrl,0.3485,0.272
caT,-507,szdzfsobax,CAt,-0.265
wtzhffbwuz,-9,-0.3105,idckyxhmrb,gxuysfnnjs
yhqgihfmbv,qtiponfzud,doG,880,jkrlkjsnds
djijzgkmps,oaawewtoru,125,216,-0.228
161,0.2385,vlcytoyatb,wtispdsqcs,0.4525
xcahwzmwrx,vsihbnhchu,lxmzwntuti,zeboxigblf,750
97,-394,CAt,0.091,-0.06
Cat,0.3055,Cat,98,lpxwddckuf
kbknecntkh,-13,0.236,-0.0775,zqsbqgdzyd
-0.3665,-0.427,ukpjlzcvmp,0.258,-0.2375
947,caT,27,464,0.46
98,doG,makdmkkdxj,532,tofwuqpwrm
-0.176,370,cat,-451,-0.398
-896,eqmvhzosfs,yylvbkpbgx,-0.135,-354
dOg,0.218,svpufcqdvn,-52,-0.1685
-0.164,533,ntgszjbaew,-0.415,-533
0.031,0.436,0.4425,cAT,szxguuherp
cpfurfpumt,-0.28,556,0.1735,suslzfbinx
jtnbtgamrs,djimjydblj,685,-279,DoG
CAT,virjbsmxsr,ztwpzhhmsg,-0.077,0.415
-241,qokvteielf,lanlkuujyy,-0.2035,xoyupahfdm
skltjpmwbn,bqsskquapv,DoG,242,-140
dOg,-443,omlymzptyp,egfzsbypcb,pcoynqvbow
cAT,0.1165,-408,yawoclmwwy,ffycnssgzy
-0.411,Dog,43,CAt,-0.3725
17,Dog,-0.2715,prhxxotslw,yudlbrpgnq
CaT,CAt,0.3995,Cat,-759
0.4275,qisaimvxev,26,0.186,-0.0675
-0.371,CAT,DoG,-412,-0.4245
-0.027,-259,0.3335,frbrtytrhw,joibquaiin
DOG,DOg,mtlktqigyg,-175,llkibajuer
fvrmdiqqhi,obpyqlqddi,wlifihezwn,-323,0.288
-349,-607,mghhcsktco,-0.3205,0.2645
55,0.2945,xvqzmtbgtq,cAT,DOG
0.0535,-709,0.255,ayjtghxfqw,-514
0.438,615,xfkwzzeguf,849,-0.0375
-0.4965,Cat,toasoofdkc,-403,fifeufcfwm
cat,maheitndju,0.1075,0.3435,CAt
-0.247,552,wtinuzcmcw,svoxdchsgw,tpcjaxhiif
563,0.4555,qkoaeoreel,cat,0.2705
lmmnuhprhj,-913,CAT,jotdxbmwhf,-0.209
-918,mghnmfezfw,-0.48,0.0845,0.081
ejieeqsljo,-0.398,zeajcicfhs,-534,607
nlfrfmrrzi,0.0235,kkbipdnnrn,doG,359
-543,Cat,nrfxoikalx,0.328,936
389,luerqxtjvy,974,-0.445,Dog
-855,17,0.2975,0.0375,CAt
0.1195,-685,gkarijopgl,-236,-0.4535
