jfhmcgjjxa,btyofbudao,augwigeszu,knsgddgobf,aayibnjkoz,lerwrazyur,lbanbeibuc
0.0785,-0.1205,-0.035,yrxsfzngqw,oxwjxfgtgi,fgusuzicgc,jzancmpicx
aacrdjjujl,-0.148,159,-0.351,790,0.337,0.159
cat,Cat,ogrbwchilw,0.2705,-404,-480,662
CAT,caT,-247,-0.1255,0.296,ecmputbbkp,-774
-0.046,68,0.396,0.365,515,caT,0.412
hclecseots,-149,sblkrbcewe,836,dOG,0.203,309
doG,0.186,-0.351,-0.388,iyfdcrnwvc,CAT,DOg
durvwaiwns,-0.4035,-0.4485,CAT,lwvriqzjgr,ifgxgxsznq,ydtoitzwxq
DOG,-0.3505,DOG,zwjhaumidu,CAt,ddngqwhvxh,vseihcpmwh
0.2595,nsdwzvwkbh,dog,wvhuftauym,-463,-837,0.1945
0.2375,CAT,0.0835,dOG,-0.475,fmgjmzpchj,bigysruqwh
708,295,oaeoavmpow,caT,CAT,-770,139
DoG,wlrvbotnzw,zyhikvfmqh,-0.019,caT,cAt,723
mbybqjevxr,-0.253,286,npdtwlrbuz,-396,mbawqyaria,0.063
nsyarzzvpj,-806,gkrpgpwelt,sfziqkaovb,CAt,cAT,-0.0495
-0.1665,-487,-0.16,0.348,353,cat,555
dog,cvrzsnanhb,-0.199,-340,Cat,DOg,dOG
