rsawkjyprh,xqprgehooc,fmpvtrsdck,xnffylucdn,chtrnmbgko,klsmzyqhhv,furmockhfm
-0.3615,-0.258,gouedhlmgi,0.244,-0.4755,olhgehatwo,954
CAT,CaT,0.0195,-0.297,-51,849,cat
-0.2185,64,dOg,0.46,-0.038,-457,kvbplprqbp
-0.0005,-635,uckqysvshj,xpvybvolfe,dog,mwqbugaplm,-0.2905
dOg,6,902,-909,-54,sohuiggigu,-665
sfavkuvhlh,-0.1135,-122,-710,koiqflkboq,-463,896
0.4435,-62,-0.1185,cvtqscxnau,387,vvaalahjgl,263
cAt,-117,xmitienadr,cbafojkdyv,-926,-880,cAt
pritsjiajg,dljekmwxwc,270,cAT,Cat,0.173,glhsoewcoo
-988,cAt,DOg,0.089,585,-584,doG
ywptujavqq,-253,buttquiccf,675,371,455,DOg
208,-0.1985,-145,qcheiwnlvr,yxptrhobrq,yxkwvzrknu,juigocsfbn
722,Dog,uqeoxrvcai,486,264,jvpkoujqmo,Cat
124,Dog,0.291,vkqcepbwht,zecswkdtvj,lxtihrybju,954
433,cmygatulgz,-0.3265,wqocluyryb,cat,DoG,rgrotelqlf
whugvafeom,DOG,CAt,llbnmrluqz,0.363,0.0505,-63
