xcppksrumo,mcfbobwdwk,lcvpcvwzhv,altlwfllao,plfeivrfrj
-971,lvaaiyrzdh,dOG,0.3395,xuppmtrzok
zcundcgagz,yfyedrcuoj,wxyrvmqfds,hofenkrldb,-0.357
dabiyocxiv,-883,-0.13,-488,0.278
618,-874,DOg,ntpyjawabw,xvyseekhhw
476,-0.4945,-124,dOG,-804
878,-272,0.067,zbyikpzrrv,izzlafyvgp
806,496,-0.1665,caT,298
0.229,-365,dOg,0.4125,uzybubmhvo
zutkakovbm,ukshvkudox,CAT,372,-913
351,flbjqeojcs,-0.4735,782,-112
-682,391,699,-0.095,0.1255
-0.482,DoG,863,0.036,0.4915
-0.1835,scswemdbek,-451,-0.2885,caT
0.374,kuhplpuwwp,0.0765,491,-831
Dog,zsaoluihey,noctktjlni,-0.1475,khcwrihzor
-0.4955,zmqoagiuos,126,591,nspattgkzs
-652,-0.1845,0.259,0.305,787
-286,0.032,756,DoG,366
unwxwdjctf,219,yqtylkpora,412,-0.2665
0.4365,-0.3875,-0.1105,wcobskmqjj,cAt
947,kapixowpeh,glrndsgqdq,0.128,183
sliaidvsnm,dog,ddypymllts,Dog,jalohdwoze
87,cat,DOg,ccvuhdjcrt,dog
CAT,-0.481,975,troqgffeiz,519
iuvrjmhcfj,-820,qslmsoehfb,0.1035,-993
rctfehjzdt,188,twlrtzhmqa,lqjmelfvnk,CAT
ustxjilaex,DOG,0.3655,-364,956
xahztkooqp,DoG,dembrcqspk,954,svzgcemvor
Dog,CaT,149,-0.1215,ggesobqdmm
doG,ckdhigcpgs,0.267,pyxvdbkxvm,iiwwvfjvab
taxmfpaxew,-331,dOg,nakdtustel,120
0.283,ybgxffpwwa,uozouuzkyj,hrkavrgetg,-159
-0.2695,dOg,jqbfxaoytf,gdzwlaixaz,txamsqvddj
700,-0.4555,sunrlmcofr,0.0915,363
816,gfruwekowh,qyucvzhcja,vlscddfhgz,-0.175
caT,oikvzfqabm,-0.317,-0.4045,mntbgawrgi
242,367,-417,0.1465,-553
-718,doG,-0.114,0.0915,-0.115
-893,dxaecmjxok,doG,105,homfgdthnr
sqjacfefow,giqlbipacb,0.414,288,-723
-0.348,-799,-0.2055,nvgxxskvlr,0.364
-0.3735,-0.34,jobwgwmocy,zltgujxnrq,22
-873,-0.295,dog,gefqekrbxg,-472
cat,0.1595,srszplfrpr,cAT,-0.3315
xcafgmaxvq,gmsdojgate,817,CAT,zinwxlxecn
0.0135,766,tsyqrviwun,-0.101,-0.3795
