kzltccqowm,ugtoupuoge,tdaypiecqf,bebefaxcic,fyyimkpbjk,ajahhezjau
958,-0.395,nzrgyxrtov,0.478,114,Cat
-92,CAt,0.1025,0.1655,241,ysoehwplny
ckvfwjnflb,-947,jjdpciqpik,0.0675,-965,663
dOG,duidyesewx,-0.0015,xaupxbsicu,ldleiligml,543
-811,46,-853,gnqehyixqr,ancyegxbcv,vhtlldsmvl
Cat,-0.1045,xjrmnrqvyu,ofequrshxg,595,lnxeelsgzv
-0.121,-614,-840,0.44,-63,cat
dog,-747,-0.274,558,184,pczghkqrck
CAt,0.1635,mxnzhmozka,ussbzfyynp,260,DOG
0.21,iekpfeyeoz,poyjsvpuqb,-589,entuaqnyiy,zmtnahbncp
739,boibftlerr,603,0.296,994,szwjqosiol
pikxumvvld,165,Cat,976,izbqvotknk,-0.1785
dOG,caT,CAT,-535,vootyrmwlw,seerdkhduh
tarxqauubb,0.4635,-28,ivktklyxmy,-501,-0.415
rjiwxhuzod,-338,0.2735,0.498,-0.216,iaawqlxpdq
-462,479,dOg,-0.26,0.488,-636
DoG,-920,277,CAt,-765,0.0135
-0.1615,0.169,-0.195,mkjojrpfdy,-403,CAt
minklnqosl,0.2395,elzgfixowv,838,zqnvwobsxj,-544
-0.426,-0.0855,kzjxjgvsmq,mrlioaeaht,666,-702
-917,-0.032,-566,0.4235,dOg,-0.1475
DoG,hxwotemrkd,dOG,26,-660,267
jwhvcnkobi,ugrolxexpk,0.1705,-0.2905,mmerasxkzn,dog
-0.232,-0.3835,0.213,cat,tnhwyrforv,rodbhjvfil
-780,tcasdabgkg,CaT,264,-0.0615,-0.0065
DoG,psliiucyld,teryekwmea,oekmkfbbfh,cAt,jadmbzduvs
0.107,CAT,-738,589,-851,0.3185
cAT,-509,-262,123,-0.1765,617
DOG,jlqnsbtzef,0.0915,bxdjcvlxlc,ovhmicwsjt,278
-571,-253,-0.0635,tprngkoswk,CAT,DOg
148,0.3325,-0.306,CaT,-0.1805,679
-0.2095,-0.0345,398,0.311,cAT,234
flgpfiephz,0.4475,-421,0.296,227,smpmgaqldi
0.0605,kwtkhbjppm,-312,-776,leqglhnden,pihsrsmvrq
Dog,-132,zmgrhybkhr,-0.225,obxrgjimga,748
dOG,0.048,22,851,txxzmprvdj,rlnsxwipyu
tkagxnrqiq,mxebxxmhff,gkifajfplu,355,0.055,0.0415
CaT,-0.098,ezhygnugwy,-0.2675,0.3145,CAt
ggdilngbsa,CaT,0.4985,271,dOG,0.345
