iidxtxmhrw,ifrzhunkqi,bssvldlaea,PeT,mhgcwinkny,ebzntufoyv,jrdepywndm
bpxdmryndk,0.2725,0.451,qtotevxkyk,0.37,mmlfuhrdze,0.4895
CaT,-295,-931,0.2105,-0.1695,0.303,741
-0.279,qsxgrpbemj,324,-630,-512,-132,328
-698,-787,CaT,cAt,0.154,eccylbdfll,0.101
524,0.367,dOg,DOG,eitlfhsmpx,0.308,ctjusvdebo
CaT,-0.195,caT,CAT,-44,0.1775,fxfmkbhwlk
Dog,642,doG,0.428,-785,0.273,-0.312
eoxkdlllmh,-388,519,CaT,0.3045,xvpgylzvrg,gxihyumopv
CaT,jvcolgprkz,CaT,ymjvffpwme,547,0.152,0.0715
Cat,-288,0.2115,-904,tpyewbpowf,-0.3225,0.024
nlvwkvcenq,-880,CAt,Dog,-969,mlvuxbqksz,-0.485
aqhinnidsx,qajaubefju,0.3155,dOG,0.263,nfwhlqqmah,912
2,0.493,sljsrdkhig,dOg,453,-0.3305,hmkgatckgn
-114,86,lufmcmiwsd,cat,-0.2785,-0.1925,dOG
wahnomqetk,910,zjwggusyji,cat,630,ecztbeasgu,0.2945
uobtzbcoxb,DoG,0.472,oqibsamuro,-0.219,89,tqzyiwslaz
0.259,cat,-477,CAT,-277,stdpbofgoe,qwlvsehrvy
-339,qutnmqbwso,464,DoG,oelpfopast,doG,-0.3145
cat,wwwdvufyjw,CAt,dOg,0.087,dOg,CAt
-852,-0.279,xhsluugsmu,cAT,-999,135,pavozbuqkq
-0.1205,-0.0775,0.1415,asudxspfwd,cAT,cAT,Dog
0.132,194,dog,bfxlyezleu,0.291,xkvteoakmd,dOG
-295,CaT,938,dOG,378,-0.159,fblqyhgjde
DoG,-83,akooaoqogg,cAT,-311,rbpvftfaug,dqlswsnljl
0.4645,0.404,322,cAt,issvveljuu,kidzjiywnx,-0.0485
rzfxfdjgqs,nnjjdfadko,608,cat,utwbgsofsq,365,jyizorsouu
0.0335,0.2575,doG,cat,kqalbfhlfn,-0.302,CAT
0.3535,wrtwdsqjzi,cnnoacaiho,-0.0885,ljywlpejud,mrtsqhxfha,caT
0.1385,0.1065,opkybsvizo,cAT,xyqnrnbqyt,yairzeerkx,-0.2425
emudvtqdgy,781,djuqwkwmwd,Dog,CAt,DOG,wzpstzovig
-903,-0.1945,cAT,caT,qxvqmnyikn,sgbdkebnss,0.197
caT,181,tqzbciheim,DoG,-0.2605,0.351,qonexykniq
cAt,840,365,cAT,0.4615,280,-323
0.032,egrsisibdo,-731,CAT,cAt,-425,-0.1065
lmtgsycuez,-0.4145,cfjfflebmo,cat,kutumnmvhl,-560,eybunkveyq
0.1825,diiolshpyn,anralwzmrc,dog,633,887,258
prafexhkmy,0.444,dog,Cat,zfftjysqkv,53,CAT
dOG,vmhxcvizze,-636,cAT,qhzvpyspxb,-0.097,-0.2375
359,0.057,vzfxjpuhru,DOG,-638,-98,-0.3395
xnwmychdyb,viqlohkyjb,0.3035,cAt,764,idqiyhwcyb,0.208
vpcdwjhfho,gmqxxzvykp,doG,Cat,bnzqsdmkiq,453,dzyelfjnsh
796,CAt,0.423,CAT,dOg,0.2945,svzoiziqoh
doG,370,nghukfuysy,dOG,0.181,ctuqcohonu,0.2025
