PeT,uwfzmygoio,tcxufnzhys,khmwqsejmp
Dog,qlyjttrvrz,0.085,-623
DoG,-421,bfbyvijcvv,-234
cat,wxohwxsowc,987,qzgpvaifqn
dOg,cAt,-0.478,vlayqtjxyd
DOg,0.101,-0.273,0.4035
caT,zmidpxnnsj,doG,0.289
CaT,coctshrsec,umdwnunixn,-0.1635
doG,dOg,Dog,lntwzbgrgz
CaT,ouzxjsjtoz,DoG,0.4485
-46,-0.3445,748,Dog
CAT,-52,caT,0.17
wkpdvzvjbv,-265,988,0.1495
963,356,-612,0.3705
DOG,-0.498,-217,cAt
cAt,-983,CAt,Dog
CaT,dOg,299,dOG
0.124,544,-677,cat
Cat,0.0885,-455,926
DOg,-587,611,-81
bdvwuilyab,fxecytoaro,324,nuyfoogrwv
Cat,-1,wyybeupcxg,413
0.464,-0.078,CaT,fyvrqjzbxj
DoG,0.3835,CAt,0.202
dOG,jlafndpazy,fooondighl,-0.005
CaT,0.0645,349,icmiizatpu
-17,cAt,-395,pqoyktzlxa
CAT,cAt,-951,-139
DOG,733,0.339,-1000
DoG,wpfekgiyar,-0.1005,xmdaiktfcs
Dog,-0.1925,oquoemufzh,-0.319
DOG,737,DoG,-412
-0.1755,CaT,94,-0.2465
0.329,scaemwkodc,-0.1675,cAt
0.3705,lugwjxnhyh,wgubhvrkac,DOg
CAt,306,201,-334
cat,23,-0.113,0.028
pjxrvivpgc,Dog,cAT,-810
dOg,934,-0.0535,-384
DOg,ffxceiriwc,-339,-0.1295
0.357,-0.4575,981,0.2595
-626,mstimhrfne,-42,lubqeftxxn
CaT,-0.1705,-955,dog
caT,463,Dog,DoG
dog,caT,0.192,0.092
DOg,jfoojyyxas,254,tqcbtmktsp
cAT,DOg,-323,CaT
CAt,dOg,655,DoG
DOg,-409,DOg,-0.467
-0.1615,tcolgdaeif,-651,ujyhgutxwf
-0.4385,253,-0.361,-0.336
dog,CAT,-502,DOg
cAT,-0.176,0.105,0.1065
CAT,wwpimmmgaq,cAt,CaT
caT,Dog,cAT,qrhbignjhx
gmwqdslyph,-0.0345,bmwtkwvhbq,-0.2045
493,-694,0.281,vtreatudjb
-882,vkzqqtmwbv,0.3235,cuncktvulg
Dog,-0.0295,kbqlnffbip,uqxaajatzi
caT,-0.4805,DoG,kcadifajxr
DOG,CAt,-869,109
cat,DOg,cAt,DOg
cat,caT,gmgmtczxkq,462
-271,cat,wrcmsqfjjv,0.1015
899,ivkawmpbxe,0.2085,264
doG,ueikpkryik,0.122,0.418
DOg,215,emqkqkooqw,tmknjcvysr
DOG,CAt,0.0965,qykfyvknhu
cat,jgksczbvoi,560,-708
CAT,tcanzxfpox,0.0525,rzmrhahhkq
cat,dfmnoawshx,icmruzkluj,oqzghhvvmy
-132,106,112,-32
DoG,0.1365,fgkkaxltag,742
cAt,Dog,583,0.283
cat,mlovzsoxgh,639,336
dog,oozdrpcxja,-439,615
Dog,DOg,0.153,qynjhlbwak
doG,ofocigxcta,iqoicxpjfu,-974
DOg,-0.129,tmabrnvmgf,ueqxafynfd
CaT,-0.001,131,herywhprtq
CaT,dog,caT,-471
DOg,lbgomhciit,0.3165,caT
CAt,xsueeucsmj,ekkgtipraz,cwtqgksasn
cAt,0.1965,dwiirsvbnx,-126
dOg,sncqtkerlk,554,doG
doG,0.242,rkjktavtof,-0.121
amtzfjkyzq,yqzelkmldg,921,wigeochemy
362,cAT,sfzhedcepf,rgffwghdou
dOg,icjowoczcu,zhzsenesef,DoG
cAt,-0.494,-798,-0.099
DOg,-0.117,97,mybezvwxgw
-153,dryaolfuck,0.076,-0.39
-414,CAT,0.2895,doG
cAT,966,0.363,-398
