tnqeidxoes,izcldvpkka,nzrpomsftt,clxbnnpzmi,Pet,fibgaaoqcd
0.388,CAT,0.318,436,dOG,0.2905
0.044,tfrihrqavk,-0.3415,bljmgkzauf,-0.4845,-940
vceskqrlda,cAT,cAt,gvzblijonb,743,yulgudtqex
DoG,-951,nksejhcqov,cat,gkuyeyefgb,cAt
565,whljhuwncm,0.422,wstfbylhbt,Dog,cAT
0.329,-640,DoG,238,CAt,0.118
Dog,olgrmkxqsu,caT,vpcoagjpbp,dqducfkoxj,0.0275
doG,-0.138,DOg,rahbgergtk,521,CaT
-933,-0.3265,988,-0.0855,dOG,0.0095
DoG,-0.16,577,-905,Dog,rbxuadivdp
-0.341,ppfzlwmvys,162,0.4695,-692,0.25
0.1135,Dog,-0.082,doG,466,ovdeeslduy
871,954,kbefhfhizo,-648,Cat,yqqvqgpdmp
asybkyvymt,-0.213,408,vhtfgypdxj,DOg,-717
qhkahiiqit,0.2665,bmmhnkrvdt,320,dOg,jiwbanqvqw
0.0035,sbjqtqibhc,-0.086,0.32,74,331
lmvlufmwwj,-917,dOg,rvhjwozdyi,wfwmcspalw,hntjbvlsqr
qmdyhbdgza,aghmydkqbm,694,351,Cat,caT
Dog,htfyhkhosw,-911,-0.132,0.2285,-581
maahgffwoj,-0.4195,-402,-906,cAt,CaT
-0.1675,CAT,doG,vywjtrwruk,CAt,-0.2355
-169,422,-0.295,803,-0.077,841
-0.212,-0.4165,-358,cat,0.3545,embnzrwfea
dOg,dOg,bvbrbumdxo,0.142,Cat,taarotfijb
nntnvuiaep,-0.1165,CAT,459,CAt,qkiukcfngy
zmpxdzaqvg,977,89,wjvdtjzxao,0.314,yxkdfytwhx
-0.384,837,394,pfdkopnpdr,cat,dOg
937,dog,-0.3755,-659,cAT,-0.36
cat,pfjnbwijei,abhybhgieq,exepgehjts,CAt,0.292
6,344,CAt,0.101,277,976
0.18,xgkcgepaeg,0.007,-703,cAt,ttsgxxpjcu
92,CaT,0.206,-0.134,DOG,hyffuxftjl
DoG,341,-418,0.224,0.366,0.4175
-0.3955,jjkemiayqu,197,-0.3505,CAt,akkjbvhuxl
-427,676,fgokicjnjc,0.2735,-0.066,-0.4765
-0.439,0.455,cAt,CaT,doG,cat
-562,0.251,309,rbxelygssq,0.295,dOg
0.3635,uqvdljmqjy,rxlrvdvqhf,eyxbhktaoq,Cat,trqemaetwv
-0.1775,874,-0.12,-0.1275,CAT,bztkoomqeg
0.2945,DOG,286,Cat,CaT,hodufwnxkb
DoG,DoG,333,-298,CAt,0.086
0.4485,wcujioofbb,0.1315,cat,DOG,-710
goscfsqrfw,851,qfpnmdtguf,otnbyzrsky,0.059,-0.2505
saptvfrsli,-0.1695,-0.1885,CAt,dog,cAt
-415,nlstegjmiv,dOg,wyxaxcrvxg,0.2125,459
-270,DOG,dog,298,DOg,uiguegaskh
769,cat,0.3865,dOg,DOG,0.4455
876,-0.2035,0.158,cAT,DoG,-472
0.397,-0.1855,0.184,-0.14,CAT,cwdrbyavph
0.1095,hewvjxvtic,-0.122,zpbtfzclvt,cAt,0.36
dmyczufrlj,742,0.2715,Dog,doG,fpawyavwoh
-0.1755,dOg,DOg,-0.176,CAt,42
cAT,xjngktuhkb,rnqbficxwx,DOg,Dog,-74
lhuelzthoa,zojrwfjmhp,ydambhwzwc,DOg,DoG,-0.0825
281,dog,fwncnsdfzv,0.438,CaT,-815
0.33,wwvvthdvkv,-58,DOG,-983,qmzaouurby
-0.188,881,0.0115,-358,DOG,-709
afdmfxmwul,cAt,586,101,dOg,Dog
0.261,caT,-22,unrvjjcynf,cAT,CaT
-0.1465,-0.336,681,jbrikcxlzh,DoG,abtuizmdog
-726,-825,antxfwkorm,838,dog,-0.071
cAT,0.269,690,caT,dog,eyrrknmyrk
-700,-152,-0.346,-136,cAt,857
caT,Cat,-710,0.437,CAT,744
nioghbhepr,-0.338,-281,DOg,dog,-0.183
DOg,dOg,nzcklugyfc,-941,caT,caT
dOG,-615,doG,DOg,DOG,-638
3,-663,doG,vcjswyecki,CaT,850
-80,0.4025,ikercnxphn,Cat,CaT,vdabkwdzcw
CAT,ifklgflpmv,-0.399,nukxsizoly,DoG,qtzupxskeb
-0.362,-0.21,0.258,556,DOg,rhpevcxfun
0.121,0.1715,cat,-163,DoG,DoG
-0.3795,cAt,dmabxgzdku,0.301,cat,-413
799,0.167,-113,-0.4295,-696,doG
neuftucmhu,-876,cAT,bnmqngvgds,caT,-595
oteipyolsb,ejxalzigpp,iudzniydiy,dxymvavnjr,cAT,qpkmbbkxbl
ajmiqjwyoo,-893,-0.2065,DOg,dog,lhjjsxjzmt
191,-0.297,ejifjslokl,763,ogenwsttcq,dog
0.392,bfadsyubaq,DOg,caT,mtisrbvijn,cAt
929,658,0.248,djwgzpigus,882,-785
uqpjuuvnti,envwzfmvns,tqlitrksbl,CAt,-665,491
hyscuhvinf,cat,CAT,-0.2935,DoG,ellxufevzs
qpwlnuieps,fjxoqnplpt,-0.4755,-0.051,uxzonumdds,Dog
azxesdaorj,-833,-175,669,Dog,ydctkuremg
0.3065,tsmetrqkzn,zzgyqnqrha,DoG,dOG,-0.3585
303,vvrmlshmbf,-0.125,0.408,-949,-816
qhypatyevd,DOg,0.3105,0.239,dOG,cuqzrhbhdq
259,0.437,-240,706,Dog,-900
cat,ppnjwgnqkl,vxrishyesn,0.475,dog,0.458
