itoaxyoxgd,iihxqbrefo,mangddzcnl,fddyqaspns,sjmieqzxec,oyxnrrckye,nvcvzgkkfb
DOg,Dog,0.1195,-0.4575,doG,qwyfqicqjs,zaxetsdbdp
-425,ckpyrxgiyj,-0.1125,dOg,16,voihvspnja,wivdzmfepn
0.237,raoirohptf,-122,dog,jqilcrqesu,0.0685,nitolydubi
-0.294,0.1375,-164,dOg,-0.2255,mmrqhhdkgq,nvlioalulc
libtezvxfq,118,-0.402,dOg,396,caT,mqgfjuynjq
Cat,0.4975,oajnkguqri,lpeevtodvh,eioobcvjvd,oxgaymiycz,-0.118
-0.4,-0.2935,-0.138,-0.01,-0.362,506,lktetfqggs
fsfqoddmkv,-730,CAT,-581,0.016,-0.3655,-742
134,mkkeddrbdq,DOG,Cat,-0.096,-0.1215,524
375,rdxykgnqgc,dog,228,715,0.1265,-347
tptkkprham,ujflyaepsh,0.165,0.0225,-981,0.014,lhtnecenfa
0.3275,cdnivcymkk,-20,lwkohtffpv,DOG,-492,538
siwpfgohzy,uhyuxsdxlh,CAT,0.213,-0.3755,cAt,rsytqvxocg
sdonqcnldv,rwlxnhwlyp,insgktvztd,mmxksojipa,rppnmwourq,klewwyiqwl,ehtqliwhyz
-652,555,-0.433,0.3225,-0.026,37,0.345
621,rhpxokktfq,0.1785,egpeztfjgd,sxbwoibcgt,0.471,dog
CAT,870,2,-0.25,vlfelwwldc,-0.32,cat
920,DOG,DoG,dOG,-0.0935,rdvreokxmq,-30
-0.4735,-981,878,caT,124,wzlfezogwi,-320
abjwujqbcx,-0.242,-824,bklffmvjyw,594,-0.415,dpaxiiyfum
jrisrefmqz,0.1955,tofurdwgtq,0.015,arxegfrnnh,caT,-904
caT,zvektscjrj,yrmirbkpsk,0.37,dOG,961,cvaowryzco
DOg,-454,303,yxvrvwywzk,0.1695,0.037,-0.1985
420,686,CAT,753,-0.018,qrfyqxzgvv,0.2465
0.028,-0.25,CaT,CAT,gvdkbzoske,eitxynzseo,662
-113,142,-0.201,doG,caT,826,casruuqoug
rrpeocrnzy,-932,79,wddusalxke,lovrxlchdu,-0.31,afkpdmafas
-877,jjskhdzuaf,-864,-0.398,CAt,dOG,jsuygosozq
ukdjdfuugr,nqqeuqijng,0.4195,dmbtxgtszp,0.205,ghsekpnkiv,0.323
0.248,dOg,-0.103,-341,-0.3315,CAt,-31
-0.1875,vywapsicwh,DoG,zqtiqyonym,0.318,ilfkbyhywd,-0.117
-712,-0.085,doG,CaT,302,494,490
mvwxuaiehf,zubmusslaq,-157,0.0685,-0.2445,0.3,ybgtxtjfrm
feueoviofo,voblulncvf,693,-870,-550,sxonjhzwwk,-633
649,pltgvmguyi,117,-863,bvjrehpwrp,cat,-618
406,heutajimct,299,DOg,cAt,zzpbwgkyys,yrbpudekii
