grqopxfqtz,pET,lavcgtnalk
-0.4695,DoG,cat
-0.453,rdgrvbzfjn,nciqazzfsz
dOG,-535,154
-0.0455,CaT,0.2185
-864,armyhqtfbw,DoG
mthkfzriho,cat,-0.288
342,DOg,toxkajqkvk
0.3315,caT,caT
898,-0.213,0.2135
Cat,CAT,0.457
dOG,axclhgenfr,391
wruhpfppkz,caT,0.393
xlojjplzsc,dOg,pkppvtgsoj
rkicfrzuea,doG,CaT
-628,dOG,-0.3775
312,CAt,baljrsmply
272,Cat,0.2495
doG,344,wcqnpykfqy
302,dOg,-0.4035
ieajlcgltx,doG,0.2065
teokxutkoo,cat,0.4405
-701,dOg,-70
poojtydmco,0.027,131
478,DOg,urunwzdbpy
-0.2565,cAt,DoG
424,cAt,jaawcnmkuw
nlukvwlopi,brwqavxemk,-81
cat,-874,0.416
bpfpmygudf,dOg,uzunvcrutc
hppihmgicz,Dog,axlfxekdqb
-0.322,Dog,ufeuyzrtlx
-708,DOG,557
-158,-0.22,sksvwlanab
-0.0385,dog,820
cat,doG,-900
htzjyxongf,562,296
clxdbvexey,Dog,jkgoviwund
qbjulaqviy,cat,fkapmdcorx
dog,CaT,-0.185
qlinsirhxe,-354,0.28
iqtvnurgib,dOg,0.0025
54,caT,csnfwruonl
140,cAt,499
CAt,CAt,-22
-44,cAT,0.209
kzwatkjtsg,cAt,549
0.413,-562,-965
-628,gagdghgtkr,-0.2805
0.082,CaT,858
jesuusccfr,CaT,rlsufrsxzz
klqisfgsgt,DOG,vmyamyuang
hvpwcvxrda,cAt,dOG
0.433,DOg,0.4055
cat,atrcrdxbvr,DOG
CaT,648,CaT
mogmbxhggu,735,aifbtwodod
-737,400,cucbzvpvpw
-0.359,CAT,0.1135
-0.439,cat,-0.2425
-37,uufonbuxyu,kwkibmnyee
leepbuhckx,0.482,0.0645
pklzyyewyl,Dog,0.472
-854,CAt,0.3825
0.3415,CAt,-0.053
cAt,-3,0.225
DoG,caT,-0.2995
Dog,Cat,403
-603,doG,cat
0.0585,CAT,-0.2425
0.1755,CAt,167
psblfkqpsg,CaT,-854
mqdkxbhkwt,dog,edopphmlyw
CaT,CAT,520
diqniqihse,jntdrwuwav,CaT
-743,DoG,lqvayntdqk
0.4865,wuxcljtdlz,DoG
-580,dog,315
0.249,cAT,dOG
-340,Dog,CaT
fqnexseiny,DoG,zxztxjhzeq
tyewirbbjm,CaT,-17
642,xfanelyglz,-869
536,-0.4975,zvmtfoncid
ofxjmsvlui,eqrvjesrct,dOG
weskxuijck,Cat,-0.14
-3,caT,phnpdlfkmc
-981,0.204,-643
gjxwjujffg,caT,Cat
oxtfbwyoeh,Cat,0.243
-184,cat,692
0.1615,caT,837
542,-640,0.205
0.2655,Cat,-860
-12,DOg,DOg
193,DOg,doG
0.031,cat,-283
-0.362,hctdvyggom,0.432
CaT,dOG,vzqmcebagx
0.3015,dOG,-0.4585
