PET,ljjgvifcmi,jksmtkuxxv
cAt,cAt,-454
DoG,lcqcrollba,-830
cat,999,-123
-640,141,416
cAT,-0.3215,0.107
cAT,gfklrwxguy,-542
DOg,-0.071,751
cat,dOg,201
-0.015,-0.1225,cat
Cat,136,0.364
doG,525,-646
CAT,Dog,436
CaT,-0.0125,cat
cAT,faojedhbhm,ihwvgeqkhk
DoG,34,eahjllbyvk
caT,gkpzatpfdt,0.4095
caT,Dog,ideqwjlssd
CAT,622,lnzbasnyer
DOG,0.4185,lrfttdefln
kcxilsdvem,-871,-686
zrhxnuwfjz,ywxhsrbhbv,mzxcmtfqrq
256,mfkvtpbsmv,CaT
cAT,-126,vbiotptsln
0.3175,cAt,-0.475
cat,jqdvpznfxk,-643
vgdhltpsgz,zqlgbseeaw,dog
-87,izgslofqeq,avdhhxramz
CAT,0.21,DoG
CAT,-770,-0.2205
dOg,-844,151
CAT,0.15,-0.2715
377,gesyckgodc,todvaelxbi
CaT,tpamvpecsp,clldxlodhj
cAt,509,erdjdndpjm
0.439,ldcpfghyqj,DoG
CAT,-0.232,888
-0.098,dOG,nfulhizzas
dOg,DOg,-0.198
-972,520,doG
dOg,DOg,0.0085
DOg,slbakftjfw,baruwtjqul
cAt,-49,haqzntxoap
-0.216,-285,vsxmjhbnar
dOg,-0.3675,83
cAT,nmfmaisrwd,-0.427
cAT,0.28,0.407
dog,762,doG
dOg,-0.355,CAt
DOg,-122,0.4735
dog,-645,nyizpckhrl
DOg,0.0275,-0.2225
doG,-0.089,gryfkfsmff
cat,asobwsckha,DoG
doG,-0.19,357
DoG,nbryqfcrro,-0.3975
wlfkecjfuy,kkyhamdxop,-0.498
dog,-0.467,snfpecqanb
442,hgrsdmxrnt,cAt
cat,-0.1295,wbnwzxklnp
-687,-0.167,CAt
cAt,DoG,0.471
CaT,Dog,842
CAT,ayucrmlzud,cxrbixglkw
cAt,xoyjshiebd,995
dOg,-0.477,imatvjynpg
DoG,tystdlspnt,mhwqbscrxc
dOG,qpccmitdro,0.4355
dog,CaT,dog
dOG,rlzpgyqrlk,caT
11,-0.236,649
CAT,lskijywrfo,0.211
dOG,lnzvqfefzy,-832
cAT,0.3725,gcbhkkkwja
cAt,0.4235,zxkmegtduq
-0.435,0.3985,ucjceyzjjb
DoG,453,-966
cat,cat,0.098
doG,blurlbgabg,CaT
-441,ppteuzhgts,vinakcdrmf
CAt,977,-0.218
cAT,-707,216
