kmqyguleys,eputpgaozf,ivqwalokme,ayvhvfnrim,txqwubwaur,rzojseerny,rubkzofxrx
526,-0.1745,-0.2535,0.1525,0.222,407,-0.2195
-782,urxirqmpbi,ezahhvwwxr,-0.141,DOG,0.151,-0.0385
0.268,0.316,onnpnguued,0.2965,0.216,doG,0.3755
0.3705,vyyhxysrls,caT,CAT,hpnvperkhh,0.4145,mxdnfcpeza
CAt,0.4,275,rvdqyvlxuq,-56,Dog,385
lsqkdhznkq,vsrsuouuff,lebnvrnrgn,-0.3175,0.068,ocjinlbqyp,DOG
-0.1515,sxqukfhtrc,-0.1905,cenhjhvdul,zhlmwqzpin,-0.1025,dfcirjhisp
-0.1805,ygbexnsmmm,doG,fxswemehuv,cuyyumofdc,-619,0.116
0.353,-0.102,ahhhnezqhs,540,ucrvuffczp,0.402,varpdmonss
-0.2045,-382,736,-874,utyeevzynn,0.491,0.417
jibissispl,-804,qjvwloknyp,dsjnapxobh,291,rcqqpvolsn,cat
ozezhezyod,772,mmqixafmoy,cat,canwsrpqnm,354,-0.011
cat,Cat,-796,doG,znbyyesfxv,waupwrisnd,-0.3975
afcnlwetsv,-490,-0.0365,-327,aubscebrjb,-385,grhvdnejxz
DOg,zpaavielfe,-0.0825,612,ozokdpelug,-454,-0.001
Cat,0.092,DOg,0.311,352,DOg,139
-820,cat,0.259,0.41,uquggmmwew,-948,-0.4655
-0.0705,0.262,0.485,-0.2345,-332,dOG,dog
-96,0.384,DoG,dOg,fhhpugyjlh,cAt,0.0315
-0.0975,oajwplftwv,0.3015,kakjoyukse,-0.2675,0.195,kqvkhhybky
-35,0.277,0.4295,rjovoatfot,kdtdrwqrfs,CAT,-312
0.3185,-0.1445,868,eggwkrmqkr,915,feynddrmna,-500
-393,tgftijiruv,Dog,0.141,0.497,155,DoG
0.1605,393,0.231,-0.129,0.0455,-0.339,0.12
dqnuyhoazc,111,393,qoqbruqpeq,-0.3185,dog,-0.3055
-98,-0.006,-78,cAT,0.291,-0.256,DOg
zyfpzzajnf,cAT,cburysproj,tumpzbhpha,orqbqipiae,437,-74
Cat,CaT,gfuscqxzbt,aqcuaydnpy,0.134,ydezeoqulc,0.043
CAt,0.487,-886,0.2075,CaT,cAT,CAT
cAt,xrnhspodzg,Cat,902,270,699,gydalknyot
ylqtosktok,0.261,-0.455,-649,0.0195,472,Cat
-0.3335,dog,cshezssejm,-0.141,-0.1765,dog,Cat
54,hvjziioulq,656,-0.184,vgsdaodfsk,505,73
bykbuvhkon,fxbcdrpnit,0,zjazogvmjw,uzgnemmzby,pvlkzromqy,Dog
-0.3285,-0.156,oljiijgkna,vsyjkstvkv,882,DoG,0.393
rpsablalrj,tupvnzewym,0.1335,-0.01,0.398,0.377,-0.007
ljquololnm,xrpuzwgnit,0.1645,cAT,-940,411,bfmzxysrez
ywrvjohmli,doG,-0.301,-387,mzcvdxvnsy,Cat,0.265
urxsvgsblu,-0.0065,-696,nrvfneglay,-0.177,0.092,0.036
598,caT,dog,0.445,ummiwhzqoz,245,0.292
78,934,mnsbwwqnzs,-0.449,dcelkimzcj,0.022,dOg
neszwmigkz,757,-533,-0.4405,-497,eewisdzqpk,dOg
-468,-0.418,nylxgojikm,-521,-0.0325,caT,-0.4575
rjlvdxfykn,-970,0.1045,-83,465,-0.407,0.2015
eotjbaeipc,jcwvjtqavp,-0.2505,caT,-953,-0.2785,-0.213
pfuyxrcyfc,jaumfpsqrp,-392,viznxoiuau,-599,zlbvvrodzc,lnllqstvwj
CAT,sivxfckfij,dOg,-0.1495,-513,0.0715,595
iczxptsdud,bolralunki,-85,dOg,0.3175,bmdhoduyzf,veitfyadju
0.0475,970,vvsopeukzo,ithipjqcsl,417,kvmhyeltby,Cat
48,xgjvodexus,994,-830,0.09,-0.3715,rpmtvmfinb
0.3945,qmiaayebhn,itjkpsxwlq,fsipkrcyiw,0.4815,bhfaolyuej,ccxmlfvmpg
-463,vshymiybqa,-0.2965,jhrnadbpyw,-0.402,DOG,mgsodruzwd
dog,nxbzygtpjh,-490,-924,436,-0.075,0.4315
-0.177,0.0885,-0.1595,doG,999,-0.0105,-588
0.3945,375,syihgyfxzi,0.221,0.1705,16,74
452,0.124,0.287,epwjlsloum,339,267,-792
-0.3565,-0.293,DOg,-0.11,996,0.3225,-0.308
-608,-0.371,-488,978,-0.1205,umltbzijmh,-49
131,808,CaT,-0.0385,atbmwudoeg,898,uxhvgckvuw
lvebhtxvly,CAT,0.338,-822,0.1035,624,754
lwaeucnpah,pkmquyrvqi,0.138,-657,-0.3395,-0.235,igmzahhsmk
CaT,DOg,-0.381,899,nxrkgwmrct,fpjiweqhnk,pptaxaoltt
-941,dog,-113,-525,449,shmmcpmbkd,-18
-0.025,kcqipznkvp,0.018,jplgzzwwyp,DOG,DOG,0.1165
0,DOG,hqkfuymtoa,pvceabonmi,nfyxmlizfo,0.1775,waopcojxna
741,0.0495,0.1485,-0.3405,0.405,neaaenctcm,caT
cat,adkaaihhxk,0.0865,-0.0095,DoG,utoeakdojp,wreuwaunyv
667,CaT,124,-985,-915,hsacoigyfi,952
DoG,-0.174,jiejevgxdu,nqweybzcfd,-100,dOG,0.2355
708,zwcenmwzis,0.2145,0.217,-0.1105,0.3,423
DOG,-0.2405,-82,plobsadhrc,DOG,cAt,mzpjvliltv
cAt,622,qmcyifmybi,-0.2585,ivwrhygqhs,-0.328,-0.0545
-0.1145,627,-0.2635,-0.4895,-464,0.3975,0.1025
0.3585,-0.055,qsnggatxmv,-0.188,-0.0955,-401,iuxphnymla
-0.181,iiktdviwtj,caT,0.334,npcphywgvr,uizjgcwdjd,-862
-0.259,lxnlbbeqnm,17,34,CAT,0.3455,sutmdulblr
-597,dog,0.209,-710,70,658,doG
936,mbwevgkrji,-0.195,CaT,fjkxdmlkfy,-0.2435,dwhbossnpx
wagdkwumnu,0.02,knrqtquqls,897,-547,doG,lzfvbjzsca
-569,-0.356,935,htrdhealvz,rrmjepfvwu,79,0.3565
-51,dOg,evaithqdlg,doG,qxticwhkdu,686,-0.4
0.248,-0.062,0.188,-0.419,-0.235,-208,oonlnltidv
kwzejhmtay,DoG,-917,-880,-974,0.1465,-0.4985
-693,112,0.322,xhdgyxjhce,grrqfpnrhx,CaT,-0.401
-896,ruvrvnwfdb,-0.0395,-29,0.156,-597,0.3195
0.2955,pouwqaudvf,-480,xolwnqqohs,dvjntvutvx,-806,-0.3365
-607,lpwtwwdadn,0.2415,603,963,-167,0.2515
641,DOg,CAt,CAT,639,jkrwxtqmcy,-866
599,Cat,-819,-0.093,eirbrmulvx,ogbqzkdulm,381
frrhoagzhr,-631,dog,0.2525,Cat,apqvidztte,zueedokznt
-230,-0.3395,uqedsxlcqc,-0.449,159,ytaaknrybs,416
tkbbvyrpdh,-0.1465,-0.444,mmzqgatega,DOg,0.331,kqlusxtzno
0.263,82,0.297,DoG,ebelpekwck,0.059,-0.31
Dog,CAt,aurlqsplzj,-0.398,-124,-0.0565,Dog
zasxykzlpc,-603,hmjaeojcfx,0.0105,dOG,169,665
wkdasfxmvj,-822,0.489,Cat,-584,0.073,-0.037
gsrrewrwyr,335,-482,0.45,-58,cAt,fqpvfziwli
