cjhmbihkiv,tfgiqjaabx,igzzpjqkml,suvdtqnmde,gmdfohmefp,pEt
0.336,-547,rjfytnhnzi,-744,tghwojrfll,Cat
fpvxnvmcio,dOG,231,558,doG,Dog
-0.1285,0.291,-501,rasveltyjt,-0.153,DOg
afmngrihxa,yldalbczlo,-771,-322,cAT,DOG
xanigahuot,0.109,-0.303,-55,-0.4915,DoG
hqusteqvfh,seicutzodb,eskcswlxpj,-0.392,bfprzsuawu,gmcyqjayft
zmuisxlgqs,0.1275,nqfggxtbfw,-266,-0.009,Cat
frdvygyize,cngeorsxek,ehgmuitsvk,-170,dog,Dog
caT,movjyccjuh,227,-165,-617,DOg
tqpityxfip,29,-0.3835,967,-710,DOG
pdrrrydmwa,444,crbroqqbja,qjoqhopebn,Dog,CAt
-42,62,tamyucebpl,-0.4315,kxgbcsutmk,dog
tawxsnlilp,cAT,DOg,226,-0.252,445
0.252,-0.2625,-0.213,gyagmfwohu,zfyrqhsgaa,dog
-0.296,-0.1745,-563,-629,117,-400
348,-940,-654,duyvcuhdkc,fgzzdplsib,asingjnlqg
0.1355,622,CAT,dog,0.1875,doG
-0.1145,wwbtlbuwmk,616,-979,0.2115,caT
-325,cat,ivxleqommv,cat,ocxvqcytmc,CAT
doG,915,CaT,commgsdwih,ucplkxvopj,Cat
-0.195,-0.491,uzbdzuyotb,0.4225,wwltlomkrh,dOG
645,-0.4095,DOg,-0.02,-111,-0.045
320,cat,DoG,421,377,DoG
bkelatnwac,DoG,vvlmnkqrst,-0.113,zrudijnhiu,cAt
uztxrzctct,Cat,0.2855,dOg,606,DoG
0.101,0.2545,ibnsthuzvm,DOG,0.266,cat
677,zshzkjgmek,-0.125,fmmvpcpycj,oxhcwiljsg,dOG
970,-999,-0.4995,cat,mmbrcjiial,CaT
-317,cat,-969,cAT,dOg,cAt
cAt,-0.197,DoG,-0.3935,-487,CAT
-0.3775,0.202,cnlrsiiilw,840,0.257,dOg
cAT,lbkzdvhokv,ckttldbmdx,0.2365,0.3735,DoG
-159,-0.423,-67,Cat,-0.0225,DoG
zezyqwunln,0.118,0.271,xpihehrqby,cAT,-0.171
605,zfzyexymac,0.181,eppbjdsatg,-670,cAt
-0.0395,0.3095,wtgstvmysn,tpdrtmsegk,-636,Dog
0.17,-695,0.0515,0.3425,0.0725,swxuwonuav
0.298,qnjaamgijo,lerfydwxln,-411,-0.4835,DoG
cat,Cat,0.348,caT,-906,CAt
722,-0.397,-769,-0.1005,aqdbhbymjl,dOg
xhtdpyxtrm,bhzbogzvrt,-0.0085,CaT,dmmzrmlvge,dOG
-284,-50,0.298,-0.1665,cat,cAt
Cat,ixumxikuog,hbejqaclng,-0.358,ajsuugqpdx,350
dOG,456,-0.361,0.2155,CaT,cAt
637,786,nstaxjubfa,wrlxdxikby,-0.269,CAt
niaokxxiyb,cAt,iipzezuzrr,962,-89,-0.3795
0.4935,CaT,puktrpwgcj,0.281,0.3395,cAT
cAt,plfszlwnrp,ktcepwqxsb,-550,lisrgptkio,-343
lpgbosvkxw,-0.1495,0.2885,-0.249,258,Dog
0.4705,0.2275,-166,rmcpfoxess,-0.3345,dog
-0.0835,-0.48,108,DoG,0.0395,CAT
-0.08,-769,-0.099,0.342,CAt,doG
ssbshzxnqx,olxsodsvhq,jthhsouxfk,-0.043,cat,dOg
-0.1475,463,-647,-885,-886,dOG
faqnjsbfot,-91,361,cat,doG,CAT
dOG,-0.367,0.3705,qgzkwowrva,-0.2465,CaT
-0.4815,-653,hoygsegekp,90,628,CAt
-869,0.0625,zhxrajkows,isbcnsywqu,272,DOg
onmrwqfksm,jflpzwoafy,CAT,-980,hcrzfzcbje,Dog
cat,azrkcziubn,-911,ejvrloysha,126,cAT
779,zwmzcddnye,lvlxfdfbjd,-342,0.384,407
-0.432,-0.064,-0.21,jjycmyrohz,0.246,DOG
CAT,yhwlsbrppe,cAT,0.01,0.314,dog
0.1015,-0.23,cAT,znawrvvaew,-0.2465,dOG
huoqngweca,khyuadjckg,416,tfejssoeez,0.1355,dOg
816,371,-0.038,0.2175,0.442,dog
306,vkctusayep,-0.001,0.2935,-0.4215,-51
878,391,-0.146,cAT,wykerqnaiv,dog
CAt,0.453,jrhptxlpnt,-0.321,yvmdsxbelq,caT
0.23,-152,qzsjsvithr,oqoqvxstes,0.231,-0.147
0.0395,ifporcbapw,-267,Cat,33,0.254
0.2315,-0.1115,zuwjvwtdbh,fhirjowccg,vsxuyixsuj,-946
0.411,CAt,-513,-534,wmwkevxirw,cat
509,zhmposmkef,-912,675,0.1635,-765
258,caT,azsgkpfayo,0.1015,0.1635,DoG
