mtujrbclag,xskbvsbvtq,azhcvgpjzy,tpskisgqoe,iggwsisvmj,nzboamkbht,teirbbvhdm
mrvdyafzbf,-490,-391,55,-0.0885,-0.2965,127
dog,0.112,DoG,vdeajsmqmv,gysklddpvw,0.174,-240
wvaynhcpnu,30,573,0.3875,0.377,tcgjvbwohh,xnwpqfxgas
sotiqmitxz,yujkngiwoy,0.196,hpqpiazmfj,vinywkdgej,ohhpbaspeb,izkvoulzsg
-414,vwpfbsolqc,bzujvllblf,597,0.3655,434,0.4215
-329,-116,796,-0.011,0.228,-89,dog
-0.151,0.065,-418,0.111,-423,vmvddzryas,zopfxqdqqq
0.004,0.4885,368,tiksbfzgyj,xeuckpeise,doG,-582
246,520,0.138,17,-0.2985,0.493,vvosnktfbm
-0.1075,ocykmouroy,kldlzyorpb,-0.1635,102,-978,145
0.353,Cat,doG,473,276,-0.216,0.31
cAt,hxztfzmwro,0.3005,280,cAt,-76,-193
cclbbtyjvg,dog,-0.182,135,tmiayeiwad,dcaasqupel,rxsgvjoumf
ftzykvyuua,0.203,-564,khjrvccpia,625,-0.259,-0.387
-579,39,-425,-468,0.331,nhnodtjmkj,-462
jixdbwuxsm,mbxcafedjm,-215,Dog,DOG,llcizhqcts,3
CAt,CAt,401,CAT,ttbdikjjsx,-308,643
0.32,bjqfxatdvz,-0.38,CaT,pibnakriqo,-681,DOG
CAT,-212,chfhudqduo,-445,767,-650,CAt
0.1565,0.465,vkpuanmgbl,cat,0.429,-270,312
-0.1185,ajfdiniciq,caT,caT,gsmaecqxqp,665,CAt
CAt,384,185,-884,-0.2195,831,bzxmpfirci
DoG,314,doG,-132,mymdgsjlcf,0.2615,gijbfbxykn
caT,0.2525,DoG,-803,-0.076,DOg,-0.119
owqslteurp,0.3135,-0.2565,0.0065,0.348,-0.1155,Cat
qwnxzjfvax,lkhdfijspx,svupxphfja,qxrehzcvgt,0.283,mfhwxdysjq,982
0.24,azzvxmwopn,qluvnhqtro,-59,0.258,0.114,DOg
cAT,CaT,912,253,dOg,541,935
-212,-0.3265,DoG,-0.094,0.225,otxgwolvtn,-0.2465
hokmihvafq,-204,-0.417,cat,-0.2735,0.098,caT
-0.1155,dog,ruklndvbri,-280,0.32,-850,845
shzdwyrobl,gxburgguwx,yqflsylyxz,Dog,432,-0.0925,vlwuvzyjft
757,-686,-0.026,jjymauzpst,0.479,txlpottbsd,voksdmruor
0.491,vtwcadjcfg,jiyvlysrio,-801,ifibnswdye,-613,DOG
CAT,-414,618,0.2325,elsygefpvt,mmyqpgcowj,300
cAt,trzdsignnp,-834,877,-920,jariqcwvjf,-869
jpjmoewrko,0.2475,-881,rrmioersqb,-0.081,548,lgouklxqkt
ugkxmkhdmc,0.1825,eufkyaovxh,650,CAt,-0.1735,etlladygjm
nighnklhil,-0.479,-322,pnjecfvrpl,182,0.181,-0.317
-100,32,qyplomedux,-706,0.2125,-0.465,cAT
Dog,-0.272,-649,sjogkhdvgn,-442,291,0.0585
992,lbyxlkcqos,-67,-280,719,446,owryvqmwdd
voaurfcmgs,rwnrombcjo,spjuewszeo,cAt,-659,wxwamoycov,-368
