rlgxlpugrj,ahnnrrbphy,dyamqvlxcr
-326,124,ghyrsjukjg
wmoolgcaoa,hvkkfbopei,CaT
0.201,wslierbect,0.3855
863,-0.3535,-0.3655
0.466,-0.069,-285
-0.427,watbyshyvn,-387
-0.2815,CaT,CaT
nlbyaqklox,dpawnjqooq,doG
-230,0.215,jmmgguvuob
doG,-0.3685,0.2095
dOg,-0.4655,-0.047
688,weeszpdrfs,-678
grkoerkrek,nnmhotghof,-296
-0.186,lhfjuknhey,dog
0.0585,caT,kagkeykoch
caT,DOG,307
cat,-87,808
adjcydljme,-0.3315,CAT
-617,932,-0.4755
-0.0755,-0.1145,dOg
830,0.089,lmpkuvawtb
-0.203,-0.193,dOg
-0.045,inqpwptwfx,luaguwzvxc
884,-549,twyzshxxje
Dog,0.046,0.0745
cat,252,649
ayljohwonc,xizhntbrwo,0.149
wkaeqvofnw,yjtwdxlure,zchgisuzcb
-0.2455,232,0.0725
ukchbiemys,caT,Dog
CAt,gtrpiixeel,-334
lgdbghudij,-74,-907
-149,-211,iupctjyenr
-0.057,963,imtquvleie
aylzasruhp,-727,0.006
zwhhttaqzs,-0.3855,Cat
dog,-918,tyyvokmmzc
esogjpmqey,-0.4015,0.4805
-0.213,lexoljxory,-0.178
dmrqyohxqj,936,-702
xgospsufhm,-530,hcrcdwjjch
-175,-0.099,vcdzxtghtx
CAT,zpelvlvhyk,-359
nncjuteuyf,0.1155,18
88,dOG,doG
hmyjnxtfnh,-44,bidlryxaop
-961,-0.294,176
vtixmgfipo,-32,icxbnkjeml
-270,-656,0.483
evzzxsdeld,Dog,0.422
bgifxzykcv,-0.2725,31
ppevmudwro,-0.452,-0.239
0.2445,-0.1985,-766
