olduhqipgt,vkizqabepu,nvmqiharef,nycvehmlym,nozgavpgay,pwsrfqrfof,srzsjbaxso
270,0.292,-0.1195,629,-0.324,-461,-654
-425,682,776,dOG,bpukhaqles,fsakcpcwvk,mllzawiedc
-634,992,Dog,Cat,gxminbipmq,-0.1035,vtnlbcgerw
CAt,qbsypvytwq,xjdgpktulw,-669,446,-0.431,doebiixluy
0.0805,-490,hgywxzxhsq,CaT,0.0685,dOg,kolhltbjwk
264,-202,284,DOg,kcvmvwjhnv,oackucdnye,DOg
tuasemhwqp,799,CAT,157,513,-686,-678
420,0.3705,drtfbnolce,-476,scscmkaqhp,dog,-0.104
801,sunaqkwyyh,-832,468,uipqyhhfml,jwmdhvviel,-0.2975
-262,933,281,-0.466,899,Cat,jxqbascvan
iqlwpwnhwq,pydnrqticg,DOG,mizpvajmvp,-0.1245,-923,ehougudicu
CAT,bowzbkzgwf,-0.332,-0.2045,lfykkvvgpl,DoG,0.2505
-0.3255,rbioresufz,0.2765,-0.3905,cAt,cAT,cat
-0.355,-807,-514,435,-0.2915,-221,0.0685
dOG,eziibfgpjh,uekpcyodmt,cat,-0.466,-583,caT
-0.1915,mbswywizkd,lfqzvkzwzl,-600,635,DOg,-850
dkkaxmahho,728,0.42,bzhjucvrxr,0.1325,szavjdzsxu,721
0.2725,-0.2035,0.3915,DOg,-0.019,0.0725,-0.1495
pmsmjazeqy,955,wnuqvsnftr,0.174,0.2165,-259,-227
caT,0.0265,997,DoG,CAt,0.388,-0.0395
Dog,-0.0105,-799,533,tojslwqigb,caT,sisxdotpdw
Cat,Cat,918,-833,0.1295,lxezwcmfpk,635
0.283,ynhzfmhunl,cpufimiljs,oyzgpigjjr,CAt,-614,0.1225
Dog,0.0545,iclvprcyzp,-793,DOG,0.25,Dog
394,cAT,-0.471,npuojgtwah,1000,46,323
-0.149,859,-261,0.49,0.433,juicfeiemh,-552
21,CAT,Cat,-0.2165,iaopznrjrk,nkvbdtmear,-959
-0.318,-806,557,eotrjjmqri,qlqrzekyic,-296,ysyddxapmv
doG,cwbtrsuwbk,603,327,ibyzohjjsm,-593,DOG
-0.2465,932,735,cAt,-0.3365,-62,avakfvwjfo
DOg,-0.009,-0.158,urgkiksgsj,CAT,yofrmdhglm,vatjybxlgl
gjgdfkbjgk,-0.4015,cAt,0.2185,-0.015,-0.221,203
npksvgrdre,udzooityky,23,hzwfjdsyti,DoG,0.347,dog
528,DOG,-0.1345,CAT,755,-959,iqbyhrzhhi
yecxukgltq,dog,dOG,upievrzyaf,7,zvsjryyvqf,-0.0715
mfbrdsfzfv,-0.1855,0.187,CaT,-0.263,-965,741
dOg,zhdzygwkoz,692,383,-411,objmtzfzvt,emgrnfmjys
0.3375,806,cAt,0.298,0.2025,cgdxdqearc,aoutuepgum
doG,Cat,csqbqrtfsq,uvxmmcjjlz,0.432,Dog,cAt
detapbpxun,cat,991,0.3385,-0.3865,wytaayjuec,gvjuphptzz
cphmxchgxi,icqnuurumb,-0.1715,Cat,0.1225,-0.246,cat
qzvmmweulm,pgqpeaamae,0.0565,CAt,-396,-0.327,gszqhcwmqa
-0.376,0.293,gkqcmrroni,waxngdmfxq,-0.465,0.0515,-0.1675
-159,-46,-0.356,pbzwcrytvy,hfgjzxwfsi,516,235
-0.064,132,dog,-0.236,CAT,103,0.495
oixvwxobzl,0.293,763,0.033,riiutuiohb,0.177,0.027
dOg,CAt,-0.1445,wveynavkcr,-936,dvvnhqhcra,gxwmqkallx
0.266,Cat,DOg,0.47,cAt,acmhvhhssy,635
-0.354,0.459,qghxspiwaa,pgjcxuwmmo,ijtsktdjcd,umnkkeqqje,btogxjrrzz
0.3805,DoG,npphgqfuol,wkggoasdzs,-0.156,-134,-932
0.252,404,xmfbzubwiy,-636,-438,-494,-676
-0.463,ubukfljodt,igkccmogvm,6,CAt,-295,911
120,vhrpmztbju,-835,-559,-0.4115,ycxyelspiz,752
-811,731,patoknsjti,241,mganrulldy,99,-0.243
mambrbeoxr,0.0365,dOg,pfaejtwyrj,0.1115,-970,-442
-405,cAt,Cat,0.4745,0.098,dqbmapasoo,jrixrdhexz
dOG,odlqcdqumu,0.0415,11,nbakclrqjp,cAT,qsqqekajwj
iznnspyrns,0.041,-0.4745,ddyhydegka,-0.423,wutroswdhz,-575
450,-0.017,628,-0.2445,0.1525,136,cAT
Dog,-0.4975,rfulrsqdqa,266,ayhvatzpth,0.459,0.023
hgbgmrxjnn,sjnvgjvqcx,-674,lvujxuvpaa,-930,hzlodymnhm,kzbmwoacqd
aoqwzmkmix,nhyakuwtdp,dog,-401,0.338,wfcztroufv,-0.0775
823,-890,0.2155,-420,kllfpjjuqn,-788,-850
858,-0.1785,uiuhwqlbna,jxxgundgfd,DoG,-0.499,maapcnfoen
0.111,bvkvfahgal,-0.44,rrvzkayrsc,0.0665,-0.052,-441
DoG,-856,-857,inwiefxdeg,-745,doG,797
-0.032,-529,oqxdiahhqf,140,jeipyxwagg,-0.2265,mipexhtfti
DOG,-553,CAT,lxugretvlv,-0.1935,obdyerawnr,dog
-237,zeezdeqhph,mebdizxouc,CAt,-206,-0.0325,0.2765
909,-0.1805,isegygkcjg,Dog,583,-0.0245,DOG
0.2835,277,-0.328,0.2,0.4115,dviqtpbqte,0.047
-0.077,DOg,0.057,-0.472,DoG,CaT,0.2
-468,jhjssslzgd,0.412,-270,CAt,DOG,jcjvdagrsw
0.3165,-887,btbsczhkmi,469,0.317,dOG,-957
cAT,bstushrtff,clogwrvozb,-749,-237,dqvoensrmr,tifrutcodn
-0.059,cAt,0.353,rvawypslne,-135,khayaofeay,DoG
hojqullyoz,0.329,qwtkpvvpkg,0.0785,0.061,941,dOg
ztciggacaa,tlviuobkji,-0.2275,-748,gijlxjsovg,-690,wcggajcodx
zkvbiykqwg,0.0985,685,632,673,0.477,0.189
dog,-0.0895,-0.2385,-0.053,-386,-214,0.4015
cAt,gjvtyhwjyb,334,fjgdwliwas,638,-893,qfblbgzbgd
idydrmhnnw,0.129,364,eussorjxql,DoG,stcyotqrxo,CAt
nqvrgzekqb,xaxiloskqq,-295,zbdakgziwn,-0.023,-0.265,wpifypusti
0.231,qazewrzkjq,0.1905,tcybjshpsm,-0.0195,386,Cat
-0.2335,doG,-0.381,127,0.453,-737,-499
Dog,qmtkgsmbwb,cat,caT,syxstihifu,otxbxphgqn,kriepriyce
-0.4015,hfbjrdwrqi,-483,-0.289,0.2715,-241,cAT
