lknwhrlrte,uoohyzmxkp,nxepxdiskp,evsptzqdyt,awitdltmug
-947,bqhsmwypxr,Cat,0.418,-0.4245
-0.4475,59,0.0625,letnzmujpd,0.276
-350,-0.155,CaT,CaT,DoG
-275,yljrakrqwk,nicslrmyax,-311,-0.046
606,-0.3365,747,DoG,-912
946,0.097,ywufgkkhar,660,0.1635
plckbkceim,doG,0.0705,-0.0805,walqwyvzjo
bzztdnwfyx,ybrsqijajo,csuimctlhv,vrjhhvzsil,0.386
svmdfmlvgw,-748,ebszxifhvc,-0.107,-0.1165
wwzosleiad,-37,0.1315,-339,vvynhldaew
-0.115,59,doG,waelxjatbx,dtqahrwipy
0.078,cAT,0.3915,CAt,-0.1625
921,ealwswyksa,CAT,625,0.0455
0.2915,-0.268,-0.044,239,-236
-0.242,0.286,dOG,CAt,0.0455
hxzoqsorlf,dOg,DoG,fcnabtskso,0.2985
0.028,0.443,DoG,-575,bwqnfjbfwf
gihtrffhjn,yvojendjmj,wnvqrbvwzh,-834,-0.2115
-210,lqgeacqihx,511,-0.1515,-776
zcexuxtdfo,-400,khejyepxev,dxwntfiodr,DOG
DoG,imdyfcjjqh,-598,ivhcsnjgym,oudamxefjv
rvyxvdknyr,0.114,okinhwqphy,0.191,nobydopnjh
0.3675,-0.2795,trdpwjykmg,caT,0.3775
0.097,0.3745,uqvsnagbfe,DOG,0.1865
tlbkkfixww,DOg,983,CAt,idfqwcvkqa
-0.3475,102,564,-1000,0.413
iwucykvqyc,quczdxahwr,cAT,270,0.2935
-0.4965,0.4735,CaT,-408,0.0385
tkcxyeqjjc,0.1185,0.3815,-794,0.209
cjfjzmovuz,caT,0.338,nvmmpmxnvt,-83
0.302,codeermjfp,ubrwlofzls,doG,-0.1455
hdotinjqon,Cat,0.176,-0.249,cAT
151,luwfjvyftq,0.201,ohkselhmzz,0.335
592,dOG,wnhxipynto,DOG,-416
224,lrhwxdmmld,0.0885,mqwiedzqem,ciordvjayv
-527,cAt,0.3965,-162,DoG
-0.099,pybpweygde,dOg,999,kjlywfjrin
-0.452,-0.352,doG,792,snlezztbyj
0.4085,0.112,0.3535,-0.013,0.2115
kidewduwhl,0.334,mxjmztuofo,CAt,-228
dmtvrdqezo,irwcyinfas,nsjfiecqkf,cat,-692
dOG,-436,-0.011,zwvjxqhput,-0.066
jynzaaxftg,doG,cat,-309,0.2065
cAt,mevzgiumml,-0.4405,caT,ufalhuuyqf
0.363,-355,-583,-0.007,0.1475
264,frzirinbwk,-265,0.1615,-384
lcadmeqkge,aaelhqyiyh,-73,gqqqlcwbyt,wedgdcfidj
662,687,raalskybjd,npuarskfhb,690
-176,0.0785,-0.3585,doG,niwooqxvmv
-618,dOg,shpmlxstbk,-944,893
0.3885,0.012,lmmyfjtcsk,0.2885,-0.456
-109,dog,899,187,0.0545
954,xpsguwvkar,971,358,-0.349
-0.071,dythtcxfrt,cAT,clmqouriru,-0.225
-0.4315,0.1245,-691,rjwtpqjbtq,156
nxqwlrhkcx,qtdvdlserk,dOG,dzopksnpgg,cAT
-0.1785,-110,284,-0.027,-0.3895
DOG,xaehtazjgo,-255,208,-0.264
CAt,phcukcnhrx,mdnswkqlog,-0.409,cAt
CAT,knrzbulcms,fxopoobahf,0.19,671
cat,-0.0305,0.069,bgcmrzhmok,jcmaqjeayr
0.499,cAt,tgkglnxpzi,gyfmmikqky,dOg
-997,0.459,vnqxvlhxbz,-0.205,nmbiszuurt
0.3695,0.3385,-0.21,-696,flebjrvjqb
cAt,gnkivqckqj,774,0.341,0.474
-131,420,-923,0.202,-0.3445
olhjdpfira,-464,CaT,jtljoasagq,0.0525
-0.2565,xsaujtbaqg,DOg,hjplkbmyiz,0.1665
-681,fclhgpmyrt,0.493,cAT,uhkpzdrven
-0.08,-0.445,-661,ffoupvsxqk,-118
-0.4245,dog,277,-0.4505,mdgroqbhmw
520,orledxdtfl,0.0965,qwoktlinnh,64
-331,-461,CAT,0.158,0.355
-0.109,332,356,0.102,-51
0.1175,910,-254,-678,-0.4025
mymkysbmtp,-951,-0.331,xtkjdtyaig,0.185
dOg,ujfjipsdut,0.4775,-0.43,zweyjzbspt
0.115,kwgpaqluxa,CAt,-38,zyxtmaudkd
-653,570,dOg,lfjpgomofj,0.1505
Dog,718,Dog,485,-0.216
