obrhnwqzyy,kbjxdmzwew,cjjvfzgnnw,iqpdetwdqr
-0.407,-58,dOG,CaT
177,107,0.269,-499
nzypmfnnkv,-712,-689,-0.5
851,0.4985,ydrrdpnoqt,194
471,254,-113,CaT
-0.3075,0.4195,-0.199,Cat
0.0365,-0.199,mossvuzkeq,-0.349
oejcdtkury,0.056,0.2405,0.151
tfecoyefff,-0.4295,0.3055,228
cat,-407,hqegoahcok,-195
dOG,-604,-879,ngwpvhgttb
-959,0.2765,wqafpdvojx,0.3595
dOg,948,prvehupndd,-15
kfnusoplve,vdbvgiiagy,doG,zepebwiptd
0.3405,-560,-353,-400
466,zbijnxsily,-0.2755,flupzdrepv
eqjgvgzrlc,-0.447,959,112
ntlvaempsa,550,naxinpjqco,fcrwgurrrc
dmncahwgsw,-0.196,piruwvxtcv,0.2935
0.096,-0.248,-806,-744
0.041,doG,cAT,856
-732,ivmkjibefw,690,kzpqjxvzzr
-438,308,-0.157,343
-901,-0.045,438,0.4265
-440,mnrtambowt,72,gkenxxoqtv
-344,egnfonmtzb,-0.1585,yvdleiipro
yvqkxdpyex,wvfkgwhflu,bmbrczsswn,-799
415,-0.4385,768,-16
ygnpktiuia,918,txjrmxqgdw,dfjvryrjif
nukchhlalw,lupmzziend,-0.296,fpspeawizs
758,cAT,-729,vjpvdbhpoa
dOg,szzckrywxf,Cat,iqzyxbnlis
-371,dOG,698,18
-0.2845,0.05,-861,0.1555
-0.0875,0.2795,-0.0505,drwlxsureb
-0.2,nrkccnqqrj,cAt,0.3415
dog,0.3845,legllokudk,-0.2055
0.1555,dOG,-857,qtemzxovtt
cAT,0.3325,ypqyoqoguh,ydnheuawgq
974,xabowqcnpt,DoG,ovyfnazqjw
-324,-257,cAT,0.3955
phhrbuykln,-517,-510,-375
dctboqrtxd,-0.151,CAT,0.2105
0.491,747,dOG,148
-0.4835,0.065,-305,DOG
bhnujcfdqb,0.2285,brxjbgzagd,-234
rrviffmsjj,CaT,cAt,0.138
-441,matogyxmau,0.072,1
cAt,caT,0.1645,-0.3655
CaT,447,cAt,ozisgtnzsr
wwsqsqsdlh,likyynlmed,293,832
118,0.2625,caT,ujwmrsncbb
vbmbubikxv,cat,-0.0935,CAt
CaT,353,-0.3095,dOG
0.3035,cat,klxpvkpvsj,-319
DoG,-860,dpklfwcedz,-824
Cat,-674,scrkzdpxgl,0.3155
-181,owkwwmfzie,-336,-0.3985
-0.4185,683,0.068,eiyxzjralv
266,-0.1075,0.4025,-549
-0.4225,aemfjpvjqv,-0.441,ybdziwrjdj
hmkkvwfrby,342,dOG,caT
akplwzgnss,-405,-0.363,CaT
kjfwxabdyb,kvtsjbnzkj,138,-451
jvrrkrceme,-0.0625,yedbtrcdkh,caT
zvzconfihl,niskqbhdtf,cAt,-861
-986,mpzwliqsly,-0.0885,hswfmtakmn
0.0855,CaT,0.264,-0.1115
dOG,-0.06,-0.4525,mxjqgxepyk
doG,-0.24,-0.4575,cat
-750,-101,trflyxollm,ddicryzlwi
kmdhxqcczy,-121,0.0325,-560
dog,xjumuqymll,-0.0145,doG
bsvxapvtmp,Dog,-541,wsesugltra
nprtsnjlrm,doG,0.28,565
567,-0.1085,dOG,0.019
-19,0.2145,180,-0.4885
Cat,-0.4155,0.039,0.066
0.1585,992,cAt,0.3355
587,0.0105,607,-0.181
-0.225,gqzffxedjw,-738,drvofohsbn
-143,670,baepnrftrr,0.288
-731,426,680,-0.057
846,-0.3095,ezriqkcjwi,ilazyaapfl
mumevfogac,-0.421,gzuctjgagn,0.2905
0.056,-663,-0.2405,-133
0.128,0.297,kpihlnojjw,DOG
0,Cat,-157,343
dOG,-666,dOG,-0.156
-0.3665,-0.027,0.2005,0.449
-986,-0.3895,0.2465,352
