zxyjouokyr,Pet,bswlsfxfrf,iqgwrllgvk,zkchufpxui
caT,cAT,665,dog,-0.134
0.0555,jgzqwxrvgx,-982,0.1595,-0.1
-0.36,cAt,dOg,-0.327,wsmrmhnrje
kcxcqfstdb,dOg,gypeizfuad,-536,dog
-0.426,Cat,dog,-0.452,0.254
caT,cAt,-0.4235,-427,yhrqgcjrqw
jjpiqkpiol,caT,0.0935,0.131,-31
0.163,evnccxtetp,505,-543,249
-0.2405,DOG,CAt,jrqwgvchxr,jhqjobujzo
-0.327,doG,-0.4885,-677,Cat
0.455,Dog,CAt,-530,jeybsohujg
caT,0.032,-620,0.3095,-212
doG,CaT,0.3675,0.4885,CAT
caT,-0.151,cat,iskhrprome,-0.343
dOG,0.4935,-0.3255,324,951
-454,xzhyqqisbr,vctjbvmrgg,902,DoG
