PET,bxjwusatwk,nwdzpkjljg,kllsvlhsmu
DOg,352,-128,0.145
Dog,554,caT,anaxbweedr
-0.193,388,98,-0.303
cAt,0.1965,-0.0525,wivbnhljcw
doG,CAT,-920,111
Cat,-0.298,69,219
-144,-0.0715,-123,0.213
0.145,cAT,-297,dOg
0.2045,0.104,251,-443
dog,602,-323,-221
aukqwysyjx,cat,hnqdbkxdbv,-0.4955
cAt,-0.419,kxjbqagxfh,ulzkujqcyt
DOG,kkhjdxhpio,0.48,ozflhvtoly
Dog,-74,-0.4365,batvfrhuqe
Cat,iqrgcripby,zwocwjoagq,-665
DOg,-120,rjdttodzmc,-864
DOG,akgyamkazg,0.25,-527
jwjlijmkia,-0.1895,-0.4215,0.4495
Dog,867,-758,dog
