peT,cgjasuuqrj,durrpwvtnj,gfotxfbhtf,jzpmkxzlci,czaonrvcyp,lafswjfwur
CaT,0.149,eahvstfzww,-0.38,DOg,164,-0.431
caT,373,juzmimqqbe,dog,wgywftmorj,cat,239
cAT,dcgmryjhlp,-516,CAt,tbesrdzvie,-938,0.1855
cat,ybsdaiubcg,caT,Cat,-0.404,dixwowmzyo,kmpwsufryi
222,779,DOG,cAT,cat,0.219,cat
CaT,-82,-0.052,0.388,dOG,-189,0.435
gnrngeecru,60,372,0.2505,786,-0.2535,bqksuxiawx
-0.0635,cat,-474,-39,0.1155,dOG,zapujgpjbl
jdyacaumyz,bikarmnwyl,dxyuqomywy,-950,jzpbwdghpe,-0.2545,vdfgnrcnpc
CaT,Dog,-0.0875,svitthmxna,-886,0.1645,dOg
iexzxjcebg,himljtxhwb,dOG,-276,0.083,poglkrjhhx,htnbcnnzao
Dog,gjmoeyaihd,cAt,-0.4525,mbptxklkbf,-575,-0.2855
cAt,0.349,0.4655,548,fhmgbvkcty,0.3395,-625
Dog,DOg,urrbytazpt,ifzbaxxjsn,0.4755,-0.223,dOg
-0.1025,-0.024,dvtotxziyz,841,wcgykiydxv,DOG,DoG
DoG,iezkodssqz,atsoptzvaf,doG,-798,0.001,-0.3595
DOg,0.193,502,663,Cat,-21,ajscvpxtui
CAT,Cat,0.338,-314,137,qitcgexjmw,-6
dog,538,yqyrufampm,0.3675,-779,yzlkodcapx,-290
DoG,dog,yodjtwayig,dog,kuylzrticu,841,vnizqqnjjf
Dog,-416,417,23,496,dog,dog
caT,vbbodyoync,ehmzhunnkd,ioxbmzntqn,ygeoppjpwy,57,84
cat,-0.322,0.018,bvsqmgtlyn,-693,989,qxfsbdlncy
0.365,tmnykeipzz,Dog,0.1775,-637,wzeqeulowo,agcdyrawwx
CAt,-715,0.434,kjtuiavlja,doG,-69,nufeqrsypo
617,cAt,0.2205,cAt,-284,0.1665,chqrkunefs
dog,-684,qkfjalrnxs,meqrmltqmh,davksxoald,doG,-937
dog,767,caT,177,hfqfeosiqz,doG,613
dOG,wzujneabas,914,366,flldtjcurl,550,hfsmtddqwo
caT,-0.438,-422,kwzlhkeegd,sjuxxugdiq,hrmdfcsyuq,109
363,316,Cat,983,oaucipxsrw,-924,CAT
dOg,-0.1435,654,131,zswygafctu,49,dOg
dog,dOG,dog,Cat,-159,xdfvahlfde,dOG
dOG,wafuprpxpf,unavrenhev,dOG,-0.1155,541,rifmopqgks
doG,dOG,rfwgmgmoxu,siqabbleod,0.291,doG,0.1865
-943,afgmcqqgme,xpwneoisuv,cat,DOg,572,cAT
cAt,hgawxqbhis,dOG,788,cmkpogzcpr,-0.027,-0.005
cAt,dOg,816,chegtrqhxr,-0.3885,dOg,DoG
CAT,0.361,-0.252,457,190,gfdasqwmrg,0.172
doG,wzsfbehawg,175,-163,-999,gspbvsztpu,igctfbptxc
dOg,0.39,srithokdfy,0.3035,0.0975,0.216,612
0.018,pbndkgugzv,dOg,0.1835,0.0855,-0.3555,-0.153
cAT,-0.161,-0.197,10,-0.4885,0.149,-303
-959,0.075,0.1655,dqeqmisyph,0.0815,mmavsabblp,850
dOG,-0.4395,cAt,-0.4155,-0.1435,0.4775,0.266
DOG,319,qqijomhhhm,-90,230,-0.026,597
dOg,-0.436,0.46,-240,-351,cAT,utermoqzun
CaT,874,cat,DOG,-281,avkkiggyga,nnwtehvfcp
Dog,jhobmulqju,-0.36,-142,-955,dOg,153
doG,-0.4335,kcglbtoipm,-0.073,0.021,CAT,rqknmpmbzp
dog,-334,bajvfhiucy,346,-160,Dog,-0.368
doG,tqeeoukvpi,-655,281,ujfvvudmnk,uxrbbgksvm,-969
dog,DOG,594,lcpljpghzm,DoG,-392,-0.3805
CaT,dOg,-715,CAT,0.461,-0.4285,-817
caT,-71,946,0.146,847,0.0495,0.235
doG,-515,-0.3615,675,jkgwrzlzcb,zygaywpwqp,-0.0045
caT,tcglitmqto,-0.1975,0.0925,-0.391,objiuurcgp,-370
CaT,-0.3915,-0.053,0.097,dOG,DoG,100
nexvbzowod,-176,-0.341,ncmqowoyjz,-0.493,celtcmrhzt,ornladqdwo
775,186,doG,155,-271,0.2975,cat
CaT,0.306,221,cat,401,0.4495,-987
DoG,qrzvunlkwf,lixxmtgqof,jyfamlkxht,iuzqlmeken,caT,fkesrpcxwl
-559,DoG,vvvvimjyze,zakxjcpawl,-0.0685,ihssfiqsoq,0.288
DOg,dfsbdxhotk,0.1695,926,0.005,0.0115,0.1465
cat,-939,-27,eicbvjwugt,ssrplhpeeq,-0.28,DOg
dOg,unkkyoelfd,-0.497,234,0.466,-898,-413
cat,0.4255,dOg,-945,sjcbkdfvww,-361,-901
CaT,0.4045,184,btwanokexx,736,-0.0385,caT
CAt,844,-817,xglfgrahem,0.4605,wqvjxzjzpm,271
caT,-0.308,-0.381,-154,dOg,0.423,0.484
dog,751,0.211,uwbiibpkob,615,0.0725,ynuzqoxlnn
doG,0.0995,-198,161,lkzbjtwdqg,akrmmynkks,202
cAT,-147,grywbmxpac,-463,gjyersmoqk,-0.2385,pcqsnmejyi
