PeT,rjucqptfzn,icdzinhxwr,oyvlyavvwf,pzispvfyud,bzmgopqifw
0.4155,-0.46,-313,683,rfxgjbhelq,130
Cat,llkifjnbpe,-0.3305,0.0535,-0.345,0.165
CaT,0.0345,671,-0.469,udfvsbbzdy,-345
0.2465,-609,iqcgzfqaca,qbogtalglr,121,-345
cAt,-0.014,0.041,643,852,kyzvzbabhs
CAT,-0.3575,xerznzqmxe,0.4225,0.3045,0.478
886,vuupqexglb,457,-131,837,ptbckigyhr
600,czdbaiyrxu,-281,710,dog,CAt
dOG,-0.0845,sfxaizsiss,0.4115,sfxzyjpukg,-891
dOG,-776,ulvrwsnzke,DOG,yvmonnakbw,214
cAT,0.1105,uneuixpocx,DOg,-93,xlkhbmpljv
cAT,kddqdvnwvp,-0.42,ymvqgfqnif,-0.2255,838
Dog,-197,789,-72,129,-758
dog,Dog,622,-0.4795,-559,cat
cAT,DOG,770,-0.4995,612,caxedqqpyo
dOG,-0.1355,-0.3325,Dog,nipukgzemr,961
608,-0.283,-720,-0.1915,0.179,-0.386
DOg,-893,fkagomvlaq,eolrxozglh,0.461,0.0455
cAT,caT,-0.157,0.0685,wyyubydtps,inaandfdpa
DOg,-370,0.1055,rtlrvmbvcr,0.037,DOg
DoG,859,-0.219,-147,0.152,-801
dOg,0.212,wvpvandqgx,-0.324,-794,gcylxoxrqb
0.2955,vuigbecmsj,dOG,bqtkohjkua,-0.2145,lxvfbcwxzc
-330,qoemfljzuu,-309,-982,871,-889
cAt,234,sicnhsfcqu,382,0.226,0.156
Dog,lkrfdzowof,Cat,-0.1965,55,cbgbpkppwk
cAt,zkqqrzwexk,doG,0.2785,794,80
Cat,-0.1795,hfhqplwxdg,-264,uxdcdyrqdu,CAT
0.2405,953,caT,dog,47,cogpfyaeji
cAt,590,757,vakqdfkvzb,ftnzwvsljj,xtaqkkjxel
dog,xqsvtxekmu,pczrlpaqlv,otqmafqgbi,7,tktxurscmn
caT,-680,937,dOG,pptlgejpys,dOG
347,167,CAT,123,uimbtltvbw,gxbiiydlll
bqkfvsahyv,ptusnnsrtc,jhoadwvtin,-795,0.1205,-0.408
cAt,-447,emhrihqnup,0.4925,0.332,ticqpscdwc
dOg,ltqyfjxtpf,-0.011,yukhxascyv,-285,reqrckdkpc
caT,740,CAT,0.055,wpsgfrdmgq,iztbuetzhr
DOG,xgoirrmzva,-222,-0.2605,lizayzanuw,0.047
caT,hfqwtjtdur,0.188,0.176,pkvauauzmc,hlfenbstnd
DoG,dog,-770,-185,453,mdotkltodo
DOG,-0.37,0.3805,lvihnydbqf,DOG,Cat
dOg,0.1645,pyyayqravn,srjghyhgxv,wypjfdbzhj,kighpasvar
DOg,cAt,bwgewncndz,0.056,-0.223,-0.4185
dOG,eekjrwaiwp,vzkzywlfrr,745,bfmctmhqnf,caT
cat,emfbaqvidy,Dog,-0.2695,bbkqqwerwk,ityqmvxhig
