vivtyqszil,jbsgxxtjfz,Pet,eemgwsbmjg,mgbdarcoos,wnpzifwsvy,xdcsioezud
-921,-596,cAt,0.459,qzlrvpavtv,855,ewywsqtifq
0.4215,nuzorvkepg,Dog,DoG,-22,uxsvxqsahn,CAt
-65,nafmbcysry,dOG,-709,0.4055,0.2255,0.3655
-0.0345,159,CaT,-180,Cat,0.3245,-603
Cat,Dog,CaT,-0.1245,837,yrvrfitili,682
-800,Cat,Dog,-254,vfxgltxasv,qvziitkozm,cqylmhqrxx
-677,0.242,Cat,zscbukipum,-0.2725,-475,yrwjultoiz
DOG,791,Dog,-318,tbrnlxtnmb,-0.336,0.326
wwjqgufdvw,-0.3765,doG,-0.461,fioncwoxhh,920,brvhurqnvc
pwoutlhvpg,-935,dOG,566,uxfdbhmosp,dugayscxhx,-0.357
DoG,taronnsycs,CaT,0.0055,-0.1215,-715,0.0865
zbhdenrnqf,0.0095,dOg,Cat,0.001,Dog,mwwjqarxhj
Cat,DoG,CAt,Cat,Cat,-0.1235,cAt
757,794,CAT,0.0625,ynlmyftoas,mpdydcdpxz,caT
-579,pkpaqyloej,doG,-783,551,430,caT
339,-664,ifjmlqwbtt,-0.356,0.437,CaT,dOG
-0.109,llrxwvgbel,cat,175,neyjpwbmyf,cjfgbbuhvy,qtfqukbguu
dog,rawiimiakj,cAT,vefvuvyqgb,CAT,873,iyamcsbwst
hchdusecdz,iftqgdulbn,CAT,mdzmkznbki,biuqiqdvww,0.067,-0.2145
0.0055,DOg,CAT,427,-839,-138,cat
786,yuqdfoghxj,cAT,289,-406,0.4855,72
DOG,CaT,CaT,607,rppusvusch,-0.389,-0.1005
-0.0985,303,Dog,ykkewpszlm,295,cAT,caT
mqgcyrydch,tubrmwmqow,doG,CAt,0.154,rqthzaxdih,rqagiwzxgf
-0.0005,0.1505,caT,-0.1015,999,rjybqkxpre,rvckozwfzg
-0.429,-0.253,CAt,314,-689,0.469,-0.4955
123,0.288,Dog,ucopgznxqo,-190,yzhwpijpcz,cAT
-878,-592,cat,723,cAt,0.233,dog
