vxnouzfxgz,qgvowemwoj,mmdbniwndc,hicopfumbe,PeT,nxgpzzavjg
575,-0.0035,uphqhrjurn,mdlwblnxzw,CAT,mnldzkcunc
-0.3505,1000,374,-447,Cat,cbzithobir
dog,Dog,29,0.079,-0.007,0.4545
-823,hjjeljhgmv,786,gxnobtxlbs,Cat,rejpkgcwec
-34,0.4595,tplkcddmfl,CAT,dOg,439
-1,0.2035,uthchsejmg,0.3815,CaT,tewxjnunqz
0.471,kzgokrwuyt,0.3155,qvwtyxqkbo,dog,mpjrcpoqqm
-20,-660,-418,DoG,Dog,dczwnfvosn
Cat,0.313,lckuebwvqd,doG,CAT,cAT
0.129,-0.313,571,-17,CAt,-508
zawiiuihcd,CAT,-0.196,0.049,caT,ftxaieeskz
CAt,937,-0.1955,0.253,cat,CAT
-141,CAT,-0.1865,629,CAT,127
Dog,kyeatvfjbw,iapqziwnbj,-0.106,cAt,vvgukyznmh
0.249,331,jbavdrmzvb,tyvazassau,CaT,-647
odfalifjzl,33,CaT,-370,CAt,-593
xnkjjnosje,-160,cat,CaT,CAt,675
ducqpwpzuu,inqiqiakdc,azahwxztrk,doG,doG,dOG
-764,-333,0.1335,DOg,-263,seqrohmifk
293,-0.2405,DoG,515,dOG,758
918,caT,-809,ljdjetpjsi,-186,0.406
0.1445,222,-0.23,-660,CAt,0.201
caT,0.452,xltwtfdnuc,wnwaouelas,Dog,lqjitataiv
vfupxwgusl,hrpgrebgnz,-59,beacuiltin,caT,qobbumciuf
0.0695,DOg,-201,Cat,cAT,-0.057
twskhanqsc,423,DOg,-465,CAT,0.298
546,0.196,vqyeduspze,0.434,Cat,-0.323
408,dog,0.132,DOg,CAt,sbbcezieev
xvjqgynhpk,350,-0.37,humcuzoyga,cAT,cat
-545,dog,-850,ygyjzcuvkb,dOg,160
doG,141,-226,-564,10,cgucjcawfh
613,-444,Cat,CAT,-514,DOg
0.3565,vmbpevhqxs,0.455,-34,CaT,0.232
757,515,imkbrddmbf,DOg,-0.024,dqayjjetwh
575,cat,CaT,0.4535,cAt,-0.4575
-767,0.086,Cat,doG,cat,vlykmcljxu
367,-507,94,uiekmavdqm,dOg,cAt
-0.273,-0.243,-0.056,-54,dOG,-0.3965
ycqdhojeym,-0.142,tgbsekjpky,joygcmngsk,DOg,666
mujgezcrxj,0.2465,dOG,0.215,CAT,caT
cat,hbkvrpxvii,caT,dOg,CAt,-535
