dlyvhdhpra,peT,ceqxmvvafq,nhfovwnxko,jrzikuholb
574,Cat,cAT,-0.024,-337
0.345,dOg,-0.251,cAT,0.2685
-0.1815,eeqmcgzbhu,620,-110,caT
-0.488,CAT,-0.411,ohwadfvavc,-948
lhprqgyqti,DOg,bshodvahcx,0.347,580
-0.0865,dOG,-0.3425,gitmptwkaa,0.3655
227,Cat,CAt,byuwetuxyd,ckgcjrrixp
-0.201,0.337,-0.098,890,0.132
-0.2695,dOg,0.02,egmkgfebxk,Cat
0.082,dog,0.4955,dOG,-318
688,-181,CAT,eokoxxytuf,bqshzocydk
dmdartckvn,-0.1485,irxsbqsgog,0.224,-253
bulxkehohg,cAT,135,0.4015,cAT
76,vlkedhfzeb,dog,CaT,-0.131
954,oxijjarjqe,403,-0.2705,doG
0.236,incjzufffz,0.3515,-0.346,-0.3895
CAT,cAt,351,0.12,208
-0.0675,cAt,0.2325,-0.0085,18
uxdhooopbc,DOG,DoG,209,gvoyyuhnrd
-21,-222,-79,673,-336
-0.2215,DoG,444,-0.408,cat
0.305,cAT,jmkgcwptzj,ewzrzxktwa,xhzcimwcey
0.4055,caT,huwakzddda,-0.122,0.4595
Cat,CaT,lgqxfctsum,773,-364
DOg,doG,-0.41,-0.409,cat
iohosrpcqj,-640,0.0575,-0.0775,dOg
0.386,ishxqmzfon,dmprfbewml,-901,-0.377
855,Cat,nxbynlfhva,mvujbucytm,-0.3755
Cat,CaT,caT,booxkvebuq,lgduvcpkgy
0.012,CAT,967,dtxqdmkmsf,-588
-0.467,Cat,cat,yfntmdwrmh,ggksfyaojq
cAt,Dog,-0.4495,-259,-0.3665
pnloiecfdo,vufhezquqa,duygymwhyl,-958,DoG
0.351,caT,-0.1125,-981,0.1585
-0.379,Dog,tewizcaddc,0.0205,Dog
0.0595,CaT,Cat,cAT,36
dOg,-454,Cat,0.297,deynucdarh
cat,-0.227,DOg,535,0.2305
0.254,cat,doG,Cat,335
-357,bqavfvieer,0.4835,-355,-637
eglpudzmhq,DOG,Cat,-0.0305,dOG
553,cAT,-0.428,724,-0.386
431,caT,151,favzuxhexu,CaT
crsfancgdf,doG,-198,cAT,hqbchecnwl
CAt,Cat,rhaymtedaf,ykvwitncwg,-0.061
-0.32,ehgmrniwtu,813,-0.4945,qeyfbrvioe
whvksvirpk,cat,489,-0.0885,-0.237
810,dOG,hrzlucmvta,-694,335
lnrcqyhset,Dog,-568,cAT,0.486
hwcqcswcvw,DOG,0.1015,708,vbqvkjojan
974,DOg,829,dOg,CAt
caT,Cat,cat,DoG,avdgtbpouw
0.2915,Cat,389,Dog,-0.317
dog,368,-481,-477,cAT
596,mkwltdwxbj,0.336,ojmjtszjfi,-0.4975
ghbfocnrdt,vkxkkhcksq,rlatqnswdg,pexbpijcvc,-486
-638,dOg,461,0.047,hvkkssuddb
watlrflkzo,dOg,0.372,456,dOg
0.478,DOG,Cat,695,-0.395
dOG,cAt,yhaezbbuoy,uivctfhmth,-0.43
CAt,caT,CAt,cAt,-660
surxoirbja,CAT,CaT,0.4515,84
CaT,515,CAt,CAT,-970
0.079,0.377,-854,mxkfqqcdsw,413
Dog,cAt,dmthqdxqhd,CAt,thtljevolb
-0.494,dog,-917,618,yxrvoddaht
-0.2675,Dog,-0.053,-279,pmvrzhzdxy
-727,Cat,0.063,795,-587
feybrgnfwh,dOG,0.3505,-0.4295,DOg
CAt,-555,qfuhbhkcer,-0.4135,0.388
golshkinif,CaT,0.3965,dOg,fbkcpqjwve
-0.217,cat,0.2325,-887,hwlciagxgp
0.1475,Dog,0.1865,caT,DOG
ukxswegkyg,dog,200,mlelopkjkr,138
116,-150,37,CAT,-260
-637,doG,0.2545,-172,0.267
0.0375,-0.0175,-159,-0.36,gnupvvwuwx
lfehzukmtt,tcxveduwcb,wxhsaikfot,0.3655,lzsdmjualp
0.01,syijudvuxk,-109,Cat,fogwudsjfj
763,mgbaccqedv,0.2985,0.3685,-913
irhwqlaaak,DoG,-0.2075,umajekyekn,-226
