tjaseqbpxy,wvkaysjkxk,zuocpdlkpf,sgbyrkvpfm
525,swyygyfpgo,0.099,nliscbvqed
-930,0.023,aatdmrwkbr,cAt
xufomhzqxv,DOg,-245,CAT
CAt,117,aikfjploqk,-955
-17,luxukahccs,vytigbycvl,629
-167,402,jibjpeiusi,-445
0.3855,617,DoG,CAT
-373,-786,-0.4255,dOG
-72,0.1765,Dog,cAt
-209,dOG,ofwydlpgyn,-0.023
-416,nvyxigaglp,524,Cat
-531,rqfvnfdqtz,DoG,bmfxmqtsrj
-570,mkluhdpdij,cAt,-0.381
fsebhehloo,CAT,430,0.353
-219,nmmomvjtsa,-0.056,-0.092
CAt,238,zxoojxqyeq,ydslqrrshm
0.4555,qahzqecyvu,wuuygyqujv,cAt
220,-696,otnwukifop,gavfywbzxw
281,-0.402,caT,wyjlvmnkgg
-0.126,cat,asdriiodtj,-0.0945
-0.322,0.2005,hrgdqmbvre,mstiwzaiyu
-0.007,766,-0.0135,-0.261
0.0185,-0.397,wjslxlzjpx,-0.484
DOG,-0.4065,fqonrfrlge,-404
-452,0.286,-679,qbezphmqgr
tcqrhiravz,0.166,-99,gkcerinvma
284,dOg,-330,uaufrygasu
0.2735,vdammyvptx,-0.373,-0.466
-6,341,drahfigedo,wjocvnbscw
-563,ydjsqweocf,faahmdjrop,343
yyjahqveem,DOg,-0.3615,mkfydrujje
dog,nrvquygniy,ifauiuuxtf,iixanlhijl
yptobmvecd,CAT,-335,DOG
-0.1155,0.2895,-0.134,-929
0.2985,doG,0.059,666
dog,DOg,-571,-0.336
-0.0455,bxsquyvlwl,dOg,-0.3475
0.382,85,cAt,ktczzriuoa
vphphsqcib,-0.159,CAt,0.4195
-0.007,-0.4145,wflecuwbml,CaT
yshdpiudpo,-0.4605,doG,0.176
-98,-887,0.0835,-207
vprkqeuceb,-0.263,473,-675
