peT,otdohqceqz,ininfhuhld,dwizuhvlro,owkdlbbneb,tlbbwjcfya
udghhufvum,-105,jcyhcxcmjx,CAT,CAt,0.0875
cat,73,CaT,609,hntnfzuhnk,-483
cAt,CAT,CAT,389,doG,734
CAt,-691,-142,-0.2375,-0.4395,0.273
dog,doG,798,gcoqpvitde,ibtepwohjw,uenkclxfpo
Cat,803,0.3795,-650,qnjhckrthg,-976
DoG,336,-0.2235,-0.413,-0.394,-111
dOg,0.494,-0.0825,Cat,dOG,271
0.054,-983,oakwajtnve,-0.3435,0.4385,-0.3335
zblcfvrmyb,477,-782,cat,-0.047,CAt
DOG,dog,dOG,-473,602,-0.251
DoG,-0.124,DOG,405,-74,xhopzevpxc
cAT,oiljgyehpf,0.4595,0.012,-424,-0.254
CAt,-0.3495,-0.063,cat,lceqyiqpvt,-59
caT,63,ujordstive,cAT,CAT,0.344
CAT,283,0.0355,-62,411,607
dog,-0.2905,mamzekxpqg,iwahohbgkw,dOG,-178
0.241,nlbfepkkqc,618,htzlngkusr,jxshmdzdsr,cat
CAT,0.288,ntcrknashn,caT,CAt,0.021
242,0.377,-0.477,0.217,0.0545,dwzlwlkdmv
DOg,jwhpxsemcj,-821,caT,-963,-134
cat,547,cat,DoG,dOg,DOg
cat,-0.269,cAT,0.118,512,423
dOg,-117,0.479,-0.0205,cat,dzpkrnjohg
doG,-0.3455,DoG,-212,dog,-329
dOg,369,-164,jbeghoipbc,-476,-0.374
CaT,583,-0.257,Dog,568,-0.28
178,pdrwdeodmj,821,-851,0.358,ercaywfusg
dOg,-228,cat,kedqsabcht,caT,557
0.055,cat,0.198,asjkdluyyy,gsxhbnfkpx,phpisfghmz
CaT,ojjawhdnfn,384,hvsovexxyb,CAT,Cat
dnzcmnligq,0.0895,535,chsvycswel,cAt,DOg
-780,-0.056,vlhgcbkebw,ixrwplmnxs,0.292,DOG
CAt,0.4265,gcibmgfnpe,covbemhkgu,-449,0.254
212,-0.359,0.2725,291,345,DoG
dOg,0.457,0.2535,-481,cat,ktvymijjfs
dOg,862,ojoexdnxix,vlkskwxkqr,DOG,-0.1835
cat,-416,llylmjphwp,0.3985,aqfezlqozo,345
0.3415,cat,jouckztzfo,-666,-0.245,CAt
CaT,0.405,-916,pakaiirtns,-197,flxqgjufzg
DOg,CaT,krclwmtwll,-0.455,-0.2445,otjstkyevq
DoG,739,-0.2875,dOG,-0.44,icyzlubuwc
Cat,0.1255,-568,0.3255,0.0675,-0.358
vrwdtaovge,0.005,513,cAT,196,wwslzthnyy
0.133,-0.327,-933,iffmmwdtnt,0.195,jkkbnwywjj
dOG,0.3845,373,-548,cat,defnimbttr
Cat,-0.008,cat,-495,0.3315,xsltihsxau
CAT,870,ookubsrksq,akynhzdcff,437,-0.39
479,qtlpgvwkfx,caT,pmrknbxuot,-190,-0.3075
-0.0735,-0.056,iuakqkvibx,wwawxyhoay,-0.2355,dOG
CaT,863,uqwhwdzdsr,633,890,ersdocydhp
Cat,zzlsghbhpd,ivrtwbhagd,242,-872,674
DOg,107,tyyxedavpa,hkxntszigu,jmyuahvbgu,195
caT,dOG,DOg,-87,-0.197,-418
cAt,0.3185,emlqeaiggm,ptonjxjhdc,pqzxzfiexa,-0.112
caT,CAT,doG,0.1385,aasmlhrdpe,ipmnzwstzh
-566,-820,-0.1485,dOG,tbiuytljxy,0.3535
DOG,Cat,khizudzzth,0.4145,zxyznbpjwk,-302
DoG,187,-579,-0.3935,121,rngomtmglf
vsmeaepdwx,yazdkopcof,lnrrigpmtk,dOg,-0.314,-529
