rnjcelqghw,jaobhvgxkh,adneegxcfb,vblyevwjnd,sjrgkprejo,yupmjvikat,ylxogpfiej
dog,-0.133,etfcvtllmm,ccgtormmyw,enreuzoluw,wrabgrppur,DOG
0.3405,-0.405,0.2775,dfyuqufbgb,vvcnuivuuy,-0.434,0.3435
DoG,0.156,Dog,-0.316,wrlslgbcrd,-955,-0.254
0.3425,-0.48,exmfoikmrc,-0.1405,DOg,DOG,-0.0685
871,-0.0165,eboyngjwkz,-0.34,-0.1575,-0.2495,-433
0.355,tevcdhyfrc,-0.4375,dOg,cevfhhazas,389,386
CaT,omkwcwrxyi,768,0.466,gpztjrvtdz,-0.1795,-573
-0.4855,-0.445,-0.0095,cAt,-124,-0.4585,uyahwlbywx
pelnhsoybs,zxrxwrjfyp,CAT,DOG,-0.3815,cat,oajmbipkyo
CAT,lekvdlgsgd,-0.4525,0.3445,aopudlqdgd,237,DOg
0.379,sudnacuxev,DOg,-0.3115,gbfnbkipgk,bztkgbujxl,wigteyrjpg
jbijzqjviy,594,cAt,luhfvfaoxw,0.283,-0.2075,qcrxqhwrcf
0.424,491,yxkocfmmsp,czhsuvxjgl,0.0595,vkwxyvsxuu,dzimqabdtr
Dog,0.239,30,-0.0615,-87,379,crmgjqjkwa
-0.443,-0.405,598,-0.0115,-0.268,vryzkyivic,0.3415
dOg,-253,ndqtzhdtgo,hqxcxwgnms,561,-0.1295,-0.1275
-235,-0.2315,0.4565,870,yfxgkovcxw,-0.041,832
-0.3605,72,-23,312,0.259,Dog,-289
0.4985,cat,DoG,-0.407,rlibahmcfh,0.365,ghniwhqeae
-0.4845,-0.1895,367,ylderhehkf,696,-0.275,0.453
bmqgtwvhnl,-0.1225,-298,tfyvtgdofo,uvahbbyled,-924,-0.171
qibojtdopb,iztwycayuy,Dog,CAt,521,DoG,979
mpwxuebdyi,-518,CaT,zdlnlzbvcb,815,Cat,cdevmnoopf
avepfgibdc,-296,0.3925,61,-834,0.268,ulxkqkfnvi
xntpxxlgfr,uyeiqtjnyu,-0.4415,281,-125,gnpihnwazy,-178
845,wtcdzopmod,cat,-722,-628,doG,-0.0135
401,-255,-681,75,-0.3975,0.487,421
dog,272,632,tyopcxlzhg,shqslscynq,-926,DOG
nwqarzlpin,nbqdakbopc,-0.4265,0.1345,0.137,-0.145,-0.213
vuxitukvsr,vsozoldxaw,-8,twqecrozkt,0.032,mijtagqmxz,DOG
zjnufjyrjw,-0.441,CaT,0.499,-0.0175,-978,-0.0365
xlprateqpg,dog,-0.0835,0.301,uvtpbmspsk,CAT,caT
tquugrikrq,izhylvqgbx,994,870,0.176,gstcrezmor,0.075
-0.009,-0.444,-0.011,fjkoisixuv,0.2625,ljnynikqru,-0.053
-0.0325,cAT,ryjaoacsdf,-238,-0.381,mfghtcmydr,0.4105
DOg,210,976,-105,DoG,385,DoG
qjqhviwieq,jvzuefhsup,rhxbtpqrct,hgmjovoqgx,nvytcjwgkz,-0.3975,oeejwswspc
caT,vbtmzjltna,875,-799,djqdimzwpz,deoqxyvgly,zfiuhtdfcm
-139,btzedjoapv,13,DOG,289,-0.0725,ivoryyncke
-0.067,hhkmsjuwcq,ycyudwomjs,0.0305,rwwsipttzu,doG,320
msqlfeursn,DOg,pgtjnnakxj,zlfcvvymtx,ultuzazsql,-0.321,-404
-0.293,0.164,-0.4115,tpktqlkijq,-552,skwatbijfu,sdjnhugabu
Cat,-882,-249,fspoektvlk,-501,eaeoypyevv,dOg
0.0705,0.408,caT,wdapfnuhig,witczpldnu,xvcfshttcf,-545
fhrngjuril,0.353,CAt,-286,-76,-0.1695,eclwkuazta
caT,sahrodutfi,0.261,447,cAt,-0.256,cjzivzhazx
0.2285,glplwfyxcp,0.1665,-0.3865,blgrhhslkk,0.3015,lbcqlfwgnv
-900,-0.004,-109,-491,0.439,707,0.2755
xwbeiifafy,cat,nysudbyjqd,-927,ngxxfirzet,cat,0.15
0.1265,-0.1385,-645,iynuguxvwo,184,-0.4945,-868
