oxxecrivrx,PEt,lpcpthgwwc,pzmleswvcx,qmlzdzgvgv
32,cAT,488,0.371,iewywjdekm
ltxlhiafvg,doG,iadgmaxjrg,xpjzxmomox,DOG
-0.202,cAt,oqjolryxua,0.0885,-393
unaarmanlm,Cat,748,-0.246,ywpjrgyqdk
qyeifeagam,CAt,nyzgsstnym,-438,lqcpfvrfqi
0.482,doG,-125,bhfcivrnqr,tngvjewoos
0.4745,0.328,521,-664,268
uzcnbfglou,-47,CAt,276,-0.361
dndlcfhihc,dOG,wxrzxhooqy,mynrqdafev,jyhbpxqkdd
-0.0405,CAt,cAt,-0.1325,enuuzgdjua
-0.1285,dog,CaT,DOG,cat
0.4135,499,-0.2215,681,qgtwdvxham
joowlosdsn,dOg,zrmsyzrxid,-528,-0.045
dOg,CAt,vzfdvkfvqi,emaxvjpsmn,fsxmkbdxty
-0.4015,-172,otoowmqwtf,CaT,-0.4705
-399,caT,Dog,-0.2115,-0.0205
dOG,dOg,ebgvzkfzse,cAT,-0.184
-308,dOG,emtoqrojpx,-0.0595,0.497
-0.315,-0.2665,0.021,-763,fqmlxebumh
-579,CaT,iyndqznjta,vdizxpetke,-0.359
gbudujahdg,caT,-0.1905,klbmsvudwb,2
-163,caT,0.124,0.492,uelipisuqf
891,Cat,dijxpoiuxj,-0.4865,cAt
0.003,cAT,0.3115,-230,379
253,-545,kiltzycgfq,ccfgyntpav,-0.4975
sczwsbrsyy,CAt,cAt,-0.1065,0.1935
0.0565,caT,-0.0485,-133,-370
swlnwlsdxk,DOg,459,dOG,gyswverqil
-403,dOG,-0.313,-418,146
-0.3875,DoG,dog,-0.0065,999
-465,dOg,-61,0.0175,vvnormnede
-26,Dog,169,0.4475,dog
840,kbxpbvlerl,strghvdwpi,doG,477
yfnzdksies,dOg,-0.192,rxmumvqamq,-415
dOg,37,970,-0.0155,CaT
cAT,10,ntzaifyjld,prvrnjgjcx,sdqyyykuia
jnapvafnik,Cat,698,oetziascdj,lalwuztslm
vzddfkcfyh,avmkalfpwe,0.3635,-766,-576
-0.056,cAt,0.109,-0.074,477
0.3325,dOg,0.2755,-0.3065,0.115
0.4365,dOG,DOG,wvhqanpivt,CAT
gkzhitjqzs,Dog,CaT,0.486,696
cAT,630,-561,doG,0.3195
0.0775,CaT,6,0.1385,0.4075
Dog,dog,mukgdtkhhx,0.433,-902
0.0815,-323,bmmwctwqgs,-782,qisbuxtcen
469,CAt,617,0.415,lxmygudrni
0.1135,Cat,-481,joiitqnrhe,0.4555
160,CAT,-66,289,oypokphfnh
twommbrnnx,Dog,0.2555,gsqjyqwatc,lyijlllnod
CAt,dog,wnnwekdsch,eyplpcvxzi,-0.1615
0.052,CaT,CAt,slipkzoebx,CAT
lbnygwmjgr,guqgnxxtso,578,vkehjgjpvi,691
ajhbfzbnbg,dOG,0.152,735,0.222
-0.3375,CaT,jmgktjvded,Dog,grkihchnyl
dvuuhdrlgj,Dog,ujbwysdxhh,1000,0.14
-0.04,cAT,omhqwaeuzc,rpejuoitux,Cat
-626,dOG,0.046,-594,475
193,CAt,-177,882,cAt
-0.3945,tcglqivdbf,dyjfyuznwa,0.3815,zycjjkcrhh
-0.0015,0.453,-0.117,CaT,0.0155
ozwkhvlfpd,cAt,0.1405,0.394,212
bvivvecmgh,102,CaT,-34,wcthlytcoq
usdjpocqko,0.3215,-529,275,-0.464
-683,DOg,-0.2335,gchvbubctn,0.07
doG,CAT,ewoizjitms,unxkenjmah,413
-0.3045,-572,CAt,frqyopezmt,-0.456
-835,cAt,0.2535,-691,-803
xrvmmlguen,Dog,-0.195,-0.0345,-0.499
625,DOG,951,dtzdozqmct,dOG
962,Dog,aowamnoosv,-0.24,-0.3845
neswyysysg,Cat,-0.376,0.399,CaT
Dog,0.31,hpmsvcvokc,0.402,Cat
cat,Cat,DOg,qpjypnwhpb,siwxejndii
-737,-213,439,vjxaziwjce,uuzqhroryp
crtwimiqsw,DOG,-0.13,huzipcbjom,79
kakuzvmiog,CaT,901,784,896
dOG,DOg,dog,-491,CaT
-796,-917,gbwslvapae,quzrodhaez,jmkbkjvfao
-479,CAt,DoG,0.103,-0.4825
exsmqnbxxv,-252,15,-290,CAt
caT,DoG,0.44,hhygfeujdl,257
0.2675,cat,0.361,whyonwwsjp,-0.283
-0.066,syygcldxkq,caT,totfdfgugv,dog
0.2425,CaT,0.3525,0.4465,eesfipbdrz
zmbjvdtwlz,dOG,prkabkinwk,xwrnwgbzid,340
bncrurbfhf,doG,xelspopzym,614,-0.482
uuvqmbgyqc,-479,-183,dfhdzwgyxq,Cat
384,dOg,-44,juctcfeoaz,-0.4995
-0.1745,cat,0.481,-0.3565,0.4235
gephxufxfz,Cat,wbncbgptms,0.412,-0.491
0.214,DoG,-0.366,0.4995,ibswujbyvn
-768,DOG,pmrfrwkxno,ekjsxelmix,prvxfprejz
fxhpflauul,cat,zjbtpesmxc,caT,dOG
fnrdjolomm,Dog,bwqzbliydr,DOg,nfurhixpss
71,Dog,732,caT,bfhmvtfmzd
