ttbjbdympw,xldbioatyi,phwilydina,xohkmapdxy,fikdajfdyf,apgoabfpms,eotpgzmqxm
-561,cat,0.1615,uaalikbyrj,epnbabrwof,CAT,555
Dog,ebtkuxlgla,394,dog,-0.3065,-491,bkgrmwsvyk
xcfnsuvszx,-0.2965,683,0.2955,mmhwozpqat,0.156,878
0.0,77,zvhnxdgexp,cAt,hctdvlmxpd,wwaxobvmmq,-0.2805
cAT,0.291,-0.4615,-320,-0.044,0.273,twbcgyolmd
-0.302,0.1615,586,-118,-627,198,cAT
0.3095,926,-0.056,mndwmambys,0.1045,324,-116
0.4795,-495,-0.031,738,qgrsfsryup,CAT,-386
ournwehnlv,alfklgejrs,uzrbbveyrq,-0.462,grlxpiwwzt,pywwsrbxil,cAt
738,96,Cat,-0.2795,badjhrjaaw,-0.107,845
130,dOG,dOg,-0.233,mjolbaotpr,0.0235,0.078
