ymipcersxw,wzuxwjburk,dvklicfptr,gqlcotqaao
-203,jimzebaicc,CAT,-760
-0.135,Dog,0.428,-0.1755
0.2915,0.1425,-715,uyygjrpiep
-622,-0.1285,-0.1725,-332
llkcmdfsvt,-409,caT,268
xbmpjgmkpn,gfnnzditdq,DoG,nirjqaaqpn
Cat,-0.1375,dOg,-0.2665
-0.157,mbsayflfnw,913,-0.292
-0.1935,drktyphatx,vogowpeqvt,0.104
qmommjlycj,nthaqdzkkb,sdmmtmfhlk,rffntmpiyh
-170,-411,Dog,0.4785
cAt,caeldioucx,0.2425,ahmnopwbhg
emicocqiew,fhktolmlrh,-0.44,-0.4625
Cat,tqijywhmvu,-0.007,pzfswjhpxj
0.232,-0.146,0.02,gcwjjefyqc
-0.461,0.0825,nzozxbcvgp,624
CAt,dniqqjzshs,646,-0.1255
-0.1305,659,xicdvvvaev,dydjtkcvcc
-269,-0.374,746,wjubgnfwpr
-410,mzkrhlysqd,0.0145,cat
tqzlzdcdsh,jqwqbwsizq,549,-208
dOg,804,0.141,ygjrqjctka
-0.141,CaT,167,CaT
ouipjvqcmo,qxbmobzyqu,-155,DOg
