mocxvhuwmf,sdctbdcnft,PEt
602,48,dOG
-0.2915,-0.283,CAt
146,qxifgchmpq,cat
CAt,-0.057,DoG
307,dOG,CAT
0.2205,qpgftdeqsr,DOg
-721,-0.4675,dOG
cAT,CAT,DOg
-0.4885,622,-424
0.361,-625,DoG
-494,181,DOG
hpmkyyukrr,0.496,cat
jvamhsmjks,-0.394,dog
0.2535,-0.256,pwfvkznoox
-586,-987,CAt
caT,caT,cAt
0.186,ecjgoaeabw,856
326,CAT,dOg
yxonjkeyal,doG,DOg
qoqdrafskv,xluzkjtbsj,cAt
zkifxjfkdx,277,dOG
ghejormyag,-0.253,easmbadfwg
vvnohfjmvl,zxlaricecg,doG
-595,vshvwbqhgx,Dog
0.2905,-787,dog
-0.4015,dOg,-0.1085
cjkruiuypb,0.043,caT
-989,DoG,-0.1145
vvmltbpvtm,meqiedacey,Dog
-20,817,CAT
0.0975,Dog,-0.2105
CaT,eqkcfyuirm,DoG
381,xjvynpndpe,DOg
-84,wyeilhjrkb,cat
596,-0.146,CAT
-488,nxhiunwwco,Cat
wgevdxbjod,-0.325,dog
eeqptxhrar,835,dOG
doG,0.142,-207
0.0005,fmjnepqoyi,doG
-687,-0.3825,rqxqbkosti
659,-0.0065,CaT
-68,-0.234,mmimvbkoui
cgmrbzkloy,-874,Cat
CAt,-0.0925,Dog
Cat,-0.4985,bcfdhexmoq
-40,-398,DOg
0.389,DOg,caT
