uvlziuvkov,inhmeapzxe,pjxtnczaxq,vhxclfreoa,fjarufpphu,etihrldlyd
-127,-613,inzydbtrao,0.4655,-0.1185,orvuubmpdj
DOG,437,wvlkcwepyc,0.4385,-0.0685,ycmqvvwmsv
0.269,-157,wdvjqpvbkj,doG,741,-0.092
dOg,doG,835,dOg,551,dOG
-345,-0.0855,137,bwlyolqiee,-494,twzachiwlm
-8,408,doG,0.385,-0.0455,Cat
-254,nymdmrnycl,dxviewdatx,0.339,-0.3275,-0.1835
69,fnqmoayrzo,-0.426,dOG,cAt,lnffzcfdwd
ixxerccdrj,-271,fjhhxkuupu,0.396,0.087,-467
CAT,dOg,didmhyxmce,umgkukiedx,doG,qhnqndhmdj
taidakavpr,-14,-0.1175,pahgqgcvgw,dOG,-843
szkwhdtizg,0.3275,-0.1475,774,DOg,lsljlnrgal
momvvnepfd,-347,kptkhuueez,503,-0.3755,-381
0.4875,-0.4615,0.2225,cAT,-540,-640
0.499,8,-0.3455,-563,-548,zfehumslzj
mvixcfiqrz,-0.136,CAT,lauxhuynsk,bdaniponha,hlrpuemsix
72,upwzkahhve,0.3235,doG,yqmbhhkhgx,522
-612,DOg,-0.486,hsgamqdnle,uigqdvfgqf,-976
ngkfpgbecd,dwansytntf,-865,aqzvztgoiy,nspsnvwwxr,979
0.017,498,466,-143,Dog,ttrkdmsnxy
933,0.169,egsaksgjgx,0.154,-958,jpiamywzuu
-559,rokqsukagm,kdcnbcujks,ihvgxvpawb,odbviuorci,uywlysvpln
452,0.4985,578,671,441,Dog
0.009,399,-0.0635,0.1235,0.299,0.0025
-0.1355,-0.249,740,mnrjfpobmv,906,-452
0.1465,35,-0.0585,-0.087,650,-656
-0.001,25,-99,cAT,724,cAT
ndpebllgea,svoxbgxdpc,gkyqzymxtd,-0.4855,0.0565,gmshxwsqat
0.4185,994,0.1475,dOG,pzjlimcmgk,-814
DOG,-633,-0.1195,ncueexdhjm,hhqqsjdrgs,dOG
vrmljjqpzx,135,0.3955,hjzlsktiza,jsdohzxkkq,840
-0.208,0.383,0.027,rwkcelsbjh,taargtvttm,mzgrmxvdkb
0.4585,0.041,ojdhjrejcx,-996,hewyjjsxap,0.152
CaT,0.3485,jecermrooq,-0.339,aazjsjbvet,0.213
-0.3975,605,685,790,568,-420
bzwfrysegr,-0.1805,Dog,0.108,40,hmrmdlintf
DOG,jpseepbfin,dog,Cat,196,-0.477
aamyhwoaiq,315,0.0815,onwgsjoixc,CAT,wynoxbkhen
qeankptebb,cAt,-978,0.448,-274,CAT
-335,tuefdcwsph,324,-0.227,0.2025,cat
jjggfzbfme,seaicbtkdc,204,dog,DOg,229
caT,339,-581,doG,cAT,0.0255
-0.2865,CaT,-0.3655,432,azltmnxtdu,dOg
13,uoubjzftwz,ttckzyojre,zjzkaroadw,-101,423
oubynjbmop,-210,-0.278,0.0375,nnqrrmqild,jjysnkzwmw
wioectydzl,dOG,-874,-0.3595,-0.4475,ndastkgwtw
gdjefpzmqz,qttgcyzyei,eikekrekqw,-0.027,mgjxqnpogl,-266
-236,339,-695,mtlqdxrprx,bewpghapcw,CaT
-0.0135,drwjrkzgrr,-0.423,fyodlnvpoc,xafyswpspa,Dog
CAt,DOg,dOG,reboxalugn,DOG,DoG
267,376,oikwuddumy,qslpyfouvk,dOg,jlmggbrlzo
lklqcxwqum,0.1365,0.1115,-0.1685,0.3735,qhcmrtlgid
uhaumdnmgu,rmasuobpcl,0.408,zuivlhaaue,bfsbcbpwrh,-0.2045
