gexgpbdqil,jsbcwgavzi,pET
-839,qbvkidjiwd,dOG
980,0.107,cAT
gpaimnlqxw,0.4465,CAT
ksqendjpaz,ghxkihgvsb,cAT
633,bnpnlzrwgi,cAt
DOG,dOG,872
ecwfftwhdq,-0.2095,cAT
wwvedkwlnj,0.3545,cAt
veronomrhc,yqnhkzprkf,caT
edtdepdqcw,cfjbjnfekn,doG
fdooutelbm,0.0675,530
flrktvbzvl,0.2015,DOg
cwngrqiufp,-60,DoG
0.2875,jhdmhgjxwl,vgixuvrodg
cat,DOG,DOG
vndxoezbli,0.479,DOg
365,-161,Dog
-342,-0.267,DOG
CaT,517,jgsrwrhcky
fzzpfjxdmf,489,nurhmlsiun
-508,cAT,DOg
ovmlnihnjz,210,305
fnhytksbsp,711,cat
Dog,207,-0.471
0.246,-0.271,Dog
DoG,seragmbagb,CAt
404,pjkmjjbzxr,dOg
588,CAT,doG
frvdmgbtgo,bglqbtevsz,yrgywokjyx
430,-0.046,doG
vashjxonqd,0.1925,dog
0.3865,-288,CaT
DoG,qjobimzipd,Dog
uclpjyvhti,0.3765,mludtfhorg
pozihwkxcu,785,DOg
-158,cllosdzbam,-0.3085
-181,0.2955,cAt
dyfkampcap,nzxomqtdmc,jxcieqhedo
0.0365,-21,0.44
DOG,iykaxupich,caT
979,CaT,dOg
-0.026,792,CAt
601,-970,dog
CAt,711,DOg
126,-0.3965,0.3805
-0.3925,cat,CAT
-0.4805,0.415,cAt
DOg,tscmlqbhod,dOG
-539,llpxgbyftr,-0.0375
-0.2045,-129,927
CAT,-990,-0.1605
ntoqgihdoc,229,CAT
cat,caT,Dog
-771,-502,dOG
ymvjieqehr,CAt,-212
bllfnomdyz,hhjbgeyzen,Dog
-0.24,0.1245,dOg
-0.3755,130,DoG
0.4445,dOG,caT
-0.427,-326,-0.2605
-0.0515,vkonnjeymo,dOG
-0.1335,181,-0.185
CaT,0.1935,wmohlyttvd
0.2305,CAt,doG
0.038,0.3895,-518
-329,mcnnyxhgrt,CAT
-0.4015,247,CaT
45,745,cAt
gbuqrpffwo,doG,uycbjvhdew
0.1815,0.021,jnotfgphmy
Cat,dog,dOg
-679,-206,doG
zhxaemmpki,731,Cat
577,zemnzcbkyh,DOG
0.136,789,cat
-361,-0.2415,cat
0.492,DoG,9
cat,dikgxvkjgm,-0.164
-0.074,-416,cat
phiobzqxet,jxetmxcfwv,CAT
853,804,CaT
-274,0.189,arldwnebmg
-464,0.276,DoG
0.0575,cAT,CAt
0.3575,etmhgckoxx,caT
0.457,-0.3405,wnslrkltnm
-0.008,-614,dog
-669,Dog,caT
-0.411,CaT,cat
-0.103,0.2905,DoG
-607,CAt,Dog
tmlllimsvt,CAt,dOg
0.186,DOg,DOg
-0.2955,-833,DoG
bebmdcynog,-406,-0.1195
-819,alqgyqofxi,dOG
