pet,klyfhfmlww,ytmzqxglyi
Cat,-0.106,-0.484
cat,dOg,-614
CAT,DoG,0.025
cAt,342,-0.4615
cAT,-0.2475,0.0775
0.013,-953,chkybmhtsz
cAT,zxibhqiool,ahmpjgmzrg
0.456,cAt,uxafmhbrbr
CaT,cqgrecvtva,-873
DOg,256,-0.259
caT,-0.2325,CAT
DoG,cqfgcdtjjs,zezipyzxpx
CaT,srmvwujogn,763
CAt,304,cat
DoG,srnifozofd,cat
dog,zajeioefyz,40
cAt,656,0.2815
DOG,-0.4135,0.2565
caT,dOg,-943
CaT,Cat,vrynrpjgxm
dog,doG,-578
CAT,peqxdonoep,-545
bbtciamesc,0.1755,-244
201,126,0.484
cAT,nieidssfsl,735
cAT,-0.3805,-442
680,582,-347
Dog,125,dOg
cAt,216,dddqmqzdky
-0.4175,lxbtsgowzk,531
CAT,-0.432,0.3315
DoG,-0.0415,0.082
DoG,0.149,CAT
0.203,0.4165,0.1295
DOG,xrftuvrvmi,-466
dog,499,-196
nqgxdqcuqb,-633,symtovqbtf
cat,-130,0.27
-0.3695,-0.315,0.041
CaT,opmhuafqny,0.0815
0.3665,-193,vudvwkjqzm
cAt,zqktyzikxx,922
caT,CaT,hiucfsfrzx
dOG,-0.269,-778
dog,CAT,-601
dog,-0.185,921
dOG,-864,242
-0.4625,axbskgetgy,wrhupyaird
DOG,-83,xhjawdmgpt
dOg,0.4735,ucxddfvwlm
cAt,vilmtywixh,-0.205
-340,-0.387,-503
