uvludpvudo,wwyknwspoz,fsgvmdvuto,ukvheywude,wgqnpdkrup
0.064,-0.2745,-315,jypgivpilj,CAT
-0.1705,-0.0755,-910,caT,-0.2975
-0.182,waqyfpxise,izzalizgql,owdrlkwopi,Cat
-472,-495,0.1455,447,-820
-0.387,zwlcxtlqhz,cAt,yggztrlspd,-551
cynwvxkqvt,rutbjkcdfj,uwbplyabgt,-0.1225,-0.4115
bvdnszfksx,cAT,-0.1445,0.463,CaT
qrtwkwyqoz,0.4385,0.184,worzwnhuod,yhtxzvmszm
Cat,dog,-0.417,gxgvduyszr,-0.4345
704,cAT,CAT,btgfuvaizl,sannfqdgur
-0.3355,0.338,hshzwpxvod,zqvsjmfnis,-0.421
77,vuoisflroi,ofdibuaaak,-842,-151
-0.0025,DOg,-532,yeuzimnitd,627
0.426,zyztloktvd,CaT,jtjfyhjcbs,buybexazef
vdiylmjlmb,215,50,CAt,0.241
-0.445,-0.0065,0.34,mcchdxcxcj,0.467
wmnsitjmuq,898,-0.1595,0.016,zahgrepsqp
-0.435,hqwfjriztt,-0.1575,-11,549
sqzqhewjxs,rqzpnlrtuz,soxbixahqs,caT,-28
dog,CaT,DOG,450,Cat
-0.1205,isjpmpnqxi,uwnyzupjlp,-180,-809
-0.291,CAT,xitzvsxpvr,470,-989
0.205,747,cat,xoofvjepie,cvlbroziol
880,0.032,bizarbvyvr,doG,756
12,-0.239,0.471,CaT,996
66,-0.053,djnputqrsn,DOg,-0.054
uxkdkkxldw,-0.4515,-0.414,748,-799
-0.373,-578,odkelhwgvv,tvbcazrogl,-0.3615
ijvyrmhmsb,-0.3915,14,udlpqnunsm,sjkbghemxu
quafhtvjzk,-0.446,DoG,cqjzsrjfyc,-860
-0.246,cat,-0.249,602,-0.2485
vkhxhgxzhw,yolvdpyvxp,0.198,0.2045,0.298
0.436,0.3705,0.435,-0.2075,dOG
cAT,fjkjknhrjk,CaT,-71,-660
ocptrpkyov,ufunjeksns,-834,zgqlhohlwg,dOG
-390,-0.061,-74,0.242,izbxyjpihw
-0.146,cAt,151,fvuntnwzoh,768
sbhplvuvap,jkkrryrlvb,dupnzmmwqx,389,-0.434
cAT,dog,272,cuiolxqaqu,0.3895
647,ahistplohs,krnosgnmus,knmxrkqvcb,uadzoyrbnd
yaxaooskgi,0.305,638,dOg,-578
tslnoadjpz,cAT,xdqbqmovsh,dmlftelxld,133
-344,rtttolgjif,-0.3405,-364,0.474
0.0115,927,-161,ecincuewuz,-0.404
179,-0.182,-63,386,937
jvhtrfdrny,-525,0.082,-0.1565,0.3535
-0.211,-594,dxvyhidjxb,dOG,ksprnrmftg
