pET,ouqmvjhjgn,cchnvcgajn,vfidsnzwzc,kgnsvoskcx,irmastjqee,esxnmnebfh
caT,cAT,-518,cAt,CaT,975,uormjeujhm
doczxetown,480,397,dog,uhfwsydajo,0.148,jzyxfqolym
CAt,25,799,0.0985,kzaaqlnwjq,gbqcclbpxc,-0.2375
doG,0.424,-0.2225,vtblpmorei,-0.304,0.3655,fdeqianwet
CAT,dOG,0.468,0.3495,doG,wedilejogz,pbuiiwftca
CaT,-0.127,ehzzutqgic,kpivrcsogw,-0.3565,0.468,-221
0.376,0.3975,aekxolioit,86,-0.3535,DoG,caT
dOg,-0.141,0.4205,-493,dOg,DOg,928
dOg,DoG,0.4415,-0.1045,-649,907,0.5
DOG,808,299,yranfaycle,-752,-0.0985,irmfvysfar
CAt,-972,858,jidwaemimc,qwqvmidolz,0.1785,nobshpqlir
0.2405,0.473,jubugmikbq,wkcfsrcdsu,ivcventuhc,317,-0.291
dOG,-704,-0.424,0.351,DOG,465,cxeczhbprz
cAT,-0.0005,0.2205,mojlttdlqd,0.346,-451,222
pcudgxzojr,zxakrvjopm,-0.278,-0.321,ncwlmugoim,550,-0.3295
dog,787,690,0.3775,aeydyuoiuo,763,-0.442
dOg,vhxvxlnfhc,ryksjrgoph,41,-0.4415,0.219,0.4205
0.0965,854,doG,ljlqpenomk,-920,-0.0175,lhagkxhijs
Dog,bncudemgxt,-0.261,8,-958,-426,hfeiqpjwxx
0.401,749,qhqvahyser,nxsgtmkzlw,-647,-351,-887
-0.463,-0.3135,-336,785,0.0745,0.3305,cat
DOG,-0.313,caT,191,985,zmanxbkdla,-309
-9,925,-603,-0.132,dOG,tcuqhotysi,0.213
0.331,dog,0.315,xuoiwypvha,372,DOG,zhehehjfdf
cAT,dzixkzzkwv,-222,iccfclxfwb,860,-921,hqgnmjwqtz
DOg,0.43,eldrfspmkp,caT,olenyfklnp,Cat,bfbchbtyyn
cAT,-315,hvnmndunbq,ylzfrexqam,759,-0.408,vocqkulnzy
acwiyfixug,-0.293,171,806,-455,0.341,pfrmaghfpt
CaT,dog,DoG,dOG,0.233,648,33
0.123,-864,208,-0.039,kjsudyztoc,425,-0.0555
-315,740,0.2675,-0.361,-534,-0.1355,-0.4315
wormyqwupv,-901,0.024,83,rcjuvgdwor,xihlhccoqd,-883
