inpfbujjhb,khmziqkdmf,peT,cwygowazkv,tjcyhqrzkk
cat,-0.261,cmsbeqodxh,657,-0.234
0.215,362,-0.263,0.3,0.0935
scblycbdpw,-500,doG,cat,cat
-0.2235,dog,cat,-16,0.214
-0.4725,0.497,DoG,dOg,mtqrdqudlu
0.4005,-841,DOG,0.3085,-0.194
-780,citswnvwvc,DOg,rbkkolfzni,632
-0.2765,uvdxanknow,cAT,-475,336
-454,cAt,cAT,DOG,gyojkuosko
-223,0.328,CaT,caT,CAt
nbmdkiwqqo,0.008,DOg,Dog,-0.0705
-0.0655,gmolsczlvn,dOG,0.064,cat
0.238,qlxztxicoj,cAt,doG,ganhkzmmau
doG,0.2645,caT,668,bdedhixjsi
ijitskphfq,-0.2465,CAT,zhbuavlhvm,eneaqeveqt
162,0.217,0.0505,cbawwhqdzg,0.4955
-447,611,dog,jnoujfmuwh,vwqjyngkbe
CAt,-0.4995,dOG,0.122,-2
tcauyqkjgd,-924,Cat,-990,111
369,DoG,dOg,-0.3005,lfxkfigdog
niqzgveoeq,jqvkwndvbs,DOg,lkiahvtnrl,wpyhxhitub
0.032,0.3595,Dog,328,494
0.1305,0.115,cat,DOG,-317
-0.0205,-0.038,cAT,590,0.103
0.1925,wadlmgzckm,doG,cAT,vslzxbdkzv
-0.483,lcukfcqobt,DoG,0.1405,74
0.499,594,DOG,-552,cat
jfxnnghmam,-252,DoG,0.2025,pfpbyicwvi
-653,590,cAt,ddirzydjca,841
fliernzpko,269,doG,-0.061,27
jggnlaiima,agvgnbgrwp,-759,-628,822
-0.4685,fbqkzwrhki,dog,536,-0.3715
zdolxnmiga,vroadgxxgn,-34,-0.3525,364
cat,gceptrcxuv,nqdjiepoen,0.0445,-0.034
Cat,yfdbsyccki,-0.1925,smfnjniixn,583
doG,-0.014,dOG,ebqmwvserw,-275
Cat,-0.38,cAt,dfmpzoohgm,DoG
Cat,0.2005,caT,nxulljakhw,663
tiowookton,-405,dOg,-0.3865,-705
489,800,-0.088,0.101,tmiarrvbss
0.4655,vbjxsrevwh,doG,-0.234,-186
-578,-0.0755,172,hfsbmmeubc,-0.192
0.431,-0.146,CAt,-485,hqfptumwyb
cAT,0.2945,caT,-625,dog
dOG,wujwalviwi,CAt,-0.3325,70
0.437,-0.4095,caT,cAT,CAt
caT,jxftbjmpjr,xptuiupepj,vdmywmvutu,-81
0.104,cAt,DOg,101,xstnzfapuf
ngredlllbf,-0.3705,DOg,apoykirsdl,caT
644,853,cAt,0.1765,133
vhwmxvgurf,0.432,caT,0.3185,-0.1215
-226,stlvnqadys,DOG,-0.2425,DoG
cat,vvadlddbik,Dog,dog,820
0.24,cAt,cAT,epkpgqzlsx,kvdyjddhod
thrabzqkuk,0.228,CAT,-0.1885,dog
doG,963,244,rhbonznsch,dog
904,-703,dog,caT,adtvwhtfgo
357,-0.1265,cAt,0.4055,mthowkczdd
668,-434,wlimcqubby,954,vebupzawyo
cAt,-394,CaT,DoG,935
