svgeckvtwi,egzcmtjkwu,sbffcyeytj,clvddhxsgo,Pet
ujxotkyyft,-0.1545,-0.213,oeushhlwgy,CAt
-0.349,blzcasgtwi,500,-818,cAt
jewahmscmo,0.268,-0.493,DoG,-177
593,-694,422,546,CaT
cmqmjxgckd,njmkhfdbll,121,kmsythmmtq,dOg
-571,-0.201,-684,uvdjfmutky,CAT
-641,doG,0.3605,-75,cAt
743,0.4395,oodsscflpz,514,Cat
476,ffzqlwvwrt,-700,-988,345
tektkxierh,dog,0.4055,0.341,CAt
-552,iverzehhbf,0.484,663,cat
976,sahmkhxuen,shdoqmtihx,nqpebmmpch,cAT
-609,-0.347,914,921,408
0.248,-415,CAt,dOG,CaT
914,miesbjcekm,-255,-0.4965,pehhcdkpai
0.108,-0.382,-0.3615,-351,-619
533,488,dOG,moqjbnalsk,cat
idvlumtits,Dog,128,-97,dOg
tohobysrsq,-798,Dog,-0.3965,cAT
884,doG,Dog,0.284,caT
caT,0.3645,oyarlqcxua,21,CAT
gzkoxwaynp,-531,567,-716,CAT
0.026,CAT,0.4335,226,DOg
530,-0.3545,Dog,-351,CAT
DOG,DoG,-855,doG,DOG
qgdoihnavh,yusnchqmue,DOG,220,cAT
vmqtnptpkb,yipvvdvonw,869,-161,CAt
fwjvywcrlb,-0.3975,821,iprdvjycig,cAT
656,-601,379,avwezbuibf,CAT
Dog,dOg,-203,jmngkcogdo,CAT
DOg,pxeemjhuxg,-0.3205,-0.1825,Cat
axtwvbnfhs,0.2575,pgmfktpems,-0.1575,CAT
-501,-0.497,-0.1275,anmybqkdjx,CAT
caT,0.2595,dputqdvzba,331,-0.126
gebgyyghoo,840,caT,0.338,Cat
jvvepvifot,ybhriqlhsv,0.272,wvobxfxcmq,DoG
vjtheyhxfz,-0.1325,965,366,0.367
pderflzmyx,-0.419,DoG,ufsupcwuxy,-258
-322,-0.478,-0.484,991,Dog
915,etuaailxmk,cAt,-651,719
0.1735,-845,0.2765,dog,0.2435
CAt,-0.185,-0.3055,0.3965,caT
-998,-0.469,bbrxieihjy,765,dOG
-684,341,-0.1625,odvfzibdbn,CaT
525,777,0.331,kwqdtuadwc,cat
CAT,CAt,0.382,mmbzactnpp,278
386,0.12,xpyyphbshn,nzhntnsijr,Cat
-852,-553,DOG,-119,Dog
fzncvnoksa,ufwwvjofee,uqtygexfru,-530,DOG
hfbuftiqqa,959,0.0525,-0.287,cAT
knfsrizlha,-41,-80,fqabcttjqx,179
981,0.152,384,20,doG
-96,dog,-0.1745,ctbpyygiot,-0.449
-0.113,-454,0.2035,0.4305,DOg
0.4325,-0.46,0.1695,0.3245,CAt
ioxdhzbsqv,ftsgzxvqto,96,612,dOG
142,-0.1485,CaT,-683,81
0.0035,0.1395,DoG,cngcjnwbaf,-223
0.158,djeoneceof,dog,zkblpqpztq,cat
CaT,-358,rpvgrzghih,cmvkwjiujg,CaT
-0.3135,-70,DOG,qwlzqgznjn,-525
0.361,wnfatbkqkh,dOg,605,DOg
983,wxhpxkueoh,0.11,Dog,0.4535
Cat,cAT,210,DOG,DoG
yeohpkwoaa,uahioudmlq,-412,mqcnsdbjlw,DOG
-0.458,-0.1055,-0.4195,-0.4955,doG
cuckydovav,-0.059,-0.3705,-0.404,dOg
-186,peblryzjfc,nyyucflrjc,-0.0285,cAt
219,0.023,chtrwtugpu,-0.066,-158
cat,-793,17,0.013,doG
Cat,501,doG,cAt,DOg
rreucgwmto,-509,dOG,0.099,CAT
-0.362,bgsrytklyw,-227,cat,CAT
uxbdnmyeuw,923,-463,-0.399,-0.2275
yferbteflh,plxogqxsqq,-400,-852,doG
0.262,pgzzmldxlg,-0.0935,npjgtmdlyo,DOg
-397,CaT,dOg,0.454,caT
769,CAT,0.3265,50,CAt
0.0065,92,wtdqdvcuwf,0.458,CAt
cAt,-129,0.052,vhyesrlvpe,CaT
innmfnluxh,ffjotgsqse,dOg,0.3275,0.2045
yzpwsjrblx,-0.4975,-0.2265,myeoxutrww,dog
