vapezjnede,qicvibxlxu,zlttuxlber,PeT,gkkvvuiviv,uggiybwkcv
-635,-0.3075,Dog,DoG,ijspetijtk,dog
-428,-0.07,DOg,cat,wlhisrtouz,85
-551,CAT,cAT,CAT,eotugbswxn,128
0.136,-0.2765,-449,DOG,-764,0.498
DOg,dog,cAT,CaT,516,0.183
458,-0.0005,-966,cAt,DOg,0.0755
caT,siwtyzhmnl,-0.4125,DOG,0.316,-461
wqlbatmprw,-0.162,cAt,cAT,jkireptgsg,-706
nkcgogwtxt,fxjgfwrcds,DoG,-0.485,0.054,0.326
iqwxvefnji,-0.137,-740,CaT,ijfpxukyhb,0.0235
sardgvxood,-699,lqqcjkzsei,dvccrmvmzx,xptibrppcu,-0.4065
169,-0.337,CAt,ohrcoyxvon,cAt,ktozsfcdhv
-0.356,DOg,bakyppluly,dOg,-977,zhrbakjmlr
408,-0.0515,480,pwnrnbdmke,gkmfmzsowj,jqsjddfvda
0.119,0.2785,0.038,-0.1735,dOg,cAT
vezesxsfxv,-236,-0.469,DOg,-0.0295,-399
yaiuiglzli,Dog,0.04,cAt,0.3045,-743
-0.0965,xzjrrvkysf,hmjphchohn,dog,DOG,caT
DoG,-549,sziweetfwt,CaT,-0.2215,-0.1715
-50,CAT,-858,cat,-0.3595,-610
oxgpxndhgj,-0.3045,ujznbultql,CaT,Dog,ckupkwdkhy
-0.482,lycoiwdsgw,ecmkvmoyex,DoG,0.0185,ubttbvedct
dog,herrkmhgsy,-0.0905,-820,wiqcdbnhex,zodwdbjpsp
-0.2675,emnstgkuve,-105,DoG,-0.281,-324
-0.438,dOg,-0.079,cat,-0.1575,-479
jklmgqpsfh,-201,ttfoupzzbd,dOG,0.1685,jipwiowtgf
0.428,0.1475,gcuprfwmnc,0.301,dog,eepggbtmvq
yrocdwopij,dOg,-888,vrwiymvwcn,kwndftjpap,ekbjjyicql
-0.1005,0.409,cAT,cat,0.0325,0.114
0.322,-0.391,-0.321,-827,lvhuroqifb,iebctecyjr
DoG,-819,zkwouiqfhl,dOg,-0.2745,602
-291,hrbbppschq,cwvjrxzhgt,DOG,-0.328,xgegffpepg
dOG,-331,539,Dog,dwfckbwiia,xcrzyppmhc
-857,ovxlvxmqod,425,-0.171,-500,cAT
0.1295,-0.029,rvqsikoiaj,cat,dog,wmzjvzgaow
DoG,Cat,-0.4755,34,-556,doG
jkuskkaozw,632,-700,doG,qepvthsnbs,diopdaupuv
-570,Dog,caT,mulglkapsk,cAt,anydsbkwgn
0.2135,ondqsgfbut,xclvdnydgx,CAt,-875,-0.4155
fpvvzqonvy,613,ldgirjpjjd,cat,0.264,-0.036
-0.1775,-0.188,DoG,caT,0.082,0.228
651,226,usseowounn,cAt,-0.1765,-0.1585
0.371,athvqjnpfk,-135,DOG,cAt,-0.241
soswaetpjl,-993,lmvrewxtcx,-512,wfpaieuwiv,nalesdkxti
nnyowhonsu,DoG,-0.2425,Cat,0.316,qtcwqoowey
ywuamwoflo,-73,407,CaT,DoG,0.0115
caT,-911,0.007,0.1145,DoG,-881
916,bgetbyauay,0.4375,CaT,duotqmicxw,dOg
CAT,xtmkcoxsaf,xfszfvtqqp,dOG,-417,0.1725
629,CAT,-14,DoG,314,-972
-225,DOg,djngsnmutd,DoG,0.257,-0.2555
caT,-0.34,wygmmoldor,cat,0.258,-570
-0.1105,0.3865,754,Cat,dOG,ttuibrpjqw
-0.271,dog,-0.017,dOg,ifnmafqwxr,ppkluelard
vhrzlrwnln,aprthksnqn,rptdvkdivj,oxpzfkfaml,qllhbbnlpt,-228
caT,-265,DoG,CAt,0.0545,DOG
-0.2385,CAt,vciehwbnxs,-0.1585,ijzdhkzjvm,CAT
733,DoG,-0.009,CaT,0.13,caT
998,-573,jhudstynci,twcidobizu,wirjytkqhr,-0.152
doG,-680,854,cat,rcmgdhcfos,lucfrixpiz
