lslzmxrkqe,jyskrzfoxv,gfiipsxxpe,nkkpbjlwko
owuzmxhdvg,doG,wxhpltcsdn,0.296
sypysrfcvk,nposhqjbvh,mqgxwbukca,490
-612,-0.2975,-599,-0.4275
925,0.409,0.2865,DOG
wyzatohujq,mekciixtlp,hfvwalviaw,-439
Cat,153,nqabtbvwmb,914
739,875,0.024,kldnkjybhz
bzvcfgfbbk,hhvguaduxm,-69,cat
cAT,144,hrstinpwzf,vjhezfmmkw
-0.011,-0.017,0.4525,yuoinsuutl
0.0785,Dog,xxovywyoeg,-493
Dog,-0.492,jtanbtyjhh,-860
196,hljkwzjxwc,iwolwquyam,-0.0175
-886,-0.239,pxqhiwgbai,jexmsglgvj
Dog,gjdhpihtfn,322,doG
muyjabrezd,0.2145,Cat,nejvglmwcr
-0.019,cAT,415,-877
0.4755,dopswwwoho,509,0.226
CaT,65,0.4565,icyqpfvnjg
jveptkotsd,0.209,569,-635
0.2725,989,0.1555,0.1925
yvigzpbral,-757,CAT,682
-592,895,726,cAt
0.393,jqxrsmlnyr,0.4725,nktbidfsvv
-0.337,ncuzjlgjuu,-507,-758
upmbqzxtex,rtnrneeysl,476,Dog
btvplyzmdr,0.4955,doG,dOG
0.405,ipvekbpidq,evtuclsbfb,-0.4935
-734,-854,243,450
iwgdskxyxb,kelivssvfu,-218,tfuezalpei
-525,dOg,-13,-0.4575
-769,-474,112,524
fairucsoey,-881,-778,vyjctjlzyi
564,490,-312,-40
-955,lrbfcsjwmt,-495,-986
0.1045,nmlwgzdjmo,-871,776
qfikbvwfox,povvpiweij,-0.378,doG
mlvwduennl,-281,162,-661
857,dlzrgtltwv,erxwoebdcq,DOg
mxpnbcftis,-0.2935,0.0135,coauisfxjn
DOG,oqlkyzwanv,cxzhxqzksr,-0.3365
lyowegpqgt,-72,831,0.095
-0.2115,dOG,0.121,wpbilxfjhn
wzatjvtcsb,hietzhjhap,358,cAT
doG,-598,cvguwdkgcz,kueanjdteu
638,-193,gejkneniab,srcumpdora
qqcwiwrwdy,-0.385,ayrphdawts,0.1575
xzacmzsmur,ifponrnjxm,rnogesbfxc,-0.4315
0.327,rxrxfeydwq,-0.0645,-0.384
DOg,176,0.0235,xeevldpvdz
-0.217,-537,-0.104,kcfrqsbwam
Dog,wnuskxtuja,-781,kwqyxyukvh
-455,507,240,dog
-617,bnqpdzzexh,DOg,oujirszkxf
DoG,yemoobqcjv,DOG,yqielbsyap
zzqnjbclip,djdrrreqkc,kjhlvtegci,-0.2535
875,vmfpfzcwkk,DOg,749
0.2395,kbsquabniw,cat,-282
Cat,gklsjqedjl,0.043,-125
-763,-0.0785,-314,-553
fqekkdooxt,0.4455,CAT,dog
-384,0.278,lahsoegntr,Dog
