gglavogyde,wutxrfhelw,pET,ycsxhlukvl,psydbyuajq,dynunvoxcn,gxtlydxvsv
631,lbhbwofpvr,caT,-752,Cat,cat,578
454,-0.122,CAt,wvpxojhxia,556,-0.407,-832
0.1135,-114,dog,-0.4945,-127,mikxzeldwr,-0.426
-0.318,-0.3205,DoG,hpbajlfphu,-0.2425,-0.393,415
DoG,bpqxaikjdc,dog,-860,-164,440,purpyqmkrl
-0.453,rmecviltao,caT,984,vibbiqwmbx,251,CaT
260,CaT,pbfxlhnhkr,0.097,hxfeamnznu,tvbjdufesh,-722
357,Dog,cAt,cqpqevgdoa,wnwmacpbzb,Cat,-526
454,0.1335,DOg,-0.147,dshkgeqreu,0.216,caT
cylxssdzrw,-0.1785,doG,drvtwodrey,0.0955,Cat,0.085
DOG,-521,0.3335,zagaojfbxd,-112,-198,CaT
-0.2405,0.1215,cAt,wzmgfibaif,bhqvqkorke,-594,-0.48
DOG,-742,CAt,-607,stgritfnmg,-721,ytzajrhkhq
DoG,-778,DoG,0.207,-0.4985,olzkkartig,580
-232,cAT,DOG,tdtuevozkf,levlphomuu,719,wwpaggwsvw
xtufdezwqh,lvzewciiol,djsynmvscs,-0.1195,rfghcgvlag,cat,-0.303
lornkrgsdb,841,Dog,fktpvupzqg,153,-214,211
-462,792,cat,-769,522,espzckfoez,-394
853,ujibjhvgyi,Cat,54,0.3765,-0.417,0.3075
hxrnecbhox,0.3205,bucwavxckp,qbudifzcob,-0.31,-0.061,ugpbgfqohl
CAT,DoG,mpygppqrsk,uctdebjbbw,mcljafuznt,Cat,0.189
DOg,-815,cat,161,ruewgrjluy,50,CaT
