puloolmzfj,qjmidnpwyt,tpnfcjjqvk,vkvbayjmpp,iawzoaijlt
zywadxbivt,cAt,0.1485,fzyiqkjepu,Dog
-183,pxnvwhrret,-519,861,161
cjoykrmxck,DoG,hkoruybzlx,hwmsbzjutb,niotwvcftk
-0.4025,flsambciir,-79,lsocsetvor,cxjjustlls
-0.309,996,teftwemfua,261,-414
kmhmwktqoh,0.462,-0.247,vqzbsbkstf,ehlbqowjhu
-0.345,0.37,qinituwzgn,-0.232,-0.4225
-607,jpplnzausq,-0.4385,0.1085,0.077
cwvyxxedyx,112,-0.261,-0.164,716
fkjczbkktg,caT,hhmthkcinq,107,0.3135
tneicazryw,pgpqtofdvk,nbqajgllyr,njbbmkmsun,0.3065
314,-0.0575,154,116,gnwntkhsbv
CAt,vteqacfzey,tmdmlfsbpf,-0.1285,-112
816,496,884,-124,aavgahmfhd
tawouehoiq,0.234,CAT,-0.2195,lysghgmoqu
0.1145,0.493,-873,DoG,379
-704,-767,-0.3295,DoG,CAt
0.3245,gbsqbxaqeg,whcyzpobde,cAT,-323
heowlxatwz,dog,-836,dOG,icnndyaqyb
gdtljgeghj,0.383,yycvolkwwv,666,-805
747,caT,444,womzaztzpd,-278
Cat,-0.4555,-302,-992,987
316,138,cuzqavxyuc,CAt,-668
374,864,cAt,-964,wwpgirrvxj
hgkvchcjmc,823,-0.363,lexwpvivlc,-984
cat,-0.423,0.0275,-0.0295,fatnaxfwwh
-0.2995,-0.3725,Dog,-15,fecqrrifgi
0.1075,atdzrjhbgg,0.419,666,-769
-189,dOG,wrlfpgervi,dOg,wqbdqqqoem
-0.196,-897,593,-523,769
0.1885,0.4915,dOG,0.041,-760
-0.0165,wpkbujndmc,ordtvsztkq,dazvukezik,xqwhjwtmzi
dOG,klepinwzsa,0.19,rfehkkfqhx,955
-0.2845,-0.0145,0.154,511,cAT
882,ptaxpbssvh,caT,zykpktvcfv,0.214
753,-0.4775,645,393,iafletcose
hziurxpmib,dOG,obfmfbtbwg,-105,-0.3505
0.402,-953,-749,cat,-0.2985
kftpwuznod,qxzmfedhxi,acdluhrevy,ocksuzbbfy,cnxrvqthze
826,luezhtbrjf,DOg,0.4775,0.449
0.047,330,atddvlmetd,943,-761
gjwpwgnifc,-0.1435,-576,-597,qyplysywjk
227,caT,Cat,0.3515,6
Cat,xsybajnrya,-947,-0.2475,cAT
-908,Dog,llrwhktags,448,554
loaifforbw,-0.1015,-0.3025,0.4815,-450
-0.1525,gyuturqfuj,DoG,-0.0765,-0.145
fyllzdplll,-533,-499,dhlopxpjxi,-26
dog,-0.1155,rwbwcmiske,dOg,doG
10,cat,igqcbktasv,ejfungoovh,ildemmovsv
0.488,0.1165,775,vktkvdbdlx,-0.218
-0.409,dOg,efzohbjsjk,DOG,caT
0.0005,cAt,-0.296,xegfcwwosr,recknrlfwi
0.342,0.4315,caT,cat,-0.395
CAT,lcdosgttgb,0.037,cAt,fbnmjjvnvq
0.193,vqxtgvgroy,Dog,-0.1215,uuvxtlbqom
297,-411,909,-0.3555,pqmwijqjkd
sxbcbzjvqx,ewajsucgol,ilzscxsaqv,-199,0.474
quhlbvduku,-824,330,391,gsjvzcnbxt
322,dog,vwibemgjfy,cAT,0.0095
