zastwxvgtg,PeT,gunsspuosg,xfepximjax
vimtvypwey,iueikgrykl,-310,0.36
Cat,cAT,rbghwotqye,-0.074
-1000,cAt,615,-800
-0.4485,Dog,caT,fmjllgpjlx
0.0965,CAT,-707,Cat
0.3935,cAT,-588,-715
jujcfnajed,DOg,xanitgdgrj,0.397
dOg,doG,eoafvhwtbf,-517
CAT,CAt,-0.319,-208
kexvfiatqa,yukwtfwovd,dOg,562
DoG,DOG,ggxgltdsvb,974
lplboxvauz,-0.2145,-0.2205,phvmpvfifb
0.4525,CAT,-484,-688
913,DOg,doG,-0.0395
daxtgxjahf,Dog,12,guaxquxuhu
ajsqgwhkcu,dOG,-516,dog
0.2145,cAT,wqfcpynljz,-0.4335
dog,CAt,394,-766
dOg,283,DOg,iowstyrgla
anipysmvek,dOG,0.288,udhwiwnjtx
-925,caT,dOg,CaT
-532,CaT,12,iufyvesawx
DOG,Cat,-214,CAT
jbptzsxpjt,-0.2145,gefaynfiyf,DOG
pmgfrqblkb,-892,xrupcmjqoz,0.107
gftiuhdiey,CAt,617,rrroxenxnt
cAT,CAT,-0.456,816
0.0845,hmbszdirjc,-471,Cat
831,doG,-0.407,djehxlllai
wblcwpfbsp,DoG,trrtatuaus,0.493
ofmxqfjauo,CaT,doG,-0.429
rxbbramwtt,Dog,sahwocxmus,182
bacyafrzkl,dog,cAt,chdxqucxap
0.4325,vjtdpjfbfk,0.116,cAT
0.042,DoG,jhtsrmxmhr,0.2945
921,0.317,-0.1665,511
-12,-0.326,cat,0.3615
-984,doG,caT,fsjjkalrow
-0.364,Cat,-658,vxkvglzmrq
jloalbmrqn,cat,bfkwbhldpk,gspeaumpvs
-0.1765,CaT,741,0.3345
dtpseiarbw,dOG,-772,980
0.0685,cat,235,lfmbrxaomz
-0.4155,cAT,cAt,DOg
cAt,CAT,621,CAT
CAt,CAt,562,bwhsmqzjxp
-0.399,dog,CAt,-940
nhydrufnyc,CAt,87,-582
-891,dog,oddkvqignz,-0.295
stpbfvatnv,-0.143,0.0465,cat
0.367,-0.3295,dog,-0.456
0.451,-0.062,-0.467,poifovtprr
-0.4715,ubfiafjuda,-326,-0.0695
-844,DoG,xlrwljasxo,656
-0.1285,DOG,-0.4015,0.3075
430,dOG,snhzrruhsg,igkxavrvgd
0.0215,dOG,CAt,sskvmwxzpd
0.2,0.3155,DoG,cat
-676,Dog,mlhwawzidb,CAT
-0.2625,popfbuhnde,716,-82
luxznjxlhm,dog,oeioowssen,837
CAt,Cat,0.2495,0.4265
334,Cat,CaT,hvusnvzzaz
cwlnlhwbjn,cAt,-0.421,0.134
dOg,CaT,mscviubnhg,Cat
dOG,CAT,Dog,184
-0.169,dog,94,-344
diaaiwaavi,dguzzdumqa,-0.482,hseynuoaxc
tihzhzmypp,373,vuxwiigpyt,0.193
DOg,dOg,807,DoG
vvyjxjtdam,dOG,antxgchuda,eozlhqyazx
-0.4475,cAT,809,-413
ujjielxgjj,doG,-888,835
kmpxpvnfhm,109,mnqllosvsl,gxogegrsns
cAt,DoG,0.198,28
0.202,caT,lgkghvnwan,dog
cAt,Dog,-0.3,dog
-0.448,doG,nhxurbgoik,CaT
0.255,DOG,-461,0.2775
0.279,-228,0.127,-328
-0.24,mwokacaphg,0.036,-636
cAt,dog,-961,-738
0.3875,CaT,ahbotjfzhh,scvjaoezxv
0.011,dOg,tbkyztfwux,cAt
-0.284,445,-0.092,0.2445
-0.48,caT,dyhncxntgt,-0.0525
