cfkmzhennp,lxftwvqkfb,hdphkzntxd,kxeikjnefd,qgurmtosmn,aozcfjbilf
0.3585,310,0.1485,wruuxhbizt,-0.231,stvehkveop
297,0.091,-0.273,-0.236,0.451,657
-0.1535,-0.47,mfypgpgdej,tuyvovttig,Dog,654
-0.09,-0.099,fdxnmaufbq,-0.5,-718,nrpasjsogu
330,nkebebcyro,Dog,kubadgnrjj,-0.018,0.048
DOg,jdaqtcomyl,-294,0.1825,DoG,CAT
cdlgpjmupy,0.4885,450,ieqpenzdqo,-484,-13
838,392,nuokrmzadn,-0.1715,dog,-0.0025
-243,0.417,-51,DOG,zqqbkqbabt,wakegbkcpm
582,0.286,cdebiwhmtf,doG,341,-0.268
-130,898,0.336,0.473,-885,0.005
cAt,0.158,dOg,dvsscpjteu,irolsgdsbj,-0.468
317,0.1275,diwtonvgan,jernmayjkh,399,808
-144,0.276,423,nbqtwzoirj,-160,cAT
0.2665,caT,caT,0.001,avdkdrnoog,0.2335
cahvgzbvho,qbitkphafr,jhwtwjwvcg,2,qrlywcmwtw,-859
-247,ubmorqaevm,Dog,cat,0.262,pxvxpnurqp
-982,-462,dOG,0.2645,rylqlvfowb,doG
-339,-0.196,0.2545,772,-529,0.3365
caT,718,-837,-0.466,cAt,jvjgbipggz
595,vgftqhhkqi,0.217,-1,0.327,-921
-756,-0.033,-0.3815,DOG,doG,CAt
-694,dOG,rezwncbwvn,zsssttlkrp,-393,-864
bbvpyvknmt,0.2835,-197,-7,0.4075,453
cat,0.0305,928,CAt,0.4545,-0.3985
rkvqmyhhwc,777,-550,-0.3515,Cat,-0.4435
29,cat,zhktvxkpdo,936,ujejvdxusi,0.4805
nsgykhlgrn,-773,DOg,DoG,pjyelpoqvh,caT
txnalnegjx,vzrlxfufqc,okkbjtbael,0.3935,0.3135,CAt
iwzfwimxso,mhhbaxdrqa,70,ptnulubtla,kkmssabitj,Dog
-0.284,cat,caT,DOG,doG,-647
cAt,ddfslmmnth,ewjpzdchen,DoG,DOg,-258
-0.3585,-84,rmzzgybkkq,ahssovkvqr,yrwplxlccn,-845
0.119,0.4005,0.025,0.238,-0.172,0.365
-0.163,dOG,-273,pdknlaxqms,-0.2065,236
-0.4425,dqzqcdhyqu,cat,5,-0.4155,543
cAT,0.2055,0.2655,Dog,doG,muotcfbtzf
0.3525,0.3235,iygtzdlxxv,hnkyzrtecw,474,-416
26,mvwowwvrpg,ztrvkwwxbz,425,0.164,dOg
593,-0.4695,cAt,xqydqhyrpu,CAT,-0.4435
-228,-0.0055,824,DOG,-198,0.2385
lvdxwvzqtz,rlnlbimmjr,-17,-739,-556,-0.424
-30,dog,-0.0565,CAt,cAT,-888
CaT,zlvfjbyjkz,0.423,dOG,xiixojlsgy,-0.427
-420,0.0135,-373,-540,qpvsvzpfgp,0.4335
vhgtidyied,cat,69,caT,0.253,0.0385
-0.193,cafkypxeaw,DOG,0.1035,732,-0.086
hbjytzwvgf,CAt,828,dOg,-0.1155,-0.4825
-935,123,Dog,doG,lkvvlevgtw,-0.0545
-0.365,-0.1585,kffvwxcxnv,0.197,lvgkgbtpjl,-714
apdlhnsjuu,-0.027,-282,0.457,-0.1035,-0.068
478,-0.197,0.064,uondwlsyfg,796,506
0.1265,0.157,skdbyucjfj,449,0.221,ixugmtilcq
vwqytqjqyq,cxvmnlozcb,DOg,CAt,-0.2005,cat
-614,Cat,-0.3795,dhcntutnmr,dOG,675
654,0.2415,dOG,xcbbznfylw,-0.1895,220
-0.14,cat,mzgzguchao,0.4025,-0.223,dsbwwkxxnr
428,CAt,nbxnpzuhcj,qsiftmdphj,0.3155,cllbromimn
aojsuodcls,ckqmjikuec,DoG,171,-633,-452
199,sfljadkvjw,0.0785,dOg,-0.0095,0.069
doG,CaT,DOg,qhxhykkcto,CaT,-406
-0.057,CAT,Dog,czkklgmrgo,DoG,-0.219
owyoqjfnpr,-0.401,0.009,vgbyqgytav,0.248,881
cAt,cAT,-776,0.3805,mrzalemilr,dog
0.4755,uursdvdkiq,0.058,CAt,cddxrfegsz,729
vxllxsymcp,-726,kgqtlmpnjo,sadfzdptza,bjbeikesll,184
doG,ndgfeianic,946,0.31,guglsufvkb,-198
texztrxhis,0.0095,906,Dog,-0.063,-287
gijyswxowb,ymdgcactet,vuwrqufcrm,550,-79,etupqijtko
0.222,-771,-0.0095,bfvnptzdct,coezzksyvg,0.3755
fgpviozwsv,CAT,-0.1615,308,0.1755,-327
0.1695,687,dOg,0.4425,bowgcbtwub,lrrrbfdrxe
0.1525,dOG,doG,-681,bpgxhecbzt,axjmpyrbdu
vfajlhuzek,dcxgbcguan,0.497,doG,-678,0.0535
-388,zcnpzxdqcc,dog,DOg,-0.057,ygjnbbkmno
-0.4085,ffvdbbbqff,-530,eipjyphzoh,-352,seqgbocluy
202,jwctkboqzh,0.441,sdejqqmpze,-0.2545,0.066
801,804,flovcmyvnv,doG,0.3245,-953
