xupuldztrx,ruiwgcrced,zdfavjlfdq,clxojapquj
0.3915,dOG,750,435
-0.473,-0.0825,490,-0.3825
tkidnhhteu,0.317,881,DOG
fisoyencwb,ynggzlhlsa,DOg,-0.095
kuauekcgkr,-394,bwafgwlhjf,doG
qvocqiwhhb,dOg,cAT,glzgdnwtjy
0.0925,-945,-0.4945,-0.0225
taqdzfjxok,361,-0.078,0.4245
pivzhrypkv,-0.2575,-16,440
-0.3295,-674,-485,iozfuiqpnb
whupzgtsyp,702,DOG,848
10,0.016,761,-112
226,0.4095,cat,605
DOG,kqribuqivk,tlcxfdaznq,0.3065
akqzhmfyqb,kqxjmvtzth,-0.287,-339
-681,hphvhpcwvd,-140,zdrkvhnpxd
0.4465,rskfvcyufv,caT,0.48
iojeggqlcc,0.4685,-786,wxmaktellf
tttombltbg,544,-554,dOg
150,-0.3055,104,-0.4775
DOG,-997,Dog,-246
0.2955,-0.238,-0.414,zlwoqweiwx
CaT,DoG,0.3555,-0.2125
-0.0425,-0.205,-0.4925,0.0725
0.4545,CaT,186,543
-588,Cat,caT,0.0865
nvenoyvqoe,-357,CaT,abovnzdejx
0.2605,dog,Cat,-0.4515
nanoktwmzi,0.297,jyeiqovmps,0.432
dvyqkrfwfj,-0.0335,-274,-0.212
-0.0975,-0.3325,776,jfomxotnrz
-689,-0.4325,ajrhntyune,ulqpidgrpl
0.4025,0.1685,ckeannazhm,692
mbofhwddbs,yczvwnyupn,0.3385,Dog
CAt,0.4605,-215,kpdtxqjrjl
218,-962,327,wmldawsnzs
cat,0.063,-893,gttiesuirz
wgkvdjugot,rubmrmzsbv,0.133,-300
635,0.349,0.4685,0.298
-230,iyqictmijj,jgjeylskqo,-0.251
ztlufcuuwq,802,Cat,0.2915
dog,-0.4625,wroooioycm,177
cfbaxwaglh,DOG,lszdlyfvij,DOg
Cat,dogmxmqnsp,-763,nslqcquzbl
cAt,-0.3625,-0.358,-0.3995
txitymrexg,0.174,51,-0.1645
vshlkponkg,-797,dOG,0.343
792,DOG,0.3755,dckdtcinbv
cAt,-0.4075,fwaxshaypx,jfwzgjhbvz
-200,-841,DOG,-0.179
fgxmwmjjmd,-0.2095,-35,-349
301,ezhmrffkba,fzyberhdgh,fsyenbleyb
-0.163,anyzzdpnau,fjmsjkmgvo,cAT
lahkrrppva,yzgfqofwkn,688,kheyvrjtjb
CAt,DOg,zsptpacjfe,-0.386
-440,aoorppzhhg,-0.485,jfyqurqfvg
dog,-425,192,-0.3195
mbvufvuxde,ozxnmkqbet,dog,204
-121,coebhuedes,-733,0.2555
686,0.1705,755,xpwskuyynh
casqqphtuk,-782,rvyjqgvmqc,-0.1435
179,cAt,DOG,0.0905
-516,Cat,0.1865,yipqlcwzlx
87,0.2955,20,358
0.162,-341,940,-0.3595
-43,-605,-890,grpfrauulp
gsfqizdgzm,0.4365,0.065,-280
-808,-312,0.208,CAT
DOG,673,0.061,CAT
qnyvggpazk,0.1565,0.255,193
-0.1305,0.369,-0.059,-209
vaxhxkhkzt,xafnytorvg,753,-0.2865
0.267,0.186,nraglosayk,dpoyodnuah
-419,-716,DoG,-0.438
Cat,757,-0.043,-997
